spelling,subtlex.dominant.pos.frequency,celex.morphology,concreteness,aoa,length,Borrowed,age,age.youngest,age.oldest,age.youngest.num,age.oldest.num
slak,101,monomorphemic,4.8,5.44,4,5. no evidence for borrowing,1240,1240,1240,760,760
slang,944,monomorphemic,4.87,5.66,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
slapen,9128,monomorphemic,3.67,3.57,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
slecht,11697,monomorphemic,1.6,5.09,5,5. no evidence for borrowing,1573,1573,1573,427,427
sleutel,3527,monomorphemic,4.87,5.41,6,5. no evidence for borrowing,1240,1240,1240,760,760
slim,4876,monomorphemic,2,5.71,4,5. no evidence for borrowing,1602,1602,1602,398,398
sloot,405,monomorphemic,4.2,7.82,4,5. no evidence for borrowing,966,966,966,1034,1034
slot,2292,monomorphemic,4.4,6.87,4,5. no evidence for borrowing,1240,1240,1240,760,760
sluiten,2564,monomorphemic,3.93,5.71,5,5. no evidence for borrowing,1240,1240,1240,760,760
smaken,160,monomorphemic,3.13,6.4,5,5. no evidence for borrowing,1240,1240,1240,760,760
smeden,72,monomorphemic,3.6,9.2,5,5. no evidence for borrowing,1240,1240,1240,760,760
smid,112,monomorphemic,4.07,8.46,4,5. no evidence for borrowing,1138-1139,1139,1138,861,862
sneeuw,1062,monomorphemic,4.8,4.26,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
snel,20273,monomorphemic,2.53,5.53,4,5. no evidence for borrowing,1240,1240,1240,760,760
snoep,543,monomorphemic,4.6,4.19,4,5. no evidence for borrowing,1798,1798,1798,202,202
snot,52,monomorphemic,4.67,4.87,4,5. no evidence for borrowing,1351,1351,1351,649,649
snurken,56,monomorphemic,4.53,5.96,6,5. no evidence for borrowing,1573,1573,1573,427,427
soms,15296,monomorphemic,1.33,6.78,4,5. no evidence for borrowing,1777,1777,1777,223,223
spade,21,monomorphemic,4.87,6.98,5,5. no evidence for borrowing,1240,1240,1240,760,760
spar,6,monomorphemic,4.93,6.69,4,5. no evidence for borrowing,1714,1714,1714,286,286
spatten,36,monomorphemic,3.73,6.9,5,5. no evidence for borrowing,1642,1642,1642,358,358
speer,287,monomorphemic,4.8,7.69,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
spelen,10632,monomorphemic,3.53,3.9,5,5. no evidence for borrowing,1236,1236,1236,764,764
spijker,139,monomorphemic,4.87,7.04,6,5. no evidence for borrowing,1284,1284,1284,716,716
spin,333,monomorphemic,4.73,4.91,4,5. no evidence for borrowing,1240,1240,1240,760,760
spinnen,161,monomorphemic,4,6.7,5,5. no evidence for borrowing,1240,1240,1240,760,760
spoedig,625,other,1.93,10.11,6,5. no evidence for borrowing,1637,1637,1637,363,363
spook,496,monomorphemic,3.8,5.17,4,5. no evidence for borrowing,1477,1477,1477,523,523
spreken,12298,monomorphemic,4.47,4.65,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
springen,2023,monomorphemic,4.4,4.59,6,5. no evidence for borrowing,1240,1240,1240,760,760
sprinkhaan,66,other,4.73,7.15,9,5. no evidence for borrowing,1301-1400,1400,1301,600,699
spugen,157,monomorphemic,4.4,6.21,5,5. no evidence for borrowing,1657,1657,1657,343,343
staan,18442,monomorphemic,4,4.65,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
staart,669,monomorphemic,4.67,4.9,5,5. no evidence for borrowing,1197,1197,1197,803,803
stad,11915,monomorphemic,3.73,5.79,4,5. no evidence for borrowing,857,857,857,1143,1143
stal,598,monomorphemic,4.53,6.02,4,5. no evidence for borrowing,0701-800,800,701,1200,1299
standbeeld,200,other,4.67,6.46,9,5. no evidence for borrowing,1601-1650,1650,1601,350,399
steen,1554,monomorphemic,4.87,4.78,4,5. no evidence for borrowing,0918-948,948,918,1052,1082
steken,1558,monomorphemic,3.67,5.84,5,5. no evidence for borrowing,1236,1236,1236,764,764
stelen,2501,monomorphemic,3.33,6.84,5,5. no evidence for borrowing,1240,1240,1240,760,760
stem,3555,monomorphemic,3.8,5.44,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
ster,1911,monomorphemic,4.2,5.44,4,5. no evidence for borrowing,1240,1240,1240,760,760
sterk,4158,monomorphemic,2.73,5.03,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
sterven,7647,monomorphemic,3.27,7.21,6,5. no evidence for borrowing,1100,1100,1100,900,900
stier,364,monomorphemic,4.93,6.06,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
stil,7028,monomorphemic,3.2,4.54,4,5. no evidence for borrowing,0814-815,815,814,1185,1186
stinkend,145,monomorphemic,3.67,6.28,8,5. no evidence for borrowing,1240,1240,1240,760,760
stoel,2220,monomorphemic,4.67,3.95,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
stom,4538,monomorphemic,2,5.65,4,5. no evidence for borrowing,1240,1240,1240,760,760
stoom,252,monomorphemic,4.67,8.05,4,5. no evidence for borrowing,1669,1669,1669,331,331
stoppen,8481,monomorphemic,3.33,4.65,5,5. no evidence for borrowing,1265-1270,1270,1265,730,735
storm,1228,monomorphemic,4.33,6.46,5,5. no evidence for borrowing,1240,1240,1240,760,760
strijd,1955,monomorphemic,2.93,7.09,5,5. no evidence for borrowing,1220-1240,1240,1220,760,780
strijden,322,monomorphemic,3.2,8.53,6,5. no evidence for borrowing,1220-1240,1240,1220,760,780
strik,84,monomorphemic,4.87,5.8,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
stromen,221,monomorphemic,3.73,7.78,6,5. no evidence for borrowing,1250,1250,1250,750,750
stronk,22,monomorphemic,4.67,8.21,6,5. no evidence for borrowing,1350,1350,1350,650,650
stroom,1303,monomorphemic,3.4,8.96,5,5. no evidence for borrowing,1240,1240,1240,760,760
sturen,4046,monomorphemic,3.13,5.9,5,5. no evidence for borrowing,1432,1432,1432,568,568
taal,1583,monomorphemic,1.73,5.88,3,5. no evidence for borrowing,1220-1240,1240,1220,760,780
tak,339,monomorphemic,4.53,5.53,3,5. no evidence for borrowing,1275,1275,1275,725,725
tand,353,monomorphemic,5,4.64,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
tandvlees,52,other,4.8,8.22,8,5. no evidence for borrowing,1240,1240,1240,760,760
tang,131,monomorphemic,4.73,7.34,3,5. no evidence for borrowing,1285,1285,1285,715,715
tarwe,61,monomorphemic,4.67,8.24,5,5. no evidence for borrowing,1189,1189,1189,811,811
te,304609,monomorphemic,1.5,5.33,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
teek,38,monomorphemic,4.8,10.48,3,5. no evidence for borrowing,1518,1518,1518,482,482
teen,319,monomorphemic,5,4.08,3,5. no evidence for borrowing,1265-1270,1270,1265,730,735
tellen,1173,monomorphemic,3.8,5.53,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
tepel,88,monomorphemic,4.87,8.13,5,5. no evidence for borrowing,1477,1477,1477,523,523
tien,8986,monomorphemic,3.27,4.71,3,5. no evidence for borrowing,0701-800,800,701,1200,1299
tijd,39278,monomorphemic,1.33,5.72,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
tin,57,monomorphemic,4.54,10.67,3,5. no evidence for borrowing,1240,1240,1240,760,760
toespraak,540,other,3.53,9.06,7,5. no evidence for borrowing,1240,1240,1240,760,760
toestaan,560,other,2.47,8.61,6,5. no evidence for borrowing,1476,1476,1476,524,524
tonen,1571,monomorphemic,3.27,5.46,4,5. no evidence for borrowing,1240,1240,1240,760,760
tong,1395,monomorphemic,5,4.57,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
top,1396,monomorphemic,4.13,6.34,3,5. no evidence for borrowing,1130,1130,1130,870,870
touw,1148,monomorphemic,4.93,5.54,3,5. no evidence for borrowing,1286,1286,1286,714,714
traag,427,monomorphemic,2.6,5.28,4,5. no evidence for borrowing,1240,1240,1240,760,760
traan,115,monomorphemic,4.73,5.08,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
trappen,448,monomorphemic,4.33,6.03,5,5. no evidence for borrowing,1470,1470,1470,530,530
trekken,3563,monomorphemic,4.4,5.46,5,5. no evidence for borrowing,1240,1240,1240,760,760
trog,31,monomorphemic,4.08,11.66,4,5. no evidence for borrowing,1240,1240,1240,760,760
trouw,1101,monomorphemic,2.67,7.4,4,5. no evidence for borrowing,1291,1291,1291,709,709
trouwen,6566,monomorphemic,2.93,6.4,5,5. no evidence for borrowing,1285,1285,1285,715,715
tuin,1601,monomorphemic,4.47,4.6,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
twaalf,2022,monomorphemic,2.6,5.11,5,5. no evidence for borrowing,0701-800,800,701,1200,1299
twee,43975,monomorphemic,3.13,3.85,3,5. no evidence for borrowing,0222-235,235,222,1765,1778
tweede,5609,other,3.33,6.61,5,5. no evidence for borrowing,1530-1531,1531,1530,469,470
tweeling,691,other,4.13,6.22,6,5. no evidence for borrowing,1240,1240,1240,760,760
tweemaal,312,other,2.07,6.55,6,5. no evidence for borrowing,1477,1477,1477,523,523
twijfel,968,monomorphemic,2,7.9,6,5. no evidence for borrowing,1240,1240,1240,760,760
twintig,2467,other,3.4,5.6,7,5. no evidence for borrowing,1236,1236,1236,764,764
uil,102,monomorphemic,4.8,6.4,2,5. no evidence for borrowing,1240,1240,1240,760,760
vaak,7206,monomorphemic,1.27,6.78,3,5. no evidence for borrowing,1324-1341,1341,1324,659,676
vader,34593,monomorphemic,3.13,3.99,5,5. no evidence for borrowing,0776-800,800,776,1200,1224
val,2201,monomorphemic,3.8,4.96,3,5. no evidence for borrowing,1448,1448,1448,552,552
vallen,7890,monomorphemic,3.8,4.46,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vandaag,16141,other,1.73,5.21,6,5. no evidence for borrowing,1488,1488,1488,512,512
vangen,1477,monomorphemic,3.4,5.34,4,5. no evidence for borrowing,1279,1279,1279,721,721
varken,1033,monomorphemic,4.8,4.6,5,5. no evidence for borrowing,1155,1155,1155,845,845
vasten,41,monomorphemic,2.73,7.84,5,5. no evidence for borrowing,1240,1240,1240,760,760
vechten,5510,monomorphemic,4.13,5.58,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vee,586,monomorphemic,4.33,8.03,2,5. no evidence for borrowing,0701-800,800,701,1200,1299
veel,50333,monomorphemic,1.77,4.53,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
veer,126,monomorphemic,4.73,6.77,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vegen,247,monomorphemic,4.33,6.15,4,5. no evidence for borrowing,1240,1240,1240,760,760
veld,689,monomorphemic,4.53,5.86,4,5. no evidence for borrowing,0802-817,817,802,1183,1198
vellen,66,monomorphemic,3.8,10.15,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
ver,5745,monomorphemic,2.13,5.15,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
verbaasd,643,other,2.07,8.09,7,5. no evidence for borrowing,1451-1500,1500,1451,500,549
verdriet,1156,monomorphemic,2.33,6.21,7,5. no evidence for borrowing,1240,1240,1240,760,760
verf,626,monomorphemic,4.8,5.23,4,5. no evidence for borrowing,1375,1375,1375,625,625
verkeerd,5048,other,1.93,6.96,7,5. no evidence for borrowing,1265-1270,1270,1265,730,735
verstand,1660,other,2.13,8.11,8,5. no evidence for borrowing,1345,1345,1345,655,655
verven,194,monomorphemic,4.27,4.84,5,5. no evidence for borrowing,1165,1165,1165,835,835
vesting,70,other,3.57,11.84,6,5. no evidence for borrowing,1267,1267,1267,733,733
vet,418,monomorphemic,4.33,6.78,3,5. no evidence for borrowing,1287,1287,1287,713,713
veulen,52,monomorphemic,4.53,6.89,4,5. no evidence for borrowing,0701-800,800,701,1200,1299
vier,10491,monomorphemic,3.33,4.01,3,5. no evidence for borrowing,0701-800,800,701,1200,1299
vierkant,90,other,4.27,6.9,7,5. no evidence for borrowing,1285,1285,1285,715,715
vijand,2653,monomorphemic,2.73,6.9,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vijf,12276,monomorphemic,3,4.16,3,5. no evidence for borrowing,0701-800,800,701,1200,1299
vijftien,1267,other,2.73,5.94,6,5. no evidence for borrowing,1237,1237,1237,763,763
vin,89,monomorphemic,4.67,7.53,3,5. no evidence for borrowing,1285,1285,1285,715,715
vinden,26191,monomorphemic,2.2,5.53,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vinger,1263,monomorphemic,4.87,4.07,5,5. no evidence for borrowing,1100,1100,1100,900,900
vis,2177,monomorphemic,4.73,4.53,3,5. no evidence for borrowing,1220-1240,1240,1220,760,780
visser,182,other,3.93,6.23,5,5. no evidence for borrowing,1240,1240,1240,760,760
vlak,1929,monomorphemic,3.07,7.71,4,5. no evidence for borrowing,1448,1448,1448,552,552
vlakte,126,monomorphemic,3.4,10.17,6,5. no evidence for borrowing,1637,1637,1637,363,363
vlecht,25,monomorphemic,4.87,7.09,5,5. no evidence for borrowing,1240,1240,1240,760,760
vlechten,52,monomorphemic,4.07,6.39,6,5. no evidence for borrowing,1240,1240,1240,760,760
vleermuis,135,other,4.73,6.8,7,5. no evidence for borrowing,1240,1240,1240,760,760
vlees,2684,monomorphemic,4.47,4.61,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vleugel,383,monomorphemic,4.47,6.21,6,5. no evidence for borrowing,1240,1240,1240,760,760
vlieg,785,monomorphemic,4.67,4.78,4,5. no evidence for borrowing,1240,1240,1240,760,760
vliegen,3749,monomorphemic,4.27,5.03,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vliegtuig,3930,other,4.8,5.69,7,5. no evidence for borrowing,1911,1911,1911,89,89
vlinder,268,monomorphemic,5,5.34,7,5. no evidence for borrowing,1567,1567,1567,433,433
vlo,31,monomorphemic,4.67,7.12,3,5. no evidence for borrowing,1287,1287,1287,713,713
vloed,95,monomorphemic,3.6,8.47,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vloer,1383,monomorphemic,4.93,5.08,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
vlot,209,monomorphemic,2.6,7.35,4,5. no evidence for borrowing,1485,1485,1485,515,515
vluchten,1096,monomorphemic,2.93,7.59,6,5. no evidence for borrowing,1285,1285,1285,715,715
voedsel,1384,other,3.6,5.96,6,5. no evidence for borrowing,1287,1287,1287,713,713
voelen,5142,monomorphemic,2.8,5.03,4,5. no evidence for borrowing,1350,1350,1350,650,650
voet,2220,monomorphemic,4.87,4.11,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vogel,1313,monomorphemic,4.87,4.24,5,5. no evidence for borrowing,0701-800,800,701,1200,1299
vol,9057,monomorphemic,3.93,4.96,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
volgen,4311,monomorphemic,3.4,5.84,5,5. no evidence for borrowing,1240,1240,1240,760,760
vonnis,326,monomorphemic,2.47,11.4,5,5. no evidence for borrowing,1237,1237,1237,763,763
voor,293369,monomorphemic,2.07,5.33,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
voorhoofd,342,other,4.67,5.75,7,5. no evidence for borrowing,1240,1240,1240,760,760
voorjaar,104,other,2.4,8.94,6,5. no evidence for borrowing,1401-1500,1500,1401,500,599
vos,252,monomorphemic,4.87,5.84,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
vouwen,50,monomorphemic,4.13,5.84,4,5. no evidence for borrowing,1277,1277,1277,723,723
vragen,13680,monomorphemic,3.47,4.9,5,5. no evidence for borrowing,1100,1100,1100,900,900
vrede,2795,monomorphemic,1.8,6.97,5,5. no evidence for borrowing,815,815,815,1185,1185
vreemde,2678,monomorphemic,2.6,6.83,6,5. no evidence for borrowing,1240,1240,1240,760,760
vriend,21480,monomorphemic,2.4,4.84,5,5. no evidence for borrowing,1100,1100,1100,900,900
vrijdag,1654,other,2.47,5.25,6,5. no evidence for borrowing,1263,1263,1263,737,737
vrije,1718,monomorphemic,NA,NA,5,5. no evidence for borrowing,1376-1400,1400,1376,600,624
vroeg,8006,monomorphemic,1.87,5.09,4,5. no evidence for borrowing,1240,1240,1240,760,760
vuil,773,monomorphemic,3.87,4.97,3,5. no evidence for borrowing,1200,1200,1200,800,800
vuur,4386,monomorphemic,4.73,4.89,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
waaier,45,other,4.53,8.2,5,5. no evidence for borrowing,1240,1240,1240,760,760
waarom,93634,other,1,5.55,5,5. no evidence for borrowing,1240,1240,1240,760,760
wagen,3228,monomorphemic,4.8,6,4,5. no evidence for borrowing,838,838,838,1162,1162
walvis,325,other,5,6.53,6,5. no evidence for borrowing,1163,1163,1163,837,837
wang,283,monomorphemic,4.93,5.24,3,5. no evidence for borrowing,1240,1240,1240,760,760
wanneer,10622,monomorphemic,1.4,5.94,5,5. no evidence for borrowing,1321,1321,1321,679,679
wapens,4593,monomorphemic,4.47,7.67,NA,5. no evidence for borrowing,1237,1237,1237,763,763
warm,3098,monomorphemic,3.47,4.71,4,5. no evidence for borrowing,1240,1240,1240,760,760
wasbeer,67,other,4.8,7.67,6,5. no evidence for borrowing,1857,1857,1857,143,143
wassen,1215,monomorphemic,4.47,4.96,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wat,480562,monomorphemic,1.13,5,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
water,10663,monomorphemic,4.8,3.67,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
web,195,monomorphemic,4.87,5.96,3,5. no evidence for borrowing,1240,1240,1240,760,760
week,10288,monomorphemic,2.6,5.6,3,5. no evidence for borrowing,1236,1236,1236,764,764
wees,10157,monomorphemic,3.13,8.18,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
weg,56261,monomorphemic,4.07,4.9,3,5. no evidence for borrowing,838,838,838,1162,1162
wegen,802,monomorphemic,4,7.28,4,5. no evidence for borrowing,1240,1240,1240,760,760
weggaan,2914,other,3.67,6.45,5,5. no evidence for borrowing,1236,1236,1236,764,764
weide,55,monomorphemic,4.67,5.83,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
weinig,4830,monomorphemic,1.33,6.39,5,5. no evidence for borrowing,1260-1280,1280,1260,720,740
wekken,429,monomorphemic,3.87,6.84,4,5. no evidence for borrowing,1100,1100,1100,900,900
welke,11317,monomorphemic,1.4,6.17,NA,5. no evidence for borrowing,1251-1300,1300,1251,700,749
wenen,253,monomorphemic,4.6,4.15,4,5. no evidence for borrowing,1240,1240,1240,760,760
wenkbrauw,40,other,5,6.38,8,5. no evidence for borrowing,1625,1625,1625,375,375
wensen,652,monomorphemic,2.27,6.59,5,5. no evidence for borrowing,1265-1270,1270,1265,730,735
wereld,17211,monomorphemic,3.33,6.09,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
werk,24998,monomorphemic,3.2,5.94,4,5. no evidence for borrowing,0776-800,800,776,1200,1224
werkplaats,164,other,3.47,8.5,9,5. no evidence for borrowing,1552,1552,1552,448,448
werktuig,120,other,3.67,8.5,7,5. no evidence for borrowing,1573,1573,1573,427,427
werpen,338,monomorphemic,3.6,6.9,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wesp,27,monomorphemic,4.93,6.09,4,5. no evidence for borrowing,1240,1240,1240,760,760
westen,982,other,2.6,7.9,5,5. no evidence for borrowing,1285,1285,1285,715,715
wet,3426,monomorphemic,1.53,9.03,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
weten,42732,monomorphemic,2,5.53,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
weven,29,monomorphemic,4.07,8.78,4,5. no evidence for borrowing,1240,1240,1240,760,760
wie,79998,monomorphemic,1.07,5.47,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wiel,299,monomorphemic,4.93,5.35,3,5. no evidence for borrowing,1285,1285,1285,715,715
wij,42488,monomorphemic,1.93,4.72,2,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wijd,295,monomorphemic,3.4,7.53,3,5. no evidence for borrowing,1100,1100,1100,900,900
wind,2003,monomorphemic,4.47,4.97,4,5. no evidence for borrowing,1001-1050,1050,1001,950,999
winkel,2845,monomorphemic,4.27,5.09,6,5. no evidence for borrowing,1101-1200,1200,1101,800,899
winter,932,monomorphemic,2.87,5.19,6,5. no evidence for borrowing,1050,1050,1050,950,950
wit,1455,monomorphemic,4.4,4.54,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
woede,1091,monomorphemic,3.27,6.35,4,5. no evidence for borrowing,1588,1588,1588,412,412
woensdag,816,other,2.67,5.9,7,5. no evidence for borrowing,1260,1260,1260,740,740
wol,148,monomorphemic,4.6,5.59,3,5. no evidence for borrowing,1240,1240,1240,760,760
wolf,767,monomorphemic,4.87,5.44,4,5. no evidence for borrowing,1001-1100,1100,1001,900,999
wolk,231,monomorphemic,4.4,5.58,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wond,543,monomorphemic,4.27,7.38,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
wonen,4672,monomorphemic,2.87,5.46,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
woord,5605,monomorphemic,2.67,4.61,4,5. no evidence for borrowing,0776-800,800,776,1200,1224
worden,46795,monomorphemic,1.53,5.46,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
worm,339,monomorphemic,4.87,5.58,4,5. no evidence for borrowing,1100,1100,1100,900,900
worst,381,monomorphemic,4.93,5.16,5,5. no evidence for borrowing,1240,1240,1240,760,760
wortel,245,monomorphemic,4.8,4.99,6,5. no evidence for borrowing,1240,1240,1240,760,760
woud,222,monomorphemic,4.53,6.93,3,5. no evidence for borrowing,793,793,793,1207,1207
wrijven,158,monomorphemic,3.87,6.03,5,5. no evidence for borrowing,1240,1240,1240,760,760
zaad,234,monomorphemic,4.73,7.32,3,5. no evidence for borrowing,1240,1240,1240,760,760
zaag,125,monomorphemic,4.73,6.62,3,5. no evidence for borrowing,1101-1200,1200,1101,800,899
zaaien,173,monomorphemic,4.13,7.28,4,5. no evidence for borrowing,1240,1240,1240,760,760
zacht,998,monomorphemic,3.73,4.65,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zakdoek,215,other,4.87,4.6,6,5. no evidence for borrowing,1775,1775,1775,225,225
zalf,63,monomorphemic,4.2,5.77,4,5. no evidence for borrowing,1100,1100,1100,900,900
zand,844,monomorphemic,4.93,4.41,4,5. no evidence for borrowing,893,893,893,1107,1107
zee,2924,monomorphemic,4.73,4.78,2,5. no evidence for borrowing,793,793,793,1207,1207
zeep,622,monomorphemic,4.87,3.9,3,5. no evidence for borrowing,1288,1288,1288,712,712
zeggen,47484,monomorphemic,3.6,5.03,4,5. no evidence for borrowing,1260-1270,1270,1260,730,740
zeil,276,monomorphemic,4.47,7.78,3,5. no evidence for borrowing,1240,1240,1240,760,760
zeilen,307,monomorphemic,4.4,8.17,4,5. no evidence for borrowing,1265-1270,1270,1265,730,735
zeis,24,monomorphemic,4.86,9.58,3,5. no evidence for borrowing,1340-1350,1350,1340,650,660
zenden,261,monomorphemic,2.8,6.9,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zenuw,90,monomorphemic,4.07,9.98,5,5. no evidence for borrowing,1285,1285,1285,715,715
zes,8663,monomorphemic,3.47,4.5,3,5. no evidence for borrowing,0701-800,800,701,1200,1299
zeug,52,monomorphemic,4.2,8.43,3,5. no evidence for borrowing,1287,1287,1287,713,713
ziek,5643,monomorphemic,3.2,4.71,3,5. no evidence for borrowing,1236,1236,1236,764,764
ziekte,1623,monomorphemic,3.33,5.96,5,5. no evidence for borrowing,1343-1344,1344,1343,656,657
ziel,3614,monomorphemic,1.53,8.69,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zien,67291,monomorphemic,3.93,4.34,3,5. no evidence for borrowing,1200,1200,1200,800,800
zijn,285014,monomorphemic,1.33,5.61,3,5. no evidence for borrowing,0776-800,800,776,1200,1224
zingen,2865,monomorphemic,4.27,4.84,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zinken,412,monomorphemic,3.8,7.09,5,5. no evidence for borrowing,1260-1280,1280,1260,720,740
zitten,32519,monomorphemic,4.33,4.21,4,5. no evidence for borrowing,1240,1240,1240,760,760
zoeken,11930,monomorphemic,3.6,5.21,4,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zoet,479,monomorphemic,4.27,5.9,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zomer,1868,monomorphemic,2.53,5.33,5,5. no evidence for borrowing,1236,1236,1236,764,764
zon,2996,monomorphemic,4.4,4.35,3,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zondag,1454,other,2.07,5,6,5. no evidence for borrowing,1236,1236,1236,764,764
zonder,22563,monomorphemic,1.73,5.83,6,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zoon,15154,monomorphemic,3.07,5.34,3,5. no evidence for borrowing,0776-800,800,776,1200,1224
zorg,7894,monomorphemic,2.8,6.94,4,5. no evidence for borrowing,1285,1285,1285,715,715
zuiden,1001,other,2.93,9.29,4,5. no evidence for borrowing,1287,1287,1287,713,713
zuigen,424,monomorphemic,4.33,5.15,4,5. no evidence for borrowing,1100,1100,1100,900,900
zuur,320,monomorphemic,4.47,6.21,3,5. no evidence for borrowing,1130,1130,1130,870,870
zwaar,3533,monomorphemic,3.27,5.84,4,5. no evidence for borrowing,1220-1240,1240,1220,760,780
zwaard,1638,monomorphemic,4.93,6.02,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zwager,251,monomorphemic,2.85,12.71,6,5. no evidence for borrowing,1220-1240,1240,1220,760,780
zwak,1532,monomorphemic,2.27,6.28,4,5. no evidence for borrowing,1451-1500,1500,1451,500,549
zwanger,2742,monomorphemic,4.13,8.34,6,5. no evidence for borrowing,1542,1542,1542,458,458
zwart,2447,monomorphemic,4.27,4.33,5,5. no evidence for borrowing,1001-1100,1100,1001,900,999
zwelling,79,other,4.07,9.83,6,5. no evidence for borrowing,1240,1240,1240,760,760
zwemmen,1722,monomorphemic,4.6,5.21,5,5. no evidence for borrowing,1240,1240,1240,760,760
zweren,379,monomorphemic,2.6,7.78,5,5. no evidence for borrowing,0901-1000,1000,901,1000,1099
zweten,245,monomorphemic,3.87,6.59,5,5. no evidence for borrowing,1240,1240,1240,760,760
zwijgen,1090,monomorphemic,3.53,4.4,5,5. no evidence for borrowing,1236,1236,1236,764,764
