"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
621,8.26,6,1.9,5,6.9
629.2,842.18,4,1.85,5.2,1.8
603.6,21.82,4,1.45,9.2,3.6
555.9,158.77,5,1.7,3.6,6.8
628.3,9.57,7,1.75,5.2,5.5
744.8,0.67,5,1.55,9,5.6
711,3.98,5,1.9,6.2,6.8
672.4,6.72,5,1.55,5.6,6.7
728.9,0.38,6,1.6,12.1,3.3
757.9,0.79,6,1.75,9.6,3.9
617.9,31.52,4,1.75,7.7,4.1
718.6,6.39,6,1.85,10.1,4.5
559,113.35,5,1.65,7,2.6
787.1,4.49,5,1.4,11.1,4.3
588.4,1321.79,5,1.7,5.4,3
633.6,25.5,4,1.65,6,6.2
684.7,29.03,8,2,6.3,6.4
695,1.54,6,1.95,9,5.1
721.7,0.78,6,1.75,12.3,3.2
633,22.98,5,1.55,6.8,4.4
638.3,28.69,5,1.45,7.7,6.4
697.1,2,5,1.85,9.9,6.4
601.2,142.22,4,1.75,5.3,6.7
719.7,2.02,6,1.9,8.9,6.2
736.1,0.77,3,1.25,6.6,6.6
738.5,1.08,4,1.55,9.3,4.4
628.9,161.96,4,1.95,4.4,5.5
853,0.57,6,1.6,7.5,6.7
665,6.29,4,1,8.6,5.7
704.1,22.95,6,1.9,5.2,6.6
585.6,101.15,5,1.55,6.7,4.3
639.5,7.61,4,1.4,9.2,3.5
642.5,9.52,6,1.2,5.3,5.7
565.7,74.23,6,1.25,4.9,5.4
741,2.94,6,1.7,12.8,2
569.4,68.73,3,1.65,5.3,6.7
715.8,0.73,5,2,12.2,2.9
642,1.14,4,1.55,8,4.2
589.3,2.12,4,1.65,10.4,4.9
695.7,2.41,6,1.45,9.7,2.9
610.6,18.5,6,1.65,6.1,6.7
739.1,0.99,7,2,11.6,3.6
691.2,2.58,5,1.65,12.7,4.2
700.3,7.88,5,1.55,10.6,6.5
759.8,1.14,6,1.35,9.1,5.2
627.6,4.45,4,1.6,9.6,3.4
629.5,7.79,4,1.55,6.6,6.7
660.2,0.06,5,1.9,5.5,6.6
595.1,61.99,4,1.95,8.5,4.4
716.2,1.4,5,1.05,9.8,3
638.9,44.71,4,1.15,8.1,4.7
609.9,224.98,5,1.75,5.5,6.7
688.9,37.28,6,1.65,6.1,6.4
747.3,2.43,6,1.65,9.3,4.8
594.8,93.43,4,1.4,5.5,5
718.2,0.67,5,1.75,8.9,5.3
611.4,8.35,3,1,7.5,5.4
631.4,26.27,5,1.2,5.7,6.4
734.7,10.45,6,1.6,11.1,2.9
580.6,2903.72,5,1.5,5.3,1.8
613.9,235.35,6,1.3,7.5,3.8
746.6,12.89,5,1.35,9.5,3.9
641.5,0.78,4,1.75,9,5.7
723.3,9.08,5,1.05,5.4,4.5
651,335.74,6,1.35,6.5,2.1
652.9,10.74,3,1.5,4.2,6.9
698.1,4.6,5,1.3,8.1,4.9
647.4,29.02,5,1.35,5.7,6.5
663.1,2.64,5,1.15,6.6,6.3
609.7,250.15,5,1.75,5.5,6.2
