"word","borrowing","phonology","phonlength","AoA","AoA_obj","subtlexzipf","conc","cat","source","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length","age_oldest","age_youngest","age_oldest_num","age_youngest_num","age","effect","ids.code","modern.english","middle.english","old.english","old.english.length"
"sap",5,"s{p",3,"7.53",2,"3.40","4.37","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","8-760","sap","sap-e","woÌ„s",3
"town",5,"t6n",3,"5.11",4,"5.24","4.64","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","19-150","city","citeÌ„","burg",4
"tool",5,"tul",3,"5.37",4,"4.07","4.60","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","9-422","tool","tol","toÌ„l",3
"hall",5,"h$l",3,"5.35",2,"4.83","4.67","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-180","meeting house","","heÌ„all",5
"time",5,"t2m",3,"5.16",2,"6.35","3.07","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","14-110","time","time","stund",5
"ash",5,"{S",2,"6.63",2,"4.19","4.96","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-840","ashes","assh-e","asce",4
"awl",5,"$l",2,"10.75",14,"1.65","3.81","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-370","awl","al","Ã_l",2
"bridge",5,"brI_",4,"5.58",2,"4.71","4.97","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","10-740","bridge","brigÌŒgÌŒe","brycg",5
"limp",5,"lImp",4,"7.16",4,"3.35","4.15","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","10-451","limp","halten","healtian",8
"queen",5,"kwin",4,"4.42",2,"5.08","4.45","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","19-330","queen","quen-e","cweÌ„n",4
"rainbow",5,"r1nb5",5,"4.26",2,"4.18","4.57","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-590","rainbow","reinboue","(reÌ„n)boga",7
"roof",5,"ruf",3,"5.00",2,"4.72","4.79","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-510","roof","rof","hroÌ„f",4
"room",5,"rum",3,"4.22",2,"5.60","4.79","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-210","room","chaumbre","cofa",4
"chicken",5,"JIkIn",5,"3.26",2,"4.82","4.80","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-550","chicken","chiken","henna",5
"toe",5,"t5",2,"3.00",2,"4.08","4.93","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-380","toe","to","taÌ„",2
"top",5,"tQp",3,"3.89",2,"5.64","3.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","12-330","top","top","brerd",5
"gate",5,"g1t",3,"5.32",2,"4.34","4.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-220","door","dor-e","duru",4
"oath",5,"5T",2,"11.39",4,"3.54","2.79","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","21-250","oath","oth","aÌ„Î¸",2
"world",5,"w3ld",4,"5.32",6,"5.88","4.36","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-100","world","world","weorold",7
"bed",5,"bEd",3,"2.89",2,"5.12","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-420","bed","bed","bedd(rest)",8
"bee",5,"bi",2,"5.00",2,"4.19","4.88","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-820","bee","be","beÌ„o",3
"neck",5,"nEk",3,"3.00",2,"4.65","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-280","neck","hals","heals",5
"drip",5,"drIp",4,"5.89",4,"3.60","4.14","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","10-240","drip","droppen","dropian",7
"owl",5,"6l",2,"6.21",2,"4.07","4.93","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-596","owl","oule","uÌ„le",3
"thief",5,"Tif",3,"7.22",4,"3.91","4.37","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","21-520","thief","thef","Î¸eÌ„of",4
"clothes",5,"kl5Dz",5,"3.11",2,"4.74","4.76","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-120","clothing","clothes","sceorp",6
"spear",5,"sp7R",4,"7.22",2,"3.42","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-260","spear","spere","gaÌ„r",3
"midday",5,"mIdd1",5,"7.37",4,"3.64","3.72","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","14-450","noon","mid-dai","middÃ_g",6
"king",5,"kIN",3,"5.42",2,"5.09","4.10","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","19-320","king","king","rihtend",7
"sink",5,"sINk",4,"4.47",2,"4.26","4.74","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","1566","2500","434","1566","","10-330","sink","sinken","sincan",6
"house",5,"h6z",3,"3.16",2,"5.83","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-120","house","hous","huÌ„s",3
"lung",5,"lVN",3,"7.16",2,"3.81","4.82","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-441","lung","longe","lung(er)",6
"tree",5,"tri",3,"3.57",2,"4.95","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","8-600","tree","tre","beÌ„am",4
"dye",5,"d2",2,"7.56",4,"3.49","4.58","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-390","dye","deien","deÌ„agian",7
"axe",5,"{ks",3,"6.11",4,"3.85","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","9-250","ax","ax-e","Ã_x",2
"life",5,"l2f",3,"5.89",2,"5.81","2.69","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-740","life","on lif","cwicu",5
"hair",5,"h8R",3,"3.17",2,"5.03","4.97","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-140","hair","her","hÃ_Ì„r",3
"stepfather",5,"stEpf#D@R",9,"8.42",2,"2.99","4.00","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","2-710","stepfather","step-fader","(steÌ„op)fÃ_der",10
"stepmother",5,"stEpmVD@R",9,"6.33",2,"2.96","4.23","Noun","None","English",NA,3.45098039215686,1.50635287271151e-07,9,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","2-720","stepmother","step-moder","steÌ„opmoÌ„dor",10
"dew",5,"dju",3,"7.37",4,"3.09","4.38","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-640","dew","deu","deaw",4
"west",5,"wEst",4,"5.89",2,"5.29","3.44","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","12-460","west","west","west",4
"yolk",5,"j5k",3,"5.89",4,"3.52","4.78","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","5-971","egg yolk","eg-ge yolk","geoloca",7
"elbow",5,"Elb5",4,"4.78",2,"3.85","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-320","elbow","elboue","elnboga",7
"breast",5,"brEst",5,"6.60",2,"4.19","4.89","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-410","breast","brest","breÌ„ost",6
"rafter",5,"r#ft@R",6,"10.74",8,"2.36","4.97","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-540","rafter","rafter","rÃ_fter",6
"buttocks",5,"bVt@ks",6,"7.72",2,"3.08","4.83","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-464","buttocks","buttokes","broÌ„c",4
"rope",5,"r5p",3,"5.44",2,"4.30","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","9-190","rope","rop","raÌ„p",3
"chin",5,"JIn",3,"4.22",2,"3.93","4.89","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-209","chin","chin","cinn",4
"web",5,"wEb",3,"5.37",4,"4.17","4.37","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-819","spider web","spither web","nett",4
"steam",5,"stim",4,"6.26",4,"4.39","4.50","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","","","","",NA
"wound",5,"w6nd",4,"7.52",4,"4.10","4.24","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-850","wound","wound","dolg",4
"way",5,"w1",2,"5.39",4,"6.12","2.34","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","17-490","way","wei","wise",4
"south",5,"s6T",3,"6.06",2,"5.36","3.84","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","12-480","south","south","suÌ„Î¸",3
"hell",5,"hEl",3,"5.11",2,"4.89","2.41","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","22-320","hell","helle","hel",3
"weapons",5,"wEp@nz",6,"6.95",NA,"4.38","4.76","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-210","weapons","wepenes","wÃ_Ì„pnu",5
"sword",5,"s$d",3,"5.45",2,"4.09","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-270","sword","sword","sweord",6
"wife",5,"w2f",3,"5.67",2,"5.15","4.13","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","2-320","wife","wif","wiÌ„f",3
"throat",5,"Tr5t",4,"5.09",2,"4.16","4.97","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-290","throat","throte","ceolor",6
"lamb",5,"l{m",3,"4.15",2,"4.61","4.97","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-290","lamb","lomb","lamb",4
"tail",5,"t1l",3,"3.70",4,"4.45","4.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-180","tail","tail","tÃ_gl (steort)",10
"stone",5,"st5n",4,"4.44",2,"4.84","4.72","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-440","stone","ston","staÌ„n",4
"storm",5,"st$m",4,"4.94",2,"4.46","4.70","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-580","storm","storm","storm",5
"friend",5,"frEnd",5,"3.57",2,"5.29","3.07","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","19-510","friend","frend","gesiÌ„Î¸",5
"braid",5,"br1d",4,"7.22",2,"2.59","4.38","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-921","braid","breiden","bundenfeax",10
"duck",5,"dVk",3,"3.50",2,"4.53","4.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-570","duck","doke","ened (duÌ„ce)",8
"rib",5,"rIb",3,"6.30",2,"3.52","4.90","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-162","rib","rib-be","ribb",4
"dust",5,"dVst",4,"5.06",2,"4.39","4.40","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-213","dust","dust","duÌ„st",4
"ram",5,"r{m",3,"8.32",2,"3.65","4.55","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-260","ram","ram","ramm",4
"ship",5,"SIp",3,"5.33",2,"4.77","4.87","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","10-810","ship","ship","scip",4
"shit",5,"SIt",3,"6.53",NA,"4.68","4.33","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-660","defecate","shiten","dyncge",6
"rain",5,"r1n",3,"3.60",2,"5.08","4.97","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-750","rain","rein","regn",4
"snake",5,"sn1k",4,"5.10",2,"4.36","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-850","snake","worm","nÃ_Ì„dre",5
"thing",5,"TIN",3,"4.58",2,"5.94","3.17","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","11-180","thing","thing","Î¸ing",4
"heaven",5,"hEvH",4,"4.22",2,"4.60","1.81","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","22-310","heaven","heven","heofon",6
"belly",5,"bElI",4,"4.05",2,"4.08","4.80","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","","","","",NA
"north",5,"n$T",3,"6.55",4,"5.32","4.14","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","12-470","north","north","norÎ¸",4
"miss",5,"mIs",3,"6.33",2,"5.21","2.54","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-630","miss target","missen","missan",6
"waist",5,"w1st",4,"6.42",4,"3.71","4.72","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-462","waist","wast-e","middel",6
"foal",5,"f5l",3,"8.44",12,"3.15","4.32","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-450","foal","fole","fola",4
"shield",5,"Sild",4,"6.50",4,"3.80","4.66","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-340","shield","sheld","scild",5
"neighbour",5,"n1b@R",5,"5.06",NA,"4.24","4.64","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","19-540","neighbor","neighebor","neÌ„ahgebuÌ„r",9
"stepson",5,"stEpsVn",7,"7.94",4,"2.70","3.68","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","2-730","stepson","step-sone","steÌ„opsunu",9
"drink",5,"drINk",5,"3.47",2,"5.06","4.76","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","5-900","beverage","beverage","drenc",5
"horse",5,"h$s",3,"4.15",2,"4.99","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-410","horse","hors","hors",4
"god",5,"gQd",3,"4.35",2,"5.38","2.07","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","22-120","God","God","god",3
"hand",5,"h{nd",4,"2.74",2,"5.44","4.72","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-330","hand","hond-e","hand",4
"whetstone",5,"wEtst5n",7,"12.80",12,"1.81","4.68","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","","","","",NA
"thread",5,"TrEd",4,"7.06",2,"3.74","4.83","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-380","thread","thred-e","Î¸rÃ_Ì„d",4
"spoon",5,"spun",4,"2.50",2,"4.29","4.96","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","5-370","spoon","spon","cucler",6
"embers",5,"Emb@z",5,"10.50",NA,"2.73","4.36","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-841","embers","emeres","gleÌ„d",4
"bead",5,"bid",3,"5.63",4,"2.93","4.90","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-760","bead","bed-e","",NA
"beam",5,"bim",3,"8.78",2,"3.97","3.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-550","beam","bem","treÌ„ow",5
"bean",5,"bin",3,"3.42",2,"4.06","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","5-660","bean","ben-e","beÌ„an",4
"bear",5,"b8R",3,"3.58",2,"4.88","4.88","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-730","bear","ber-e","bera",4
"road",5,"r5d",3,"4.55",2,"5.28","4.75","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","10-710","road","wei","weg",3
"mainland",5,"m1nl@nd",7,"11.63",10,"3.91","4.31","Noun","None","English",NA,3.45098039215686,0.00953247551173794,7,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","1-260","mainland","main-lond","Î¸Ã_t maÌ„re land",11
"shears",5,"S7z",3,"9.46",4,"2.94","4.61","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","9-240","scissors","cisours","sceÌ„ar(a)",6
"board",5,"b$d",3,"6.37",2,"5.10","4.57","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-570","board","bord","bord",4
"tin",5,"tIn",3,"6.79",2,"4.35","4.87","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","1795","2500","205","1795","","9-690","tin","tin","tin",3
"tap",5,"t{p",3,"5.84",2,"4.33","4.29","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","","","","",NA
"womb",5,"wum",3,"9.48",10,"3.46","4.37","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-470","womb","womb-e","hrif",4
"witness",5,"wItnIs",6,"8.74",4,"4.28","4.07","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","21-230","witness","witnes-se","gewita",6
"wrist",5,"rIst",4,"5.94",2,"3.84","4.93","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-321","wrist","wrist-e","handwryst",9
"heel",5,"hil",3,"7.85",2,"3.81","4.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-372","heel","hele","fiersn",6
"elf",5,"Elf",3,"4.32",4,"3.25","4.30","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","22-440","fairy","elf","Ã_lf",3
"groan",5,"gr5n",4,"8.70",2,"3.04","4.09","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","16-390","groan","gronen","siÌ„can",5
"bull",5,"bUl",3,"4.53",2,"4.28","4.85","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-210","bull","bole","fearr",5
"deer",5,"d7R",3,"5.17",2,"4.26","4.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-750","deer","hert","heorot",6
"bone",5,"b5n",3,"5.53",4,"4.51","4.90","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-160","bone","bon","baÌ„n",3
"hip",5,"hIp",3,"6.17",4,"4.37","4.21","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-463","hip","hipe","hype",4
"hat",5,"h{t",3,"3.33",2,"4.76","4.88","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","6-550","hat","hat","hÃ_tt",4
"shoulder",5,"S5ld@R",6,"4.50",2,"4.46","4.93","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","4-300","shoulder","shulder","eaxl",4
"hay",5,"h1",2,"5.32",2,"4.06","4.87","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","8-520","hay","hei","hiÌ„eg",4
"land",5,"l{nd",4,"5.22",2,"5.18","4.57","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","1300","2500","700","1300","","10-920","land","londen","lendan",6
"bow",5,"b5",2,"4.95",2,"4.22","4.61","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","20-240","bow","boue","boga",4
"meat",5,"mit",3,"4.42",2,"4.80","4.90","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","5-610","meat","flesh","flÃ_Ì„sc(mete)",9
"yard",5,"j#d",3,"3.94",2,"4.33","4.82","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","7-150","yard","yerd","geard",5
"mare",5,"m#r1",4,"8.84",6,"3.65","4.75","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-440","mare","mere","mere (myre)",8
"crow",5,"kr5",3,"5.74",2,"3.65","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-593","crow","croue","craÌ„we",5
"louse",5,"l6s",3,"10.26",6,"2.67","#N/A","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-811","louse","lous-e","luÌ„s",3
"nettle",5,"nEtP",4,"14.33",12,"3.08","3.88","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","8-970","nettle","netle","netel(e)",6
"dove",5,"d5v",3,"6.63",4,"3.46","4.88","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","3-594","dove","douve","culfer",6
"fear",5,"f7R",3,"4.79",2,"4.84","2.57","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Germanic","Proto-Germanic","2500","2500","Proto-Germanic","","16-530","fear","fer","ege(sa)",5
