Name	Pinyin	English	Source	LEN	VAR	IMG	FAM	VC	FREQ	NA	H value	CA	AoA_r	AoA_o	error	RT_harm
船	chuan2	boat	4	1	3.71	3.56	4.5	3.73	2.57	0.53	2.3	0.98	2.56	4.2	0	1026
骨头	gu3 tou2	bone	2	2	3.26	4.61	4.33	2.16	2.77	0.95	0.34	1	2.5	3.18	0.03	910
书	shu1	book	1	1	3.62	4.4	4.83	2.22	4.63	0.88	0.71	1	1.88	2.84	0	799
书架	shu1 jia4	bookshelf	4	2	3.02	3.81	4.47	2.67	3.69	0.65	1.44	0.95	3.71	7.09	0	1088
靴子	xue1 zi3	boot	1	2	2.81	3.63	4.75	2.24	2.76	0.65	2.05	0.88	4.59	7.45	0	920
瓶子	ping2 zi3	bottle	1	2	3.69	4.14	4.75	1.51	3.23	0.45	1.81	1	2.35	3.67	0	853
弓	gong1	bow	4	1	2.71	3.74	4.14	2.11	1.94	0.83	0.63	0.9	3.56	8.27	0	1069
蝴蝶结	hu2 die2 jie2	bowknot	1	3	3.36	3.83	4.61	2.14	2.29	0.7	1.1	0.93	3.25	5.78	0.03	907
碗	wan3	bow	1	1	2.74	4.14	4.69	1.59	3.97	1	0	1	1.56	2.48	0	782
盒子	he2 zi3	box	1	2	2.83	3.6	4.06	1.22	3.69	0.5	2.47	0.65	2.06	5.68	0.06	1083
大脑	da4 nao3	brain	5	2	3.05	4.26	3.81	4.11	3.62	0.65	1.35	0.95	4.06	10.36	0	1017
面包	mian4 bao1	bread	1	2	3.93	3.75	4.42	1.84	4.03	0.75	1.07	0.9	3.25	3.56	0.03	973
桥	qiao2	bridge	4	1	3.05	3.08	4.42	3.08	3.11	0.53	2.19	1	2.71	3.73	0.06	1053
刀	dao1	broadsword	5	1	2.74	3.33	4.5	2.14	3.43	0.58	1.47	0.95	2.5	7.09	0.03	881
扫帚	sao3 zhou3	broom	1	2	3.21	3.92	4.72	2.73	3.54	0.43	2.19	0.8	2.2	6.94	0.06	1038
刷子	shua1 zi3	brush	1	2	2.93	3.79	4.58	2.65	2.89	0.83	0.97	0.95	3	10.45	0.03	898
水桶	shui3 tong3	barrel	1	2	3.36	3.75	4.31	2.65	2.91	0.55	1.77	0.98	2.41	5.67	0	1022
子弹	zi3 dan4	bullet	5	2	2.48	3.47	4.25	3.03	2.2	0.8	0.83	0.85	3.63	5.74	0.09	1191
公交车	gong1 jiao1 che1	bus	1	3	3.36	4.31	4.94	3.54	4.17	0.43	2.4	1	5.25	3.19	0	1026
蝴蝶	hu2 die2	butterfly	1	2	2.9	4.58	4.78	3.43	2.29	0.98	0.17	0.98	2.88	1.94	0	727
钮扣	niu3 kou4	button	1	2	3.33	4.44	4.25	1.65	3.51	0.5	1.13	0.85	2.65	3.56	0.09	1054
白菜	bai2 cai4	cabbage	5	2	2.95	3.79	4.22	4.27	3.65	0.75	1.34	0.9	2.13	3.67	0.06	920
仙人掌	xian1 ren2 zhang3	cactus	4	3	2.88	3.11	3.97	3.27	1.91	0.73	0.91	0.75	3.69	5.73	0.11	1264
蛋糕	dan4 gao1	cake	1	2	3.1	3.5	4.56	2.75	3.29	0.88	0.18	0.88	3.06	3.56	0.03	973
日历	ri4 li4	calendar	5	2	3.62	3.83	4.86	2.68	3.51	0.9	0.62	1	2.81	7.44	0	924
骆驼	luo4 tuo2	camel	1	2	2.93	3.34	4.36	3.03	1.89	0.8	0.79	0.98	3.5	4.72	0.03	939
照相机	zhao4 xiang1 ji1	camera	1	3	3.48	4.17	4.72	3.78	3.23	0.6	0.97	1	4.13	3.78	0	876
蜡烛	la4 zhu2	candle	1	2	2.81	4.64	4.83	2.16	2.29	0.93	0.45	1	2.38	3.78	0	757
糖	tang2	candy	4	1	2.88	4.31	4.64	2.49	3.73	0.6	1.09	0.95	1.71	2.63	0.03	929
大炮	da4 pao2	cannon	1	2	3.64	3.11	3.69	3.84	1.94	0.63	1.44	0.8	3.06	10.35	0.17	1136
帽子	mao4 zi3	cap	1	2	3.62	2.97	4.58	1.92	3.31	0.8	1.03	1	2	4.17	0	832
轿车	jiao4 che1	car	1	2	3.62	4.19	4.89	3.68	3.44	0.35	2.15	1	4	2.74	0	906
扑克	pu1 ke4	card	4	2	2.95	4.06	4.94	2.32	2.63	0.58	1.6	1	3.47	4.18	0	816
萝卜	luo2 bu3	carrot	1	2	3.07	3.94	4.78	2.54	3.24	0.5	1.14	1	2.53	4.6	0	839
猫	mao1	cat	1	1	3.07	3.75	4.75	2.3	3.11	0.98	0.17	0.98	1.88	2.86	0.03	839
弹弓	dan4 gong1	catapult	4	2	2.83	4.56	4.67	2.16	1.66	0.75	1.1	0.85	2.69	10.55	0.06	1178
毛毛虫	mao2 mao2 chong2	caterpillar	1	3	2.38	4.08	4	3.27	2.06	0.55	1.57	0.65	4.88	5.78	0.09	927
芹菜	qin2 cai4	celery	1	2	3.07	3.46	4	3.86	3.26	0.55	1.89	0.55	3.29	10.55	0.14	1168
大提琴	da4 ti2 qin2	cello	4	3	2.36	3.71	4.36	3.49	2.06	0.45	2.2	0.8	5.18	10.93	0.03	1003
铁链	tie3 lian4	chain	1	2	3.07	4.39	4.42	2.32	2.23	0.58	1.74	0.98	3.65	5.74	0	1047
椅子	yi3 zi3	chair	1	2	3.95	4.03	4.97	2.11	4.14	0.45	0.63	1	2	5.68	0	771
樱桃	ying1 tao2	cherry	1	2	2.69	4	4.19	1.7	2.51	0.55	1.56	0.55	4.12	10.68	0.06	1109
小鸡	xiao3 ji1	chicken	2	2	2.69	4.03	4.33	3.08	2.23	0.83	0.9	0.83	2.06	10.45	0.03	1024
烟囱	yan1 cong1	chimney	1	2	2.88	4.06	4.67	3.19	2.23	0.98	0.17	0.98	3.18	4.69	0	858
教堂	jiao4 tang2	church	1	2	3.24	3.25	4.08	3.19	2.09	0.4	2.09	0.43	5.94	11	0.03	1014
烟	yan1	cigarette	1	1	3.1	4.42	4.39	1.92	2.91	0.73	1.17	0.95	3.69	7.09	0.03	966
钟	zhong1	clock	5	1	2.9	3.61	4.53	2.83	3.57	0.5	2.44	0.98	2	4.2	0	987
夹子	jia1 zi3	cramp	1	2	2.98	3.4	4.61	2.38	3.03	0.68	1.57	0.88	2.94	9.16	0.11	1122
云	yun2	cloud	5	1	2.88	3.28	4.36	1.86	3.43	0.45	2.16	0.98	2.19	3.73	0	988
小丑	xiao3 chou3	clown	1	2	3.19	3.56	3.58	4	1.89	0.6	1.65	0.6	4.44	5.74	0.09	1289
大衣	da4 yi1	coat	1	2	3.24	4.03	4.75	2.32	2.91	0.55	1.69	0.95	3.82	9.21	0.03	899
梳子	shu1 zi3	comb	1	2	2.95	3.42	4.75	2.35	4.26	0.98	0.17	1	2.59	4.2	0	778
指南针	zhi3 nan2 zhen1	compass	4	3	2.81	4.06	4.53	2.76	2.03	0.75	1.32	0.75	4.5	10.4	0.06	997
电脑	dian4 nao3	computer	5	2	3.12	4.36	4.97	4.78	4.54	1	0	1	5.81	2.81	0.03	873
玉米	yu4 mi3	corn	1	2	2.4	4.47	4.75	3.78	3.46	0.95	0.34	1	2.53	3.73	0.03	824
沙发	sha1 fa1	couch	1	2	2.71	4.08	4.86	2.14	3.23	0.93	0.5	0.98	4.25	3.42	0.03	878
牛	niu2	cow	1	1	3.12	3.94	4.67	3.68	2.66	0.68	1.57	0.98	3.76	7.71	0	899
螃蟹	pang2 xie4	crab	4	2	2.95	3.77	4.17	3.19	2.31	0.85	0.61	1	4.12	2.81	0	1051
仙鹤	xian1 he4	crane	5	2	3.07	3.51	3.94	3.22	1.89	0.28	2.54	0.78	4.41	9.16	0.14	1300
皇冠	huang2 guan1	crown	1	2	2.9	3.67	3.67	3.51	1.83	0.48	1.54	0.8	4.06	5.77	0.03	1184
拐杖	guai3 zhang4	crutch	3	2	2.57	3.03	4.42	2.68	2.11	0.73	0.88	0.9	3.53	10.45	0.03	1337
丝瓜	si1 gua1	cucumber	5	2	3.19	4.39	4.14	3.89	2.31	0.53	1.28	0.53	3.5	10.85	0.11	1477
茶杯	cha2 bei1	cup	1	2	3.14	4.11	4.75	1.81	3.91	0.45	1.51	1	2.36	2.74	0	816
窗帘	chuang1 lian2	curtain	4	2	3.19	3.31	4.44	2.54	3.63	0.85	0.64	0.93	2.88	3.58	0.09	1250
飞镖	fei1 biao1	dart	1	2	3.17	3.89	3.89	3.39	1.71	0.48	2.01	0.55	4.94	10.6	0.14	1502
鹿	lu4	deer	1	1	2.79	3.97	4.36	3.24	2.14	0.63	1.53	0.95	3.25	10.64	0.06	1021
书桌	shu1 zhuo1	desk	1	2	2.9	3.5	4.81	2.81	4.06	0.38	1.9	0.95	2.88	10.6	0	1087
钻石	zuan1 shi2	diamond	2	2	2.93	4.06	3.86	2.42	2.14	0.68	0.81	0.7	4.65	10.33	0.06	1245
骰子	tou2 zi3	dice	3	2	2.9	4.35	4.5	3.08	1.94	0.75	0.89	0.75	4.76	9.16	0	1254
恐龙	kong3 long2	dinosaur	3	2	2.79	3.5	3.83	3.11	2.17	0.88	0.36	0.93	4	3.73	0.09	1332
光盘	guang1 pan2	disk	2	2	3.24	4.61	4.81	2.38	3.38	0.53	2.07	0.98	6.06	4.84	0.03	1035
医生	yi1 sheng1	doctor	5	2	3.02	2.69	4.61	4.08	3.2	0.8	0.98	1	2.63	4.42	0	1276
狗	gou3	dog	1	1	3.64	4.22	4.67	2.46	3.46	0.95	0.29	1	1.88	2.48	0	885
驴	lv2	donkey	1	1	2.71	3.71	4.39	3.46	2.11	0.5	2.02	0.7	2.94	8.77	0	1005
门	men2	door	1	1	3.69	3.81	4.86	2.57	4.4	0.83	0.87	0.98	1.76	2.25	0.03	741
门把手	men2 ba3 shou3	door knob	1	3	2.88	3.11	3.72	2.24	3.24	0.15	3.57	0.35	3.63	10.73	0.23	1558
龙	long2	dragon	5	1	2.74	3.92	4.36	4.89	2.23	0.78	0.68	0.83	2.94	3.56	0.03	1009
蜻蜓	qing1 ting2	dragon fly	4	2	3.36	4.61	4.58	3.05	2.09	1	0	1	2.44	3.73	0	875
抽屉	chou1 ti4	drawer	4	2	2.79	3.97	4.69	1.95	3.86	0.85	0.7	0.95	2.94	7.89	0.06	994
连衣裙	lian2 yi1 qun2	dress	1	3	3.38	3.53	4.69	1.95	2.74	0.53	2.1	0.88	3.56	9.16	0	926
柜子	gui4 zi3	dresser	1	2	2.93	3.29	4.69	2.62	3.6	0.63	1.8	0.8	2.5	5.67	0	1167
电钻	dian4 zuan1	drill	2	2	2.9	3.97	4.11	3.27	1.69	0.28	3.09	0.63	5.75	10.73	0.11	1248
鼓	gu3	drum	3	1	2.74	3.92	4.19	3.59	2.17	0.78	1.38	0.98	3	4.58	0.03	971
鸭子	ya1 zi3	duck	1	2	2.83	3.97	4.69	2.62	2.74	0.5	1.19	0.5	2.24	10.6	0.03	975
杠铃	gang4 ling2	dumbbell	2	2	3.12	3.84	4.39	2.92	2.06	0.5	1.62	0.58	5.35	10.6	0.23	1322
鹰	ying1	eagle	1	1	2.52	3.67	4.31	3.43	2.14	0.5	1.92	0.68	3.5	5.58	0.03	1158
耳朵	er3 duo3	ear	1	2	2.33	4.47	4.97	2.57	3.8	0.9	0.57	1	1.94	3.73	0	696
耳环	er3 huan2	earring	4	2	2.88	2.76	4.19	2.57	2.94	0.33	2.93	0.75	3.88	10.55	0.09	1265
蚯蚓	qiu1 yin3	earthworm	1	2	3.14	3.69	3.75	2.32	1.89	0.68	1.27	0.7	2.88	9.03	0.14	1204
鸡蛋	ji1 dan4	egg	2	2	3	4.11	4.19	2.27	4.23	0.68	0.91	1	2	5.78	0.03	969
茄子	qie2 zi3	eggplant	5	2	2.74	3.53	4.25	2.27	3.26	0.7	1.09	0.73	2.63	5.67	0	1188
大象	da4 xiang4	elephant	1	2	2.64	4.42	4.58	3.76	2.17	0.88	0.63	1	2.81	2.63	0	785
信封	xin4 feng1	envelope	1	2	3.17	4.14	4.72	1.22	2.83	0.83	0.77	0.98	3.81	8.92	0	837
橡皮擦	xiang4 pi2 ca1	eraser	2	2	2.6	3.34	4.36	1.57	1.82	0.45	1.9	0.6	2.6	7.17	0.03	1167
眼睛	yan3 jing1	eye	1	2	2.71	4.06	4.97	3	4.29	0.78	1.04	1	1.53	1.94	0	646
扇子	shan4 zi3	fan	5	2	2.86	3.97	4.64	3.95	2.76	0.78	1.23	1	2.33	3.67	0	842
羽毛	yu3 mao2	feather	5	2	2.95	4.09	4.17	2.27	2.66	0.83	1.06	0.95	2.65	6.94	0	996
栅栏	zha4 lan2	fence	1	2	3.14	4.36	4.36	2.05	2.23	0.78	1.05	0.98	4.12	8.67	0.03	1080
食指	shi2 zhi3	finger	1	2	2.52	4.47	4.86	2.54	3.57	0.55	1.4	1	1.44	5.65	0	825
火	huo3	fire	5	1	3.07	3.5	3.67	3.54	3.43	0.48	1.67	0.88	1.75	5.19	0.03	1105
鱼	yu2	fish	1	1	3.14	4.14	4.72	3.46	3.57	0.73	1.4	1	2.18	2.63	0	704
鱼缸	yu2 gang1	fish global	1	2	2.88	3.88	4.36	3.7	2.4	0.7	1.53	0.88	3.75	3.78	0.06	1208
鱼钩	yu2 gou1	fishhook	1	2	3.02	4.09	3.97	1.59	2.09	0.23	1.96	0.58	3.69	10.75	0.11	1283
拳头	quan2 tou2	fist	2	2	2.62	4.47	4.75	3.03	3.29	0.88	0.71	1	2.56	6.69	0	835
红旗	hong2 qi2	flage	1	2	2.88	3.86	4.81	1.73	2.51	0.3	2.17	1	2.38	2.86	0.03	809
软盘	ruan3 pan2	floppy disk	5	2	2.57	4.26	3.44	3.11	3	0.48	2.02	0.83	6.87	10.4	0.11	1573
花	hua1	flower	1	1	4.12	3.61	4.69	2.49	3.77	0.6	1.52	0.83	1.59	2.25	0.06	824
笛子	di2 zi3	flute	1	2	2.79	3.66	2.94	2.95	2.14	0.25	2.52	0.63	3.81	5.77	0.2	1357
苍蝇	cang1 ying2	fly	1	2	2.81	3.69	4.03	3.32	2.83	0.63	1.86	0.7	2.44	10.45	0.06	1127
脚	jiao3	foot	1	1	3.12	4.2	5	2.19	4.32	0.68	1.56	1	1.29	2.25	0	791
橄榄球	gan3 lan3 qiu2	football	1	3	2.1	4	3.11	2.41	1.97	0.45	0.72	0.5	5.75	10.5	0.31	1374
叉子	cha1 zi3	fork	1	2	3.02	4.38	4.67	1.89	2.77	0.88	0.63	0.98	2.75	3.19	0.03	874
狐狸	hu2 li2	fox	1	2	2.69	3.69	4.36	2.97	2.06	0.7	1.27	0.8	2.94	5.78	0	988
青蛙	qing1 wa1	frog	1	2	2.69	4.26	4.72	2.86	2.46	0.9	0.62	1	2.5	2.63	0	809
漏斗	lou4 dou3	funnel	1	2	2.76	4.16	4.5	1.22	2.14	0.98	0.17	0.98	4.06	10.4	0.03	1022
垃圾桶	la1 ji1 tong3	garbage	1	3	3.56	3.58	4.47	2.86	4.14	0.48	1.95	0.53	4	4.2	0.03	1105
长颈鹿	chang2 jing3 lu4	giraffe	1	3	2.43	4.5	4.53	4.3	1.86	0.93	0.45	0.98	3.18	2.63	0	884
女孩	nv3 hai2	girl	4	2	3.71	3.47	4.78	2.73	4.29	0.6	2.12	0.93	2.19	7.84	0	913
杯子	bei1 zi3	glass	1	2	3.4	3.69	4.67	1.76	4.2	0.45	1.75	1	3.13	4.44	0.06	806
眼镜	yan3 jing4	glasses	1	2	3.71	4.44	4.97	2.08	4.17	1	0	1	3.71	2.25	0	694
地球	di4 qiu2	globe	4	2	2.52	4	4.81	3.35	3.09	0.58	1.12	1	3.38	4.42	0	844
手套	shou3 tao4	glove	1	2	3.17	3.97	4.75	2.62	3.12	0.93	0.5	0.95	2.81	2.69	0	751
山羊	shan1 yang2	goat	1	2	2.79	4.26	4.58	2.68	1.97	0.8	0.89	0.95	2.44	9.16	0.03	1049
金鱼	jin1 yu2	goldfish	5	2	3.67	3.32	3.53	4.35	2.34	0.85	0.64	0.9	3.25	7.94	0.03	1222
锣	luo2	gong	5	1	2.27	4	4.25	2.16	1.86	0.73	1.22	0.88	4.19	10.32	0.06	1142
鹅	e2	goose	5	2	3.07	3.53	4.53	1.97	2.57	0.7	1.56	0.93	2.13	4.72	0.03	986
猩猩	xing1 xing1	gorilla	1	2	2.86	3.5	4.28	2.7	2.29	0.6	1.99	0.9	4	4.42	0	1025
葡萄	pu2 tao2	grape	1	2	3.14	4.56	4.75	2.89	3.17	0.98	0.17	0.98	1.81	2.86	0	806
草	cao3	grass	5	1	3.07	3.57	4.47	2.75	3.37	0.48	2.19	0.98	1.44	3.56	0.06	1072
蝗虫	huang2 chong2	grasshopper	1	2	2.64	4.45	4.44	4.05	1.8	0.33	2.32	0.8	4.88	10.67	0.09	1296
吉他	ji2 ta1	guitar	1	2	2.9	4.42	4.69	3.35	2.37	0.8	0.83	0.8	5.53	10.53	0.06	992
手枪	shou3 qiang1	gun	1	2	3.19	4.08	4.39	2.95	2.23	0.73	1.15	1	3.81	2.74	0	716
头发	tou2 fa1	hair	1	2	2.76	2.74	3.36	2.81	4.26	0.55	1.81	0.63	2.06	10.4	0.23	1275
汉堡	han4 bao3	hamburger	1	2	2.64	4.58	4.14	3.46	3.4	0.65	1.29	0.8	6.12	3.81	0.06	1222
锤子	chui2 zi3	hammer	1	2	3.12	4.11	4.72	2.22	2.31	0.58	2.23	0.8	3.06	4.66	0	1148
手	shou3	hand	1	1	3.4	4.42	4.92	2.83	4.4	0.73	1.21	1	1.24	2.25	0.03	726
手铐	shou3 kao4	handcuff	4	2	3.24	4.69	4.36	2.89	1.77	0.95	0.17	0.98	4.44	10.3	0.03	1001
衣架	yi1 jia4	hanger	1	2	2.55	4.17	4.97	1.16	3.89	0.83	1.04	0.98	3.44	3.74	0.06	980
竖琴	shu4 qin2	harp	1	2	3.14	4.13	3.36	3.24	1.39	0.4	1.46	0.4	5.56	10.3	0.14	1141
帽子	mao4 zi3	hat	1	2	3.31	3.51	4.47	2.14	3.46	0.65	1.44	0.98	2.31	4.84	0.03	688
耳机	er3 ji1	headphone	1	2	2.76	3.61	4.53	3.81	4	0.63	1.21	0.95	5.69	10.36	0.09	1407
心	xin1	heart	1	1	2.76	4.09	4.83	1.16	3.69	0.63	1.79	1	2.81	4.58	0.03	856
刺猬	ci4 wei4	hedgehog	2	2	3.38	3.43	3.5	4.43	1.74	0.93	0.18	0.93	3.35	3.73	0	1033
直升机	zhi2 sheng1 ji1	helicopter	1	3	3.48	4.44	4.56	3.16	2.34	0.45	1.53	1	4	4.42	0	888
头盔	tou2 kui1	helmet	1	2	2.95	2.79	2.39	2.73	1.85	0.38	1.16	0.48	5	10.65	0.6	1809
母鸡	mu3 ji1	hen	1	2	2.24	4.36	4.92	2.86	2.51	0.83	0.67	1	2.24	10.4	0.03	836
啄木鸟	zhuo2 mu4 niao3	woodpecker	4	3	3.31	3.46	3.72	3.7	2	1	0	1	3.06	7.84	0.06	1209
河马	he2 ma3	hippo	1	2	2.88	3.58	3.56	3.84	1.86	0.75	0.52	0.75	4.65	7.17	0.03	1223
马蹄	ma3 ti2	hoof	5	2	2.79	3.66	4.17	2.22	1.8	0.4	2.13	0.95	3.69	5.78	0.03	1218
钩子	gou1 zi3	hook	5	2	3.07	3.83	3.78	1.32	2.51	0.53	2.3	0.93	3	3.78	0.03	1069
圆号	yuan2 hao4	horn	1	2	2.86	3.29	4.03	4.27	2.14	0.35	2.4	0.7	5	4.58	0.11	1315
马	ma3	horse	1	1	3.12	4.22	4.75	3.35	2.66	0.98	0.17	1	2.06	2.3	0	916
房子	fang2 zi3	house	1	2	3.86	3.83	4.69	3.59	3.91	0.68	1.79	1	1.69	2.3	0	831
熨斗	yun4 dou3	iron	1	2	2.55	4.53	4.25	3.03	1.94	0.85	0.73	0.98	3.88	10.59	0	995
外套	wai4 tao4	jacket	1	2	3.45	3.72	4.86	2.76	3.71	0.28	2.85	0.75	3.47	11	0	872
洗手池	xi3 shou3 chi2	jar	1	3	3.38	2.66	4.06	2.54	3.6	0.08	4.29	0.6	2.82	10.32	0.14	985
法官	fa3 guan1	judge	5	2	3.31	3.29	4.08	4.27	2.26	0.85	0.64	0.93	5.13	10.6	0.06	1063
袋鼠	dai4 shu3	kangaroo	1	2	2.98	4.43	4.5	3.22	1.85	0.95	0.34	0.98	4.38	3.73	0	892
水壶	shui3 hu2	kettle	1	2	3.05	3.09	4.75	2.54	3.8	0.8	1.17	1	2.69	3.78	0.06	868
钥匙	yue4 chi2	key	1	2	3.19	4.39	4.97	2.08	4.31	1	0	1	2.63	2.79	0.03	694
厨房	chu2 fang2	kitch	2	2	2.52	3.49	4	3.68	2.91	0.68	0.78	0.68	3	5.78	0.06	1283
风筝	feng1 zheng1	kite	1	2	3.55	3.31	4.25	2.24	2.4	0.95	0.17	0.95	3.35	4.58	0.03	849
刀	dao1	knife	1	1	2.83	2.86	3.22	1.38	3.2	0.23	2.56	0.8	2.35	3.56	0.31	1095
梯子	ti1 zi3	ladder	1	2	3.24	4.18	4.69	2.11	2.59	0.78	1.09	0.98	2.47	3.78	0.03	888
羊	yang2	lamb	1	1	2.95	3.39	4.22	2.65	2.5	0.38	2.31	0.85	3.13	10.8	0.09	1278
台灯	tai2 deng1	lamp	1	2	2.93	3	4.58	1.7	3.89	0.9	0.3	0.95	3.53	4.74	0	941
灯笼	deng1 long2	lantern	5	2	3.55	4	4.58	2.22	2.03	1	0	1	2.31	4.17	0	937
割草机	ge1 cao3 ji1	lawnmower	1	3	2.6	3.68	3.11	4.57	1.71	0.25	1.42	0.55	6.18	10.77	0.34	1703
树叶	shu4 ye4	leaf	1	2	3.05	3.64	4.72	2.32	3.54	0.43	1.67	1	2.07	2.3	0	886
腿	tui3	leg	1	1	3.6	3.97	4.97	2	4.09	0.73	1.6	1	1.56	3.41	0	904
柠檬	ning2 meng2	lemon	1	2	2.4	3.93	2.97	1.59	2.91	0.33	2.23	0.33	5.44	7.09	0.17	1434
豹子	bao4 zi3	leopard	5	2	2.65	3.82	4.14	4.35	1.77	0.48	1.66	0.93	3.94	4.69	0.09	1147
信	xin4	letter	3	1	3.1	3.36	4.34	3.92	3.11	0.6	1.84	0.93	3.59	10.68	0	1327
卷心菜	juan4 xin1 cai4	lettuce	1	3	3.02	2.91	2.86	3.19	3	0.2	2.8	0.55	4.31	10.87	0.23	1239
灯泡	deng1 pao4	lightbulb	1	2	2.81	4.33	4.89	2.76	3.14	0.9	0.62	1	2.19	3.41	0	729
