word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
necklace,1,nEklIs,6,5,2,3.8,4.96,Noun,French contact,French (Anglo-Norman),laz,3.5,0.25947247,3,1577,1577,423,423,1577,Replacement,6-750,necklace,coler,(heals)myne,9,C
collect,1,k@lEkt,6,5.61,2,4.48,3.34,Verb,Latin contact,Middle French,collecter,3.5,0.000505403,9,1573,1573,427,427,1573,Coexistence,12-210,collect,gaderen,gaderian,8,Z
mosquito,1,m@skit5,7,6.1,4,3.29,4.88,Noun,Spanish contact,Spanish,mosquito,8.051282051,0.033596096,8,1572,1572,428,428,1572,Insertion,3-832,mosquito,,,NA,U
cone,1,k5n,3,4.67,2,3.67,4.86,Noun,Latin contact,Latin,conus,4.833333333,0.322843879,5,1570,1570,430,430,1570,Insertion,,,,,NA,M
alligator,1,{lIg1t@R,8,4.78,2,3.21,4.96,Noun,Spanish contact,Spanish,el lagarto,8.051282051,0.00051614,10,1568,1568,432,432,1568,Insertion,3-970,crocodile,cocodril,,NA,R
tapir,1,t1p@R,5,11.23,13,3.07,#N/A,Noun,French contact,TupÌ_,tapyra,4.941176471,0.078947368,6,1568,1568,432,432,1568,Insertion,,,,,NA,M
bank,1,b{Nk,4,6.44,2,5.28,4.78,Noun,French contact,French,banque,3.5,0.028830274,6,1567,1567,433,433,1567,Insertion,,,,,NA,Z
government,1,gVvHm@nt,8,8.5,2,5.76,2.88,Noun,French contact,French,gouvernement,3.5,1.09E-07,12,1566,1566,434,434,1566,Insertion,,,,,NA,C
silent,1,s2l@nt,6,4.42,4,4.25,3.67,Adjective,NA,Latin,"silen-s, -tem",4.833333333,9.75E-08,13,1565,1565,435,435,NA,NA,NA,NA,NA,NA,NA,Z
prostitute,1,prQstItjut,10,11.78,10,3.5,4.28,Noun,Latin contact,Latin,prÅçstitÅÇta,4.833333333,0.000751411,10,1563,1563,437,437,1563,Coexistence,19-720,prostitute,hor-e,myltestre,9,R
banana,1,b@n#n@,6,3.78,2,4.21,5,Noun,Spanish contact,Portuguese,banana,4.038461538,0.1,6,1563,1563,437,437,1563,Insertion,8-840,banana tree,,,NA,M
toucan,1,tuk@n,5,8.69,13,2.7,4.66,Noun,French contact,TupÌ_,tucana,4.941176471,0.078947368,6,1558,1558,442,442,1558,Insertion,,,,,NA,M
canoe,1,k@nu,4,6.63,4,3.5,4.86,Noun,Spanish contact,Spanish,canoa,8.051282051,0.226773649,5,1555,1555,445,445,1555,Insertion,10-831,canoe,,,NA,Z
hammock,1,h{m@k,5,7.11,6,3.13,4.89,Noun,Spanish contact,Spanish,hamaca,8.051282051,0.167980481,6,1555,1555,445,445,1555,Insertion,,,,,NA,M
potato,1,p@t1t5,6,4.84,2,4.44,4.85,Noun,Spanish contact,Spanish,patata,8.051282051,0.167980481,6,1555,1555,445,445,1555,Insertion,5-700,potato,,,NA,M
savanna,1,s@v{n@,6,12,13,2.58,4.32,Noun,Spanish contact,Spanish,sabana,8.051282051,0.167980481,6,1555,1555,445,445,1555,Insertion,,,,,NA,M
cassava,1,k@s#v@,6,17.44,14,2.04,#N/A,Noun,French contact,French,cassave,3.5,0.009610091,7,1555,1555,445,445,1555,Insertion,8-920,tapioca,,,NA,M
manioc,1,m{nIQk,6,#N/A,14,2.09,#N/A,Noun,French contact,French,manioc,3.5,0.028830274,6,1554,1554,446,446,1554,Insertion,8-920,tapioca,,,NA,M
footprint,1,fUtprInt,8,5.78,4,3.62,4.37,Noun,French contact,Middle French,prente,3.5,0.028831575,6,1552,1552,448,448,1552,No information,4-374,footprint,fot-step,fo’‹tspor,7,C
extinguish,1,IkstINgwIS,10,8.95,8,2.76,3.47,Verb,Latin contact,Latin,extinguere,4.833333333,0.000751411,10,1551,1551,449,449,1551,Coexistence,1-861,extinguish,extincten,acwencan,8,R
vulva,1,vVlv@,5,13.11,12,1.9,4.5,Noun,Latin contact,Latin,vulva,4.833333333,0.322843879,5,1548,1577,452,423,1548-1577,Coexistence,,,,,NA,M
invite,1,Inv2t,5,6.79,2,4.16,3,Verb,French contact,French,inviter,3.5,0.009610091,7,1548,1548,452,452,1548,Replacement,,,,,NA,C
pregnant,1,prEgn@nt,8,6.76,6,4.43,4.59,Adjective,NA,Latin,"praegnan-s, -tem",4.833333333,2.17E-13,16,1545,1545,455,455,NA,NA,NA,NA,NA,NA,NA,O
plate,1,pl1t,4,3.84,2,4.73,4.77,Noun,French contact,French (Anglo-Norman),plat,3.5,0.269082562,4,1545,1545,455,455,1545,Replacement,5-320,plate,dish,disc,4,Z
machine,1,m@Sin,5,6.53,2,4.83,4.25,Noun,French contact,French,machine,3.5,0.009610091,7,1545,1545,455,455,1545,Insertion,,,,,NA,Z
maize,1,m1z,3,9.59,12,3.11,4.58,Noun,Spanish contact,Spanish,maiz,8.051282051,0.344359985,4,1543,1543,457,457,1543,Insertion,8-470,maize,,corn,4,M
tendon,1,tEnd@n,6,9.58,10,2.98,4.47,Noun,NA,Latin,"tendÅç, -nem",4.833333333,5.98E-05,11,1543,1543,457,457,NA,NA,NA,NA,NA,NA,NA,M
alcohol,1,{lk@hQl,7,9,4,4.52,4.76,Noun,French contact,French,alcool,3.5,0.028830274,6,1543,1543,457,457,1543,Insertion,5-940,fermented drink,med-e,be’‹or,4,M
gull,1,gVl,3,8.65,6,3.11,4.08,Noun,Welsh contact,Welsh,gwylan,4.357142857,0.078431373,6,1542,1542,458,458,1542,No information,3-582,gull,gulle,mí_’‹w,3,M
stupid,1,stjupId,7,4.4,4,4.78,1.75,Adjective,Latin contact,Latin,stupidus,4.833333333,0.030654068,8,1541,1541,459,459,1541,Coexistence,17-220,foolish,fol,ungerí_’‹d,7,Z
pus,1,pVs,3,7.78,6,3.13,4.52,Noun,Latin contact,Latin,pÅÇs,4.833333333,0.092241108,3,1541,1541,459,459,1541,Replacement,4-857,pus,pus,gund,4,M
toilet,1,t4lIt,5,3.54,2,4.54,4.97,Noun,French contact,French,toilette,3.5,0.009610091,8,1540,1540,460,460,1540,Insertion,,,,,NA,M
police,1,p@lis,5,5.05,2,5.5,4.79,Noun,French contact,French,police,3.5,0.028830274,6,1540,1540,460,460,1540,Coexistence,,,,,NA,R
brackish,1,br{kIS,6,15.23,13,2.19,#N/A,Adjective,Dutch or Middle Low German contact,Middle Low German,brak,3.553571429,0.195898003,4,1538,1538,462,462,1538,Coexistence,15-390,brackish,salt,,NA,O
headband,1,hEdb{nd,7,6.33,2,3.03,5,Noun,French contact,French,bande,3.5,0.13454128,5,1535,1535,465,465,1535,Insertion,6-780,headband,coroune,he’‹afodcla‘Ÿ,10,C
imitate,1,ImIt1t,6,9.2,6,3.07,2.66,Verb,Latin contact,Latin,imit€År€Ç,4.833333333,0.046120554,7,1534,1534,466,466,1534,No information,17-172,imitate,imitacioun,hyrian,6,O
battery,1,b{t@rI,6,5.58,4,3.87,4.67,Noun,French contact,French (Anglo-Norman),batre,3.5,0.134541281,5,1531,1531,469,469,1531,Insertion,,,,,NA,O
dirty,1,d3tI,4,4.55,2,4.57,4.23,Adjective,Old Norse contact,Old Norse,drit,4.209302326,0.40382879,4,1530,1530,470,470,1530,Coexistence,15-880,dirty,unclene,fu’‹l,3,Z
whirlpool,1,w3lpul,6,8.95,2,2.91,4.64,Noun,Old Norse contact,Old Norse,hvirfla,4.209302326,0.019229942,7,1530,1530,470,470,1530,No information,1-362,whirlpool,gurges,swelgend(ness),12,C
relative,1,rEl@tIv,7,6.47,4,4.07,2.97,Noun,French contact,Latin,relatif,4.833333333,0.046120554,7,1530,1530,470,470,1530,Insertion,2-810,relatives,kin,ma’‹gas,5,C
chest,1,JEst,4,5.05,2,4.48,4.93,Noun,Latin contact,Latin,cista,4.833333333,0.322843879,5,1530,1530,470,470,1530,No information,4-400,chest,brest,(foran)bre’‹ost,11,M
disappear,1,dIs@p7R,7,5.37,2,4.21,2.86,Verb,French contact,French,dÌ©sapparaÌ¨tre,3.5,2.96E-09,13,1530,1530,470,470,1530,Insertion,10-491,disappear,disaperen,a’‹cwincan,8,C
beautiful,1,bjut@fUl,8,5.72,2,5.42,2.16,Adjective,French contact,French (Anglo-Norman),biaute,3.5,0.028830274,6,1526,1526,474,474,1526,Coexistence,16-810,beautiful,fair,wlitig,6,C
sorcerer,1,s$s@r@R,7,11.37,12,3.01,4.47,Noun,French contact,Middle French,sorcier,3.5,0.009610525,7,1526,1526,474,474,1526,Coexistence,22-430,sorcerer,wicch-e,unlybwyrhta,11,C
anxiety,1,{Nz2@tI,7,8.17,8,3.9,2.21,Noun,NA,Latin,"anxiet€Å-s, -tem",4.833333333,2.61E-11,15,1525,1525,475,475,NA,NA,NA,NA,NA,NA,NA,C
wagon,1,w{g@n,5,5.22,2,3.73,4.89,Noun,Dutch contact,Dutch,wagen,3.636363636,0.158503748,5,1523,1523,477,477,1523,Coexistence,10-750,carriage,carre,wí_gn,4,M
fragrant,1,fr1gr@nt,8,9.58,6,3.35,3.35,Adjective,NA,Latin,"fragran-s, -tem",4.833333333,2.61E-11,15,1520,1520,480,480,NA,NA,NA,NA,NA,NA,NA,O
match,1,m{J,3,5.72,2,5.12,4.14,Noun,French contact,French,mÌ¬che,3.5,0.13454128,5,1519,1519,481,481,1519,No information,1-870,match,,,NA,Z
explain,1,Ikspl1n,7,6.5,2,4.83,1.97,Verb,Latin contact,Latin,expl€Ån€Åre,4.833333333,0.023060277,9,1513,1513,487,487,1513,Replacement,17-380,explain,recchen,traht(n)ian,9,R
suspect,1,s@spEkt,7,8.58,2,4.56,2.59,Noun,Latin contact,Latin,suspicere,4.833333333,0.023060277,9,1500,1500,500,500,1500,Replacement,17-440,suspect,suspecioun,rí_’‹sw(i)an,7,Z
trunk,1,trVNk,5,8.3,2,3.93,4.71,Noun,French contact,French,tronc,3.5,0.13454128,5,1490,1490,510,510,1490,Insertion,8-730,trunk,trunk,stefn,5,M
brave,1,br1v,4,6,2,4.64,2.26,Adjective,French contact,French,brave,3.5,0.13454128,5,1485,1485,515,515,1485,Coexistence,16-520,brave,bold,mo’‹dig,5,M
announce,1,@n6ns,5,9.48,4,4.09,3.31,Verb,French contact,French (Anglo-Norman),anoncer,3.5,0.009610091,7,1483,1483,517,517,1483,No information,18-430,announce,kithen,cy’‹‘Ÿan,5,R
luck,1,lVk,3,6.53,2,5.25,1.33,Noun,Dutch contact,Dutch,(ge)luk,3.636363636,0.003531474,7,1481,1481,519,519,1481,Coexistence,16-180,fortune,fortune,gelimp,6,M
obscure,1,@bskj9R,7,11.87,12,4.19,2,Adjective,French contact,Old French,oscur,4.117647059,0.104364562,5,1475,1475,525,525,1475,Coexistence,17-350,obscure,derk,dimm,4,R
surrender,1,s@rEnd@R,8,7.61,4,3.76,2.63,Verb,French contact,French,surrendre,3.5,0.00050538,9,1466,1466,534,534,1466,Coexistence,20-460,surrender,yelden,a’‹gifan,6,O
fork,1,f$k,3,3.63,2,3.97,4.9,Noun,Latin contact,Latin,furca,4.833333333,0.322843879,5,1463,1463,537,537,1463,Insertion,5-390,fork,forke,,NA,Z
remains,1,rIm1nz,6,7.87,6,4.66,3.46,Verb,French contact,French (Anglo-Norman),remanoir,3.5,0.009610091,8,1456,1456,544,544,1456,Coexistence,12-170,remains,leving-e,la’‹f,3,C
parent,1,p8r@nt,6,4.22,2,4.21,4.56,Noun,French contact,French,parent,3.5,0.028830274,6,1450,1450,550,550,1450,Coexistence,2-370,parents,eldre,ealdras,7,M
orphan,1,$fH,3,6.94,4,3.33,4.04,Noun,Latin contact,Latin,orphanus,4.833333333,0.030654068,8,1450,1450,550,550,1450,Replacement,2-750,orphan,orphan,ste’‹opcild,9,M
motor,1,m5t@R,5,7.42,2,4.25,4.84,Noun,French contact,Latin,motor,4.833333333,0.322843879,5,1447,1447,553,553,1447,Insertion,,,,,NA,M
