word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
rainbow,5,r1nb5,5,4.26,2,4.18,4.57,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-590,rainbow,reinboue,(re’‹n)boga,7,C
roof,5,ruf,3,5,2,4.72,4.79,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-510,roof,rof,hro’‹f,4,Z
room,5,rum,3,4.22,2,5.6,4.79,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-210,room,chaumbre,cofa,4,Z
chicken,5,JIkIn,5,3.26,2,4.82,4.8,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-550,chicken,chiken,henna,5,Z
toe,5,t5,2,3,2,4.08,4.93,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-380,toe,to,ta’‹,2,M
top,5,tQp,3,3.89,2,5.64,3.93,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,12-330,top,top,brerd,5,Z
gate,5,g1t,3,5.32,2,4.34,4.96,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-220,door,dor-e,duru,4,Z
oath,5,5T,2,11.39,4,3.54,2.79,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,21-250,oath,oth,a’‹‘Ÿ,2,M
world,5,w3ld,4,5.32,6,5.88,4.36,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-100,world,world,weorold,7,M
bed,5,bEd,3,2.89,2,5.12,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-420,bed,bed,bedd(rest),8,Z
bee,5,bi,2,5,2,4.19,4.88,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-820,bee,be,be’‹o,3,M
neck,5,nEk,3,3,2,4.65,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-280,neck,hals,heals,5,Z
drip,5,drIp,4,5.89,4,3.6,4.14,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,10-240,drip,droppen,dropian,7,M
owl,5,6l,2,6.21,2,4.07,4.93,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-596,owl,oule,u’‹le,3,M
thief,5,Tif,3,7.22,4,3.91,4.37,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,21-520,thief,thef,‘Ÿe’‹of,4,M
clothes,5,kl5Dz,5,3.11,2,4.74,4.76,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-120,clothing,clothes,sceorp,6,O
spear,5,sp7R,4,7.22,2,3.42,5,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-260,spear,spere,ga’‹r,3,Z
midday,5,mIdd1,5,7.37,4,3.64,3.72,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,14-450,noon,mid-dai,middí_g,6,C
king,5,kIN,3,5.42,2,5.09,4.1,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,19-320,king,king,rihtend,7,M
sink,5,sINk,4,4.47,2,4.26,4.74,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,1566,2500,434,1566,,10-330,sink,sinken,sincan,6,M
house,5,h6z,3,3.16,2,5.83,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-120,house,hous,hu’‹s,3,Z
lung,5,lVN,3,7.16,2,3.81,4.82,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-441,lung,longe,lung(er),6,M
tree,5,tri,3,3.57,2,4.95,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-600,tree,tre,be’‹am,4,Z
dye,5,d2,2,7.56,4,3.49,4.58,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-390,dye,deien,de’‹agian,7,M
axe,5,{ks,3,6.11,4,3.85,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,9-250,ax,ax-e,í_x,2,Z
life,5,l2f,3,5.89,2,5.81,2.69,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-740,life,on lif,cwicu,5,M
hair,5,h8R,3,3.17,2,5.03,4.97,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-140,hair,her,hí_’‹r,3,M
stepfather,5,stEpf#D@R,9,8.42,2,2.99,4,Noun,None,English,NA,3.450980392,1.51E-07,9,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,2-710,stepfather,step-fader,(ste’‹op)fí_der,10,C
stepmother,5,stEpmVD@R,9,6.33,2,2.96,4.23,Noun,None,English,NA,3.450980392,1.51E-07,9,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,2-720,stepmother,step-moder,ste’‹opmo’‹dor,10,C
dew,5,dju,3,7.37,4,3.09,4.38,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-640,dew,deu,deaw,4,M
west,5,wEst,4,5.89,2,5.29,3.44,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,12-460,west,west,west,4,Z
yolk,5,j5k,3,5.89,4,3.52,4.78,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-971,egg yolk,eg-ge yolk,geoloca,7,M
elbow,5,Elb5,4,4.78,2,3.85,5,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-320,elbow,elboue,elnboga,7,Z
breast,5,brEst,5,6.6,2,4.19,4.89,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-410,breast,brest,bre’‹ost,6,Z
rafter,5,r#ft@R,6,10.74,8,2.36,4.97,Noun,None,English,NA,3.450980392,0.009532476,6,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-540,rafter,rafter,rí_fter,6,O
buttocks,5,bVt@ks,6,7.72,2,3.08,4.83,Noun,None,English,NA,3.450980392,0.009532476,6,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-464,buttocks,buttokes,bro’‹c,4,Z
rope,5,r5p,3,5.44,2,4.3,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,9-190,rope,rop,ra’‹p,3,Z
chin,5,JIn,3,4.22,2,3.93,4.89,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-209,chin,chin,cinn,4,M
web,5,wEb,3,5.37,4,4.17,4.37,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-819,spider web,spither web,nett,4,M
steam,5,stim,4,6.26,4,4.39,4.5,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,,,,,NA,Z
wound,5,w6nd,4,7.52,4,4.1,4.24,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-850,wound,wound,dolg,4,Z
way,5,w1,2,5.39,4,6.12,2.34,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,17-490,way,wei,wise,4,Z
south,5,s6T,3,6.06,2,5.36,3.84,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,12-480,south,south,su’‹‘Ÿ,3,Z
hell,5,hEl,3,5.11,2,4.89,2.41,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,22-320,hell,helle,hel,3,I
weapons,5,wEp@nz,6,6.95,NA,4.38,4.76,Noun,None,English,NA,3.450980392,0.009532476,6,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-210,weapons,wepenes,wí_’‹pnu,5,C
sword,5,s$d,3,5.45,2,4.09,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-270,sword,sword,sweord,6,M
wife,5,w2f,3,5.67,2,5.15,4.13,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,2-320,wife,wif,wi’‹f,3,M
throat,5,Tr5t,4,5.09,2,4.16,4.97,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-290,throat,throte,ceolor,6,M
lamb,5,l{m,3,4.15,2,4.61,4.97,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-290,lamb,lomb,lamb,4,Z
tail,5,t1l,3,3.7,4,4.45,4.96,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-180,tail,tail,tí_gl (steort),10,Z
stone,5,st5n,4,4.44,2,4.84,4.72,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-440,stone,ston,sta’‹n,4,Z
storm,5,st$m,4,4.94,2,4.46,4.7,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-580,storm,storm,storm,5,Z
friend,5,frEnd,5,3.57,2,5.29,3.07,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,19-510,friend,frend,gesi’‹‘Ÿ,5,M
braid,5,br1d,4,7.22,2,2.59,4.38,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-921,braid,breiden,bundenfeax,10,M
duck,5,dVk,3,3.5,2,4.53,4.86,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-570,duck,doke,ened (du’‹ce),8,M
rib,5,rIb,3,6.3,2,3.52,4.9,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-162,rib,rib-be,ribb,4,Z
dust,5,dVst,4,5.06,2,4.39,4.4,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-213,dust,dust,du’‹st,4,Z
ram,5,r{m,3,8.32,2,3.65,4.55,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-260,ram,ram,ramm,4,Z
ship,5,SIp,3,5.33,2,4.77,4.87,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,10-810,ship,ship,scip,4,Z
shit,5,SIt,3,6.53,NA,4.68,4.33,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-660,defecate,shiten,dyncge,6,I
rain,5,r1n,3,3.6,2,5.08,4.97,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-750,rain,rein,regn,4,M
snake,5,sn1k,4,5.1,2,4.36,5,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-850,snake,worm,ní_’‹dre,5,Z
thing,5,TIN,3,4.58,2,5.94,3.17,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,11-180,thing,thing,‘Ÿing,4,M
heaven,5,hEvH,4,4.22,2,4.6,1.81,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,22-310,heaven,heven,heofon,6,M
belly,5,bElI,4,4.05,2,4.08,4.8,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,,,,,NA,O
north,5,n$T,3,6.55,4,5.32,4.14,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,12-470,north,north,nor‘Ÿ,4,Z
miss,5,mIs,3,6.33,2,5.21,2.54,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-630,miss target,missen,missan,6,M
waist,5,w1st,4,6.42,4,3.71,4.72,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-462,waist,wast-e,middel,6,M
foal,5,f5l,3,8.44,12,3.15,4.32,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-450,foal,fole,fola,4,Z
shield,5,Sild,4,6.5,4,3.8,4.66,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-340,shield,sheld,scild,5,Z
neighbour,5,n1b@R,5,5.06,NA,4.24,4.64,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,19-540,neighbor,neighebor,ne’‹ahgebu’‹r,9,M
stepson,5,stEpsVn,7,7.94,4,2.7,3.68,Noun,None,English,NA,3.450980392,0.009532476,7,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,2-730,stepson,step-sone,ste’‹opsunu,9,C
drink,5,drINk,5,3.47,2,5.06,4.76,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-900,beverage,beverage,drenc,5,M
horse,5,h$s,3,4.15,2,4.99,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-410,horse,hors,hors,4,M
god,5,gQd,3,4.35,2,5.38,2.07,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,22-120,God,God,god,3,M
hand,5,h{nd,4,2.74,2,5.44,4.72,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-330,hand,hond-e,hand,4,Z
whetstone,5,wEtst5n,7,12.8,12,1.81,4.68,Noun,None,English,NA,3.450980392,0.009532476,7,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,,,,,NA,C
thread,5,TrEd,4,7.06,2,3.74,4.83,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-380,thread,thred-e,‘Ÿrí_’‹d,4,Z
spoon,5,spun,4,2.5,2,4.29,4.96,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-370,spoon,spon,cucler,6,Z
embers,5,Emb@z,5,10.5,NA,2.73,4.36,Noun,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-841,embers,emeres,gle’‹d,4,C
bead,5,bid,3,5.63,4,2.93,4.9,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-760,bead,bed-e,,NA,Z
beam,5,bim,3,8.78,2,3.97,3.96,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-550,beam,bem,tre’‹ow,5,Z
bean,5,bin,3,3.42,2,4.06,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-660,bean,ben-e,be’‹an,4,M
bear,5,b8R,3,3.58,2,4.88,4.88,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-730,bear,ber-e,bera,4,M
road,5,r5d,3,4.55,2,5.28,4.75,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,10-710,road,wei,weg,3,M
mainland,5,m1nl@nd,7,11.63,10,3.91,4.31,Noun,None,English,NA,3.450980392,0.009532476,7,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-260,mainland,main-lond,‘Ÿí_t ma’‹re land,11,C
shears,5,S7z,3,9.46,4,2.94,4.61,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,9-240,scissors,cisours,sce’‹ar(a),6,R
board,5,b$d,3,6.37,2,5.1,4.57,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-570,board,bord,bord,4,Z
tin,5,tIn,3,6.79,2,4.35,4.87,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,1795,2500,205,1795,,9-690,tin,tin,tin,3,Z
tap,5,t{p,3,5.84,2,4.33,4.29,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,,,,,NA,Z
womb,5,wum,3,9.48,10,3.46,4.37,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-470,womb,womb-e,hrif,4,M
witness,5,wItnIs,6,8.74,4,4.28,4.07,Noun,None,English,NA,3.450980392,0.009532476,6,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,21-230,witness,witnes-se,gewita,6,Z
wrist,5,rIst,4,5.94,2,3.84,4.93,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-321,wrist,wrist-e,handwryst,9,M
heel,5,hil,3,7.85,2,3.81,4.86,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-372,heel,hele,fiersn,6,Z
elf,5,Elf,3,4.32,4,3.25,4.3,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,22-440,fairy,elf,í_lf,3,M
groan,5,gr5n,4,8.7,2,3.04,4.09,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,16-390,groan,gronen,si’‹can,5,M
bull,5,bUl,3,4.53,2,4.28,4.85,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-210,bull,bole,fearr,5,Z
deer,5,d7R,3,5.17,2,4.26,4.86,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-750,deer,hert,heorot,6,M
bone,5,b5n,3,5.53,4,4.51,4.9,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-160,bone,bon,ba’‹n,3,Z
hip,5,hIp,3,6.17,4,4.37,4.21,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-463,hip,hipe,hype,4,M
hat,5,h{t,3,3.33,2,4.76,4.88,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,6-550,hat,hat,hí_tt,4,M
shoulder,5,S5ld@R,6,4.5,2,4.46,4.93,Noun,None,English,NA,3.450980392,0.009532476,6,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-300,shoulder,shulder,eaxl,4,Z
hay,5,h1,2,5.32,2,4.06,4.87,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-520,hay,hei,hi’‹eg,4,M
land,5,l{nd,4,5.22,2,5.18,4.57,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,1300,2500,700,1300,,10-920,land,londen,lendan,6,Z
bow,5,b5,2,4.95,2,4.22,4.61,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,20-240,bow,boue,boga,4,M
meat,5,mit,3,4.42,2,4.8,4.9,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-610,meat,flesh,flí_’‹sc(mete),9,M
yard,5,j#d,3,3.94,2,4.33,4.82,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,7-150,yard,yerd,geard,5,M
mare,5,m#r1,4,8.84,6,3.65,4.75,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-440,mare,mere,mere (myre),8,M
crow,5,kr5,3,5.74,2,3.65,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-593,crow,croue,cra’‹we,5,M
louse,5,l6s,3,10.26,6,2.67,#N/A,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-811,louse,lous-e,lu’‹s,3,M
nettle,5,nEtP,4,14.33,12,3.08,3.88,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-970,nettle,netle,netel(e),6,Z
dove,5,d5v,3,6.63,4,3.46,4.88,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-594,dove,douve,culfer,6,M
fear,5,f7R,3,4.79,2,4.84,2.57,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,16-530,fear,fer,ege(sa),5,M
oak,5,5k,2,7.35,2,4.23,4.82,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-610,oak,ok-e,a’‹c,2,M
flesh,5,flES,4,8.3,4,4.15,4.59,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-130,flesh,flesh,flí_’‹sc,5,M
ice,5,2s,2,3.86,2,4.98,4.89,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-770,ice,is,i’‹s,2,Z
oar,5,$R,2,5.83,2,3.03,4.84,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,10-850,oar,or-e,a’‹r,2,M
thigh,5,T2,2,6.42,6,3.48,4.9,Noun,None,English,NA,3.450980392,0.142987133,2,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-351,thigh,thigh,le’‹ow,4,M
wave,5,w1v,3,4.26,2,4.55,4.55,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,1-350,wave,wau-e,wí_’‹g,3,M
leaf,5,lif,3,4.6,2,4.29,5,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-560,leaf,lef,le’‹af,4,Z
honey,5,hVnI,4,5.44,2,4.6,4.88,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-840,honey,honi,hunig,5,M
barley,5,b#lI,4,9.8,4,3.61,4.59,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-440,barley,ber-e,bere,4,M
frog,5,frQg,4,4.32,2,4.05,5,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-950,frog,frogge,frogga,6,M
teat,5,tit,3,11.94,12,2.71,4.38,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-412,nipple,tet-e,(forweard) titt,12,M
flea,5,fli,3,7.79,4,3.5,4.89,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-813,flea,fle,fle’‹a,4,M
wheat,5,wit,3,6.53,2,3.95,4.89,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,8-430,wheat,whete,hwí_’‹te,5,M
bread,5,brEd,4,3.58,2,4.69,4.92,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,5-510,bread,bred,hla’‹f,4,M
song,5,sQN,3,4.26,2,5.1,4.46,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,,,,,NA,M
guts,5,gVts,4,6.96,4,3.92,3.85,Noun,None,English,NA,3.450980392,0.324104167,4,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,4-461,intestines,gut,innefaren,9,Z
side,5,s2d,3,4.72,2,5.55,3.68,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,12-360,side,side,si’‹de,4,Z
hawk,5,h$k,3,6.74,2,3.66,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,3-585,hawk,hauk,hafoc,5,M
twelve,5,twElv,5,4.48,4,3.66,3.61,Number,None,English,NA,3.450980392,0.095324755,5,Proto-Germanic,Proto-Germanic,2500,2500,Proto-Germanic,,13-102,twelve,twelve,twelf,5,M
