"","English.name","Japanese.name","Transcription","Katakana.reading","Picture.naming","Cognate.status","Japanese..L1..age.of.acquisition","English..L2..familiarity","Concreteness..L1.","No.Trans.L1.L2","No.Trans.L2.L1","NoM.L1","NoM.L2","Phonological.similarity","Semantic.similarity","subtlexzipf","Borrowed","age"
"120","place","場所","basho","バショ","No","NC",4.2,4.6,3.3,5,1,1,2,1,4.3,11.12,"5. no evidence for borrowing","Early Modern Japanese"
"121","plain","明白","meihaku","メイハク","No","NC",4.9,3.6,2.4,3,12,2,1,1,3.3,8.19,"1. clearly borrowed","Middle Japanese"
"122","pool","プール","puuru","プール","Yes","C",3.8,3.6,5.5,1,3,1,3,3.6,4.3,8.68,NA,NA
"123","prison","刑務所","keimusho","ケイムショ","No","NC",4.4,3.1,5.4,2,3,1,2,1.2,4.5,8.36,"3. perhaps borrowed","Modern Japanese"
"124","profit","利益","rieki","リエキ","No","NC",4.5,3.3,2.9,4,2,2,1,1,4.5,10.37,NA,NA
"125","pyramid","ピラミッド","piramiddo","ピラミッド","Yes","C",3.7,3.2,5.3,1,3,1,1,3.4,4.6,7.63,NA,NA
"126","rabbit","ウサギ","usagi","ウサギ","Yes","NC",3,3.7,6.1,1,2,1,1,1,5,7.68,"3. perhaps borrowed","Old Japanese"
"127","race","レース","reesu","レース","No","C",4.5,4.2,4.4,1,3,1,1,3.2,3.8,9.24,NA,NA
"128","radio","ラジオ","rajio","ラジオ","Yes","C",3.9,4.2,5.4,1,1,1,2,2.5,4.6,9.47,"1. clearly borrowed","Modern Japanese"
"129","rain","雨","ame","アメ","No","NC",3.6,4.5,5.1,1,2,1,1,1.3,4.1,10.11,"5. no evidence for borrowing","Old Japanese"
"130","rank","ランク","ranku","ランク","No","C",4.1,4.4,3.2,1,7,1,1,3.7,4.1,8.46,NA,NA
"131","real","リアル","riaru","リアル","No","C",4.5,4.3,2.5,1,4,1,2,3.3,4.2,8.94,NA,NA
"132","regular","レギュラー","regyuraa","レギュラー","No","C",4.2,4.6,3.2,1,5,1,2,3.3,3.7,7.66,NA,NA
"133","release","リリース","ririisu","リリース","No","C",4.6,3.7,3.1,1,7,1,1,3.7,3.9,9.29,NA,NA
"134","rental","レンタル","rentaru","レンタル","No","C",4.2,4.5,3.9,1,8,1,2,3.3,4.4,8.43,NA,NA
"135","return","リターン","ritaan","リターン","No","C",4.3,4.2,3.2,1,8,1,1,3.4,4.3,7.67,NA,NA
"136","ring","指輪","yubiwa","ユビワ","Yes","NC",3.9,4,5.3,1,5,1,2,1.1,4,7.7,"5. no evidence for borrowing","Early Modern Japanese"
"137","rocket","ロケット","roketto","ロケット","Yes","C",3.8,3.5,5.2,1,1,1,3,3.6,4.5,8.4,NA,NA
"138","roll","ロール","rooru","ロール","No","C",3.9,3.6,3.1,2,6,2,1,3.2,4,8.09,"5. no evidence for borrowing","Early Modern Japanese"
"139","rule","ルール","ruuru","ルール","No","C",4.1,4.5,3.1,1,7,1,1,3.5,4.3,9.87,NA,NA
"140","sailor","水兵","suihei","スイヘイ","No","NC",5.3,2.7,5.2,2,9,1,2,1.1,4.1,5.52,NA,NA
"141","scale","スケール","sukeeru","スケール","No","C",4.5,3.6,2.8,1,5,1,1,3.3,4,8.23,"5. no evidence for borrowing","Late Old Japanese"
"142","scissors","はさみ","hasami","ハサミ","Yes","NC",3.3,2.7,5.7,1,1,1,4,1.1,4.7,6.62,"5. no evidence for borrowing","Late Old Japanese"
"143","score","スコア","sukoa","スコア","No","C",4.5,4.2,3.4,1,4,1,1,3.7,4.3,8.48,NA,NA
"144","screen","スクリーン","sukuriin","スクリーン","No","C",4.3,4.5,4.9,1,2,1,2,3.8,4.4,8.55,NA,NA
"145","screw","ネジ","neji","ネジ","Yes","NC",3.2,3.1,3,1,4,1,1,1,3.5,7.23,"5. no evidence for borrowing","Modern Japanese"
"146","sense","センス","sensu","センス","No","C",4.3,4.8,2.7,1,4,1,2,3.8,3.8,8.65,"1. clearly borrowed","Middle Japanese"
"147","share","シェア","shea","シェア","No","C",4.4,4.7,5.4,1,4,1,2,3.9,4,8.65,"5. no evidence for borrowing","Old Japanese"
"148","shark","サメ","same","サメ","Yes","NC",3.1,3.1,5.2,2,2,1,1,1.1,4.9,6.63,"4. very little evidence for borrowing","Old Japanese"
"149","shirt","ワイシャツ","waishatsu","ワイシャツ","Yes","C",3.8,4.4,2.7,2,1,1,2,1.7,3.4,5.93,"1. clearly borrowed","Modern Japanese"
"150","shock","ショック","shokku","ショック","No","C",4.4,4.4,5.4,1,5,1,1,3.7,4.3,9.09,NA,NA
"151","show","ショー","shoo","ショー","No","C",4.2,4.4,3.6,1,5,1,1,3.4,4,9.09,"5. no evidence for borrowing","Old Japanese"
"152","shower","シャワー","shawaa","シャワー","No","C",3.6,4.5,5.3,1,2,1,2,3.6,4.1,8.19,NA,NA
"153","sign","サイン","sain","サイン","No","C",4.4,4.6,4,2,8,2,2,4,3.3,8.86,NA,NA
"154","single","シングル","shinguru","シングル","No","C",4.3,4.3,3.1,1,6,1,2,3.2,4.1,8.41,NA,NA
"155","size","サイズ","saizu","サイズ","No","C",4,4.7,3.3,1,2,1,2,3.7,4.3,9.74,NA,NA
