"","Name","Pinyin","English","Source","LEN","VAR","IMG","FAM","VC","FREQ","NA.","H.value","CA","AoA_r","AoA_o","error","RT_harm","Borrowed","age","age.youngest","age.oldest"
"161","地球","di4qiu2","globe",4,2,2.52,4,4.81,3.35,3.09,0.58,1.12,1,"3.38","4.42",0,844,NA,NA,NA,NA
"162","手套","shou3tao4","glove",1,2,3.17,3.97,4.75,2.62,3.12,0.93,0.5,0.95,"2.81","2.69",0,751,"5. no evidence for borrowing","No information",NA,"No information"
"163","山羊","shan1yang2","goat",1,2,2.79,4.26,4.58,2.68,1.97,0.8,0.89,0.95,"2.44","9.16",0.03,1049,"5. no evidence for borrowing","No information",NA,"No information"
"164","金鱼","jin1yu2","goldfish",5,2,3.67,3.32,3.53,4.35,2.34,0.85,0.64,0.9,"3.25","7.94",0.03,1222,NA,NA,NA,NA
"165","锣","luo2","gong",5,1,2.27,4,4.25,2.16,1.86,0.73,1.22,0.88,"4.19","10.32",0.06,1142,"4. very little evidence for borrowing","Warring States period",NA,"Warring States period"
"166","鹅","e2","goose",5,2,3.07,3.53,4.53,1.97,2.57,0.7,1.56,0.93,"2.13","4.72",0.03,986,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"167","猩猩","xing1xing1","gorilla",1,2,2.86,3.5,4.28,2.7,2.29,0.6,1.99,0.9,"4","4.42",0,1025,NA,NA,NA,NA
"168","葡萄","pu2tao2","grape",1,2,3.14,4.56,4.75,2.89,3.17,0.98,0.17,0.98,"1.81","2.86",0,806,NA,NA,NA,NA
"169","草","cao3","grass",5,1,3.07,3.57,4.47,2.75,3.37,0.48,2.19,0.98,"1.44","3.56",0.06,1072,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"170","蝗虫","huang2chong2","grasshopper",1,2,2.64,4.45,4.44,4.05,1.8,0.33,2.32,0.8,"4.88","10.67",0.09,1296,"5. no evidence for borrowing","No information",NA,"No information"
"171","吉他","ji2ta1","guitar",1,2,2.9,4.42,4.69,3.35,2.37,0.8,0.83,0.8,"5.53","10.53",0.06,992,NA,NA,NA,NA
"172","手枪","shou3qiang1","gun",1,2,3.19,4.08,4.39,2.95,2.23,0.73,1.15,1,"3.81","2.74",0,716,NA,NA,NA,NA
"173","头发","tou2fa1","hair",1,2,2.76,2.74,3.36,2.81,4.26,0.55,1.81,0.63,"2.06","10.4",0.23,1275,NA,NA,NA,NA
"174","汉堡","han4bao3","hamburger",1,2,2.64,4.58,4.14,3.46,3.4,0.65,1.29,0.8,"6.12","3.81",0.06,1222,NA,NA,NA,NA
"175","锤子","chui2zi3","hammer",1,2,3.12,4.11,4.72,2.22,2.31,0.58,2.23,0.8,"3.06","4.66",0,1148,NA,NA,NA,NA
"176","手","shou3","hand",1,1,3.4,4.42,4.92,2.83,4.4,0.73,1.21,1,"1.24","2.25",0.03,726,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"177","手铐","shou3kao4","handcuff",4,2,3.24,4.69,4.36,2.89,1.77,0.95,0.17,0.98,"4.44","10.3",0.03,1001,NA,NA,NA,NA
"178","衣架","yi1jia4","hanger",1,2,2.55,4.17,4.97,1.16,3.89,0.83,1.04,0.98,"3.44","3.74",0.06,980,NA,NA,NA,NA
"179","竖琴","shu4qin2","harp",1,2,3.14,4.13,3.36,3.24,1.39,0.4,1.46,0.4,"5.56","10.3",0.14,1141,NA,NA,NA,NA
"180","帽子","mao4zi3","hat",1,2,3.31,3.51,4.47,2.14,3.46,0.65,1.44,0.98,"2.31","4.84",0.03,688,NA,NA,NA,NA
"181","耳机","er3ji1","headphone",1,2,2.76,3.61,4.53,3.81,4,0.63,1.21,0.95,"5.69","10.36",0.09,1407,NA,NA,NA,NA
"182","心","xin1","heart",1,1,2.76,4.09,4.83,1.16,3.69,0.63,1.79,1,"2.81","4.58",0.03,856,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"183","刺猬","ci4wei4","hedgehog",2,2,3.38,3.43,3.5,4.43,1.74,0.93,0.18,0.93,"3.35","3.73",0,1033,NA,NA,NA,NA
"184","直升机","zhi2sheng1ji1","helicopter",1,3,3.48,4.44,4.56,3.16,2.34,0.45,1.53,1,"4","4.42",0,888,NA,NA,NA,NA
"185","头盔","tou2kui1","helmet",1,2,2.95,2.79,2.39,2.73,1.85,0.38,1.16,0.48,"5","10.65",0.6,1809,"5. no evidence for borrowing","No information",NA,"No information"
"186","母鸡","mu3ji1","hen",1,2,2.24,4.36,4.92,2.86,2.51,0.83,0.67,1,"2.24","10.4",0.03,836,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"187","啄木鸟","zhuo2mu4niao3","woodpecker",4,3,3.31,3.46,3.72,3.7,2,1,0,1,"3.06","7.84",0.06,1209,NA,NA,NA,NA
"188","河马","he2ma3","hippo",1,2,2.88,3.58,3.56,3.84,1.86,0.75,0.52,0.75,"4.65","7.17",0.03,1223,NA,NA,NA,NA
"189","马蹄","ma3ti2","hoof",5,2,2.79,3.66,4.17,2.22,1.8,0.4,2.13,0.95,"3.69","5.78",0.03,1218,NA,NA,NA,NA
"190","钩子","gou1zi3","hook",5,2,3.07,3.83,3.78,1.32,2.51,0.53,2.3,0.93,"3","3.78",0.03,1069,NA,NA,NA,NA
"191","圆号","yuan2hao4","horn",1,2,2.86,3.29,4.03,4.27,2.14,0.35,2.4,0.7,"5","4.58",0.11,1315,NA,NA,NA,NA
"192","马","ma3","horse",1,1,3.12,4.22,4.75,3.35,2.66,0.98,0.17,1,"2.06","2.3",0,916,"2. probably borrowed","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"193","房子","fang2zi3","house",1,2,3.86,3.83,4.69,3.59,3.91,0.68,1.79,1,"1.69","2.3",0,831,NA,NA,NA,NA
"194","熨斗","yun4dou3","iron",1,2,2.55,4.53,4.25,3.03,1.94,0.85,0.73,0.98,"3.88","10.59",0,995,NA,NA,NA,NA
"195","外套","wai4tao4","jacket",1,2,3.45,3.72,4.86,2.76,3.71,0.28,2.85,0.75,"3.47","11",0,872,"5. no evidence for borrowing","No information",NA,"No information"
"196","洗手池","xi3shou3chi2","jar",1,3,3.38,2.66,4.06,2.54,3.6,0.08,4.29,0.6,"2.82","10.32",0.14,985,NA,NA,NA,NA
"197","法官","fa3guan1","judge",5,2,3.31,3.29,4.08,4.27,2.26,0.85,0.64,0.93,"5.13","10.6",0.06,1063,"5. no evidence for borrowing","No information",NA,"No information"
"198","袋鼠","dai4shu3","kangaroo",1,2,2.98,4.43,4.5,3.22,1.85,0.95,0.34,0.98,"4.38","3.73",0,892,"5. no evidence for borrowing","No information",NA,"No information"
"199","水壶","shui3hu2","kettle",1,2,3.05,3.09,4.75,2.54,3.8,0.8,1.17,1,"2.69","3.78",0.06,868,NA,NA,NA,NA
"200","钥匙","yue4chi2","key",1,2,3.19,4.39,4.97,2.08,4.31,1,0,1,"2.63","2.79",0.03,694,NA,NA,NA,NA
"201","厨房","chu2fang2","kitch",2,2,2.52,3.49,4,3.68,2.91,0.68,0.78,0.68,"3","5.78",0.06,1283,"5. no evidence for borrowing","No information",NA,"No information"
"202","风筝","feng1zheng1","kite",1,2,3.55,3.31,4.25,2.24,2.4,0.95,0.17,0.95,"3.35","4.58",0.03,849,NA,NA,NA,NA
"203","刀","dao1","knife",1,1,2.83,2.86,3.22,1.38,3.2,0.23,2.56,0.8,"2.35","3.56",0.31,1095,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"204","梯子","ti1zi3","ladder",1,2,3.24,4.18,4.69,2.11,2.59,0.78,1.09,0.98,"2.47","3.78",0.03,888,NA,NA,NA,NA
"205","羊","yang2","lamb",1,1,2.95,3.39,4.22,2.65,2.5,0.38,2.31,0.85,"3.13","10.8",0.09,1278,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"206","台灯","tai2deng1","lamp",1,2,2.93,3,4.58,1.7,3.89,0.9,0.3,0.95,"3.53","4.74",0,941,NA,NA,NA,NA
"207","灯笼","deng1long2","lantern",5,2,3.55,4,4.58,2.22,2.03,1,0,1,"2.31","4.17",0,937,NA,NA,NA,NA
"208","割草机","ge1cao3ji1","lawnmower",1,3,2.6,3.68,3.11,4.57,1.71,0.25,1.42,0.55,"6.18","10.77",0.34,1703,NA,NA,NA,NA
"209","树叶","shu4ye4","leaf",1,2,3.05,3.64,4.72,2.32,3.54,0.43,1.67,1,"2.07","2.3",0,886,"5. no evidence for borrowing","No information",NA,"No information"
"210","腿","tui3","leg",1,1,3.6,3.97,4.97,2,4.09,0.73,1.6,1,"1.56","3.41",0,904,"3. perhaps borrowed","Tang dynasty",NA,"Tang dynasty"
"211","柠檬","ning2meng2","lemon",1,2,2.4,3.93,2.97,1.59,2.91,0.33,2.23,0.33,"5.44","7.09",0.17,1434,"1. clearly borrowed","No information",NA,"No information"
"212","豹子","bao4zi3","leopard",5,2,2.65,3.82,4.14,4.35,1.77,0.48,1.66,0.93,"3.94","4.69",0.09,1147,NA,NA,NA,NA
"213","信","xin4","letter",3,1,3.1,3.36,4.34,3.92,3.11,0.6,1.84,0.93,"3.59","10.68",0,1327,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"214","卷心菜","juan4xin1cai4","lettuce",1,3,3.02,2.91,2.86,3.19,3,0.2,2.8,0.55,"4.31","10.87",0.23,1239,NA,NA,NA,NA
"215","灯泡","deng1pao4","lightbulb",1,2,2.81,4.33,4.89,2.76,3.14,0.9,0.62,1,"2.19","3.41",0,729,NA,NA,NA,NA
"216","狮子","shi1zi3","lion",1,2,2.54,3.88,4.33,3.49,2.14,0.9,0.55,1,"3.13","3.78",0.06,1012,NA,NA,NA,NA
"217","蜥蜴","xi1yi4","lizard",1,2,2.9,3.45,3.42,2.14,1.76,0.7,1.02,0.7,"4.88","10.53",0.06,1410,"5. no evidence for borrowing","Han dynasty",NA,"Han dynasty"
"218","虾","xia1","lobster",5,1,2.55,4.06,4.61,2.59,2.89,0.68,1.34,0.93,"3.53","4.69",0.03,1247,"5. no evidence for borrowing","Nanbeichao",NA,"Nanbeichao"
"219","锁","suo3","lock",1,1,2.74,4.46,4.97,2.11,3.53,0.9,0.47,1,"2.63","5.68",0,855,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"220","藕","ou3","lotus",5,1,3.24,4.31,4.58,3.27,2.89,0.73,1.06,0.93,"4.19","8.67",0,944,NA,NA,NA,NA
"221","机关枪","ji1guan1qiang1","machine gun",2,3,2.88,3.74,3.78,4.27,1.77,0.45,2.21,0.78,"3.71","9.16",0.06,1160,NA,NA,NA,NA
"222","放大镜","fang4da4jing4","magnifier",2,3,2.88,4.72,4.47,2.19,2.37,0.98,0.17,0.98,"3.94","7.17",0.06,1152,NA,NA,NA,NA
"223","螳螂","tang2lang2","mantis",5,2,2.74,4.1,4.39,3.95,1.86,0.65,0.95,0.65,"4.13","10.27",0.06,1092,NA,NA,NA,NA
"224","地图","di4tu2","map",3,2,3.05,3.57,4.28,4.24,3.26,0.88,0.68,0.95,"3.35","7.8",0.03,1017,NA,NA,NA,NA
"225","海军","hai3jun1","marine",2,2,3.31,3.97,4.26,3.24,2.06,0.53,2.08,0.75,"3.63","7.09",0.17,1052,NA,NA,NA,NA
"226","火柴","huo3chai2","match",4,2,2.5,3.8,4.69,1.92,2.26,0.9,0.51,0.95,"2.44","10.47",0,960,"5. no evidence for borrowing","Modern",NA,"Modern"
"227","西瓜","xi1gua1","melon",1,2,2.48,2.86,4.56,2.22,2.91,0.88,0.47,0.88,"2.35","2.79",0,972,NA,NA,NA,NA
"228","美人鱼","mei3ren2yu2","mermaid",2,3,2.57,3.42,4.11,4.16,1.83,0.93,0.34,0.95,"3.94","4.72",0,1186,NA,NA,NA,NA
"229","话筒","hua4tong3","microphone",2,2,2.67,4.14,4.83,3.11,3.17,0.48,1.42,0.98,"4.82","5.74",0,963,NA,NA,NA,NA
"230","显微镜","xian3wei1jing4","microscope",1,3,2.67,3.89,4.22,4,2.2,0.88,0.52,0.88,"5.63","10.86",0.14,1431,NA,NA,NA,NA
"231","镜子","jing4zi3","mirror",4,2,3.14,3.56,4.44,2.54,3.94,0.78,0.95,0.93,"1.81","3.18",0.03,994,NA,NA,NA,NA
"232","手套","shou3tao4","mitten",1,2,3.22,3.53,4.72,2.03,3.17,0.9,0.47,1,"2.41","3.73",0,829,"5. no evidence for borrowing","No information",NA,"No information"
"233","钞票","chao1piao4","money",5,2,3.19,3.44,4.33,4.61,4.29,0.35,2.4,0.93,"3.88","4.56",0.03,955,NA,NA,NA,NA
"234","和尚","he2shang4","monk",5,2,2.93,3.47,4.08,3.19,1.94,0.43,3.02,0.78,"3.44","5.73",0.06,1097,NA,NA,NA,NA
"235","猴子","hou2zi3","monkey",1,2,2.93,3.94,4.56,3.03,2.37,0.8,1.03,1,"3.41","2.85",0,898,NA,NA,NA,NA
"236","月亮","yue4liang4","moon",1,2,2.95,4.11,4.75,1.03,3.49,0.63,1.69,1,"1.81","2.69",0,743,NA,NA,NA,NA
"237","牵牛花","qian1niu2hua1","morning glory",5,3,2.6,3.2,3.86,4.56,1.84,0.55,1.95,0.68,"3.06","10.65",0.14,1521,NA,NA,NA,NA
"238","蚊子","wen2zi3","mosquito",5,2,3.1,3.5,4.22,2.68,2.71,0.6,1.56,0.63,"2","10.33",0.06,1395,NA,NA,NA,NA
"239","摩托车","mo2tuo1che1","motorcycle",1,3,3.02,4.03,4.81,4.46,2.83,0.7,0.88,1,"4.5","3.67",0,867,"5. no evidence for borrowing","Modern",NA,"Modern"
"240","山","shan1","mountain",1,1,3.45,3.23,4.25,2.19,3.4,0.4,2.31,1,"1.94","3.42",0,972,"5. no evidence for borrowing","Shang oracle bone inscriptions",NA,"Shang oracle bone inscriptions"
"241","老鼠","lao3shu3","mouse",1,2,2.79,4.61,4.64,3.05,2.5,0.9,0.62,1,"2.29","2.85",0,798,"5. no evidence for borrowing","No information",NA,"No information"
"242","鼠标","shu3biao1","mouse",4,2,2.93,3.75,4.78,2.62,4.31,0.98,0,0.98,"6.56","6.94",0,1040,NA,NA,NA,NA
"243","嘴唇","zui3chun2","mouth",1,2,2.9,4.47,4.81,1.43,3.71,0.43,1.91,0.98,"2.19","3.18",0,755,"5. no evidence for borrowing","No information",NA,"No information"
"244","蘑菇","mo2gu1","mushroom",1,2,3.19,4.33,4.58,2.86,3.14,0.98,0.17,1,"3.41","2.79",0,834,NA,NA,NA,NA
"245","胡子","hu2zi3","mustache",3,2,2.81,2.97,3.56,3.76,3.15,0.5,1.67,0.58,"2.69","8.92",0.14,1374,NA,NA,NA,NA
"246","钉子","ding1zi3","nail",1,2,2.9,4.6,4.58,1.46,2.66,0.75,1.12,0.9,"2.63","7.44",0.03,877,NA,NA,NA,NA
"247","项链","xiang4lian4","necklace",1,2,3.33,3.69,4.39,1.73,2.94,0.83,1.04,0.9,"3.81","5.74",0,860,"5. no evidence for borrowing","No information",NA,"No information"
"248","针","zhen1","needle",1,1,3.32,4.39,4.22,1.49,2.74,0.8,0.93,0.88,"2.44","7.44",0.06,933,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"249","鱼网","yu2wang3","net",1,2,2.76,2.29,4.64,2.89,1.89,0.15,3.29,0.75,"4","6.69",0.06,979,"5. no evidence for borrowing","No information",NA,"No information"
"250","鼻子","bi2zi3","nose",1,2,2.74,4.03,4.64,1.62,3.89,0.85,0.55,0.98,"1.69","3.74",0,833,NA,NA,NA,NA
"251","护士","hu4shi4","nurse",2,2,3.14,3.06,4.47,4.24,2.6,0.75,1.25,0.8,"3.29","10.59",0,929,NA,NA,NA,NA
"252","螺丝帽","luo2si1mao4","nut",1,3,2.55,4.12,4.69,2.14,2.17,0.25,2.95,0.73,"4.5","10.41",0.06,1307,NA,NA,NA,NA
"253","洋葱","yang2cong1","onion",1,2,2.98,3.71,3.97,2.84,2.69,0.43,2.19,0.83,"4.35","6.69",0.03,1294,NA,NA,NA,NA
"254","桔子","jie2zi3","orange",1,2,3.45,3.56,3.44,2.14,3.43,0.53,1.54,0.78,"2","5.78",0.11,1330,NA,NA,NA,NA
"255","鸵鸟","tuo2niao3","ostrich",1,2,2.95,4.09,4.08,2.89,1.89,0.88,0.63,0.88,"4.5","10.27",0.09,1137,NA,NA,NA,NA
"256","猫头鹰","mao1tou2ying1","owl",1,3,2.52,4.19,4.28,3.84,2,0.98,0.17,0.98,"3.65","4.68",0,866,"5. no evidence for borrowing","No information",NA,"No information"
"257","毛笔","mao2bi3","paintbrush",1,2,3.55,3.64,4.11,1.92,2.23,0.85,0.78,0.9,"3","4.73",0,1048,NA,NA,NA,NA
"258","平底锅","ping2di3guo1","pan",1,3,2.57,4.14,3.97,2.11,2.29,0.4,2.07,0.68,"5.25","5.65",0.11,1449,"5. no evidence for borrowing","No information",NA,"No information"
"259","熊猫","xiong2mao1","panda",5,2,2.71,4.64,4.78,3.62,2.56,0.88,0.63,1,"2.71","3.41",0,704,NA,NA,NA,NA
"260","裤子","ku4zi3","pants",1,2,3.6,4.33,4.78,1.92,4.34,0.93,0.5,1,"1.94","4.2",0,772,NA,NA,NA,NA
"261","礼物","li3wu4","parcel",4,2,3.33,4.03,4.28,2.38,3.23,0.45,2.33,0.93,"3.56","4.56",0,1146,NA,NA,NA,NA
"262","鹦鹉","ying1wu3","parrot",1,2,3.36,4,4.11,3.46,2.14,0.63,1.62,0.63,"4.19","7.86",0.09,1083,NA,NA,NA,NA
"263","桃子","tao2zi3","peach",1,2,2.95,3.83,3.61,1.65,2.74,0.4,2.26,0.6,"2","7.93",0.2,1420,NA,NA,NA,NA
"264","孔雀","kong3que4","peacock",1,2,2.81,4.03,4.56,3.92,2,0.95,0.34,1,"3.13","5.74",0,825,NA,NA,NA,NA
"265","花生","hua1sheng1","peanut",1,2,2.48,4.36,4.33,2.59,3.29,0.95,0,0.95,"2.06","4.42",0.09,1100,NA,NA,NA,NA
"266","梨","li2","pear",1,1,2.81,4.08,4.58,1.16,3.23,0.6,1.66,0.7,"1.71","2.69",0,1109,NA,NA,NA,NA
"267","圆珠笔","yuan2zhu1bi3","pen",1,3,2.98,3.53,4.81,2.22,4.2,0.35,1.58,1,"3.56","10.27",0.03,891,NA,NA,NA,NA
"268","铅笔","qian1bi3","pencil",1,2,3.36,4.36,4.8,2.22,3.51,0.95,0.29,1,"2.06","2.85",0,843,NA,NA,NA,NA
"269","企鹅","qi3e2","penguin",1,2,3.17,3.75,3.81,2.16,2.23,0.95,0,0.95,"3.81","3.58",0.03,960,NA,NA,NA,NA
"270","青椒","qing1jiao1","pepper",1,2,3.05,4.03,4.44,2.11,3.37,0.28,2.75,0.73,"3.88","10.7",0.11,1245,NA,NA,NA,NA
"271","钢琴","gang1qin2","piano",1,2,3.02,3.94,4.47,4.11,2.54,0.85,0.64,0.98,"3.63","4.2",0,936,NA,NA,NA,NA
"272","猪","zhu1","pig",1,1,3.05,4.03,4.78,2.39,3.26,0.85,0.88,1,"1.63","3.68",0.03,927,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"273","鸽子","ge1zi3","pigeon",2,2,3.21,3.97,4.47,3.38,2.44,0.38,2.26,0.43,"2.44","10.4",0.09,905,NA,NA,NA,NA
"274","存钱罐","cun2qian2guan4","piggybank",2,3,2.71,3.81,4.5,2.81,2.14,0.35,2.76,0.9,"3.82","7.89",0.09,1071,NA,NA,NA,NA
"275","枕头","zhen3tou2","pillow",2,2,2.76,3.56,3.92,2.81,4.09,0.73,0.78,0.73,"1.81","3.73",0.03,1122,NA,NA,NA,NA
"276","图钉","tu2ding1","pin",2,2,3.4,4.47,3.83,1.92,2.37,0.7,1.37,0.93,"4","10.86",0.11,1160,NA,NA,NA,NA
"277","菠萝","bo1luo2","pineapple",1,2,3.17,4.53,4.81,3.92,3.29,0.93,0.45,0.98,"3.33","3.78",0.03,807,NA,NA,NA,NA
"278","烟斗","yan1dou3","pipe",1,2,3.07,4.14,4.39,1.7,1.89,0.95,0.34,0.98,"4","10.45",0,917,"5. no evidence for borrowing","No information",NA,"No information"
"279","海盗","hai3dao4","pirate",3,2,3.31,3.91,3.89,4.59,1.86,0.58,2.58,0.85,"5","10.5",0,1483,NA,NA,NA,NA
"280","水壶","shui3hu2","pitcher",1,2,3.48,2.24,4.42,1.84,3.91,0.23,3,0.75,"#NULL!","#NULL!",0,1143,NA,NA,NA,NA
"281","行星","xing2xing1","planet",5,2,2.24,3.58,3.67,2.22,1.88,0.15,3.31,0.78,"5.13","7.89",0.23,1388,NA,NA,NA,NA
"282","盘子","pan2zi3","plate",5,2,2.83,4.44,3.91,1.62,3.63,0.4,2.43,0.65,"2.53","7.71",0.17,1155,NA,NA,NA,NA
"283","钳子","qian2zi3","pliers",1,2,3.1,3.66,4.5,2.16,2.17,0.65,1.64,0.85,"3.82","8.92",0.06,1158,NA,NA,NA,NA
"284","插头","cha1tou2","plug",1,2,3.14,4.19,4.78,2,3.71,0.83,0.84,0.93,"3.69","10.33",0,1105,NA,NA,NA,NA
"285","梅花","mei2hua1","plum blossom",5,2,2.45,4.17,4.56,3,2.12,0.93,0.5,0.98,"3.41","10.55",0,923,NA,NA,NA,NA
"286","警察","jing3cha2","policeman",5,2,2.74,4.06,4.58,4.42,3.14,0.8,1.13,0.95,"2.88","2.69",0.03,830,"5. no evidence for borrowing","ca. 1345",NA,"ca. 1345"
"287","土豆","tu3dou4","potato",1,2,2.57,3.61,3.56,1.3,4.09,0.7,0.82,0.78,"2.81","4.66",0.06,1220,"5. no evidence for borrowing","No information",NA,"No information"
"288","婴儿车","ying1er2che1","pram",1,3,2.33,3.56,3.89,3.24,1.91,0.55,1.66,0.7,"4.5","10.35",0.14,1227,NA,NA,NA,NA
"289","幻灯机","huan4deng1ji1","project",2,3,3.21,3.91,3.06,3.41,2.82,0.23,3.1,0.45,"5.69","10.95",0.29,1677,NA,NA,NA,NA
"290","南瓜","nan2gua1","pumpkin",1,2,2.55,4.06,4.42,2.24,2.46,0.93,0.34,0.95,"3.5","5.72",0.03,908,"5. no evidence for borrowing","No information",NA,"No information"
"291","金字塔","jin1zi4ta3","pyramid",3,3,2.93,4.39,4.03,3.76,1.91,0.75,1.25,0.75,"5.24","10.27",0,1089,NA,NA,NA,NA
"292","兔子","tu4zi3","rabbit",1,2,3.48,4.29,4.89,2.73,2.74,0.68,1.41,1,"2.25","1.94",0,716,NA,NA,NA,NA
"293","收音机","shou1yin1ji1","radio",4,3,2.45,3.83,4.5,4.05,3.43,0.8,0.89,0.98,"3.25","4.56",0,990,"5. no evidence for borrowing","No information",NA,"No information"
"294","萝卜","luo2bu3","radish",5,2,3.5,3.39,4.53,3.51,3.17,0.85,0.95,0.95,"2.31","3.73",0,930,NA,NA,NA,NA
"295","竹排","zhu2pai2","raft",2,2,3.1,4.28,3.56,3.97,1.77,0.25,2.52,0.73,"5.06","10.4",0.2,1266,NA,NA,NA,NA
"296","铁轨","tie3gui3","rail",5,2,2.81,4.22,4.44,3.35,2.4,0.53,2.14,0.93,"4.47","7.8",0.06,1272,NA,NA,NA,NA
"297","唱片机","chang4pian4ji1","record player",1,3,2.95,3.53,3.51,3.53,2.09,0.25,2.34,0.5,"5.24","10.95",0.17,1523,NA,NA,NA,NA
"298","冰箱","bing1xiang1","refrigerator",1,2,2.93,4.11,4.53,2.03,2.94,0.88,0.63,0.93,"4.59","3.58",0,857,NA,NA,NA,NA
"299","犀牛","xi1niu2","rhinoceros",1,2,2.4,4.26,4.03,3.51,1.63,0.78,0.85,0.78,"4.82","5.78",0.06,1046,NA,NA,NA,NA
"300","戒指","jie4zhi3","ring",1,2,3.57,3.94,3.89,2.14,2.74,0.63,1.31,0.63,"4.5","10.6",0.09,1310,NA,NA,NA,NA
"301","公路","gong1lu4","road",5,2,3.21,3.36,4.47,3.73,3.5,0.73,1.26,0.98,"3.06","7.17",0.03,1248,NA,NA,NA,NA
"302","机器人","ji1qi4ren2","robot",2,3,2.6,3.75,4.31,3.78,2.09,1,0,1,"4.31","3.41",0,808,NA,NA,NA,NA
"303","火箭","huo3jian4","rocket",1,2,3.1,4.11,4.33,3.92,2.26,0.95,0.17,0.98,"4","4.72",0.06,1007,NA,NA,NA,NA
"304","椅子","yi3zi3","rocking chair",1,2,3.29,3.14,4.22,3.39,4.24,0.88,1.91,0.98,"4.81","4.66",0.06,855,NA,NA,NA,NA
"305","擀面杖","gan3mian4zhang4","rolling pin",1,3,2.81,3.42,3.22,1.38,1.83,0.13,2.64,0.18,"3.38","10.6",0.31,1479,NA,NA,NA,NA
"306","屋顶","wu1ding3","roof",4,2,2.93,3.97,4.83,1.73,3.03,0.43,2.27,0.73,"3.25","7.84",0,844,"5. no evidence for borrowing","No information",NA,"No information"
"307","公鸡","gong1ji1","rooster",1,2,2.76,4.56,4.83,3.27,2.23,0.85,0.8,0.98,"2.06","2.69",0,760,"5. no evidence for borrowing","No information",NA,"No information"
"308","绳子","sheng2zi3","rope",1,2,3.79,4.39,4.72,3.35,3,0.53,2.36,0.95,"2.06","5.16",0,892,NA,NA,NA,NA
"309","玫瑰","mei2gui1","rose",2,2,3.36,4,4.56,3.62,3.14,0.63,1.35,0.93,"5.19","7",0,867,NA,NA,NA,NA
"310","地毯","di4tan3","rug",5,2,3,3.08,4.23,3.38,2.71,0.35,2.76,0.63,"4.38","10.77",0.03,1026,"5. no evidence for borrowing","No information",NA,"No information"
"311","尺子","chi3zi3","rule",1,2,3.4,4.81,4.86,2.11,3.06,0.65,1.32,1,"2.69","4.66",0,791,NA,NA,NA,NA
"312","保险柜","bao3xian3gui4","safe",4,3,2.95,4.08,4.17,2.46,2.11,0.38,2.6,0.53,"5.56","10.35",0.06,1167,NA,NA,NA,NA
"313","帆船","fan1chuan2","sailboat",1,2,2.38,4.11,4.39,3,2,0.83,0.77,0.98,"3.76","7.89",0,920,NA,NA,NA,NA
"314","凉鞋","liang2xie2","sandals",4,2,3.48,3.03,4.72,3.14,3.18,0.73,1.34,0.93,"2.38","10.6",0,1010,NA,NA,NA,NA
"315","三明治","san1ming2zhi4","sandwich",1,3,2.95,3,3.61,3,2.83,0.45,2.52,0.78,"5.88","9.03",0.17,1461,NA,NA,NA,NA
"316","水瓢","shui3piao2","saucepan",1,2,2.59,3.53,4.33,1.84,1.66,0.13,3.82,0.63,"5.56","10.64",0.14,1427,NA,NA,NA,NA
"317","香肠","xiang1chang2","sausage",5,2,3.55,3.36,3.53,1.46,3.12,0.33,2.51,0.45,"3.88","7.09",0.23,1704,"5. no evidence for borrowing","No information",NA,"No information"
"318","锯","ju4","saw",1,1,2.48,3.23,3.06,2.11,1.8,0.28,2.19,0.63,"3.44","9.16",0.14,1240,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"319","天平","tian1ping2","scale",1,2,2.67,3.78,4.47,2.81,2.23,0.88,0.63,0.98,"4.53","10.47",0,979,NA,NA,NA,NA
"320","围巾","wei2jin1","scarf",3,2,2.81,4.39,4.78,3.32,2.8,1,0,1,"2.94","3.41",0.03,1009,NA,NA,NA,NA
"321","剪刀","jian3dao1","scissors",1,2,3.05,4.11,4.78,2.05,3.4,0.88,0.54,1,"2.19","1.94",0.03,726,"5. no evidence for borrowing","No information",NA,"No information"
"322","乐谱","le4pu3","score",2,2,3.24,3.86,4.4,4.46,1.97,0.45,1.71,1,"4.94","7.89",0.03,1127,NA,NA,NA,NA
"323","蝎子","xie1zi3","scorpion",1,2,2.55,4.12,3.92,3.54,1.68,0.68,1.32,0.7,"4.35","10.5",0.14,1204,NA,NA,NA,NA
"324","螺丝钉","luo2si1ding1","screw",1,3,2.19,4.31,4.11,2.86,2.29,0.35,2.59,0.7,"3.88","10.32",0.09,1163,NA,NA,NA,NA
