"Stimuli","AoA","SD","X","Stimuli.1","FreqSub","SD.1","freq2","cat","phonlength","Borrowed"
"chaise",4.031145717,1.795454236,NA,"chaise",5.5,1.071516751,86.35,"NOM",3,FALSE
"châle",9.127919911,3.456332819,NA,"châle",3.035714286,0.922241346,9.32,"NOM",3,TRUE
"chambre",3.783092325,1.716460474,NA,"chambre",5.785714286,1.133893419,381.22,"NOM",4,FALSE
"champ",5.637374861,1.805010946,NA,"champ",3.964285714,1.261455446,51.76,"NOM",2,FALSE
"chance",6.429365962,1.929399037,NA,"chance",5.071428571,1.11980724,114.05,"NOM",3,TRUE
"change",6.244716352,2.314517066,NA,"change",5.5,1.201850425,39.46,"NOM",3,TRUE
"chant",6.104560623,2.167700332,NA,"chant",4.428571429,1.168366109,28.38,"NOM",2,FALSE
"chaque",6.510714286,1.950243132,NA,"chaque",6.642857143,0.9893614,486.35,"ADJ",3,FALSE
"char",8.380422692,2.76265417,NA,"char",2.785714286,0.686221153,7.91,"NOM",3,TRUE
"charge",9.404761905,2.564120248,NA,"charge",4.321428571,1.389206313,44.05,"NOM",4,TRUE
"charme",9.350389321,2.192362108,NA,"charme",4.428571429,1.317364693,44.33,"NOM",4,FALSE
"charte",12.79948914,2.732309873,NA,"charte",2.964285714,0.922241346,1.82,"NOM",4,FALSE
"chasse",6.245828699,2.109374876,NA,"chasse",3.571428571,1.103146054,61.76,"NOM",3,FALSE
"chaste",12.5294772,2.775468574,NA,"chaste",2.714285714,0.937180281,4.32,"ADJ",4,FALSE
"chat",3.819799778,1.453952714,NA,"chat",5.25,1.530553035,59.26,"NOM",2,TRUE
"chaud",4.033370412,1.328755582,NA,"chaud",5.357142857,1.12921755,104.19,"ADJ",2,FALSE
"chauffe",6.328571429,2.107458021,NA,"chauffe",4.714285714,1.410467295,4.86,"NOM",3,FALSE
"chaume",10.60791826,2.212258726,NA,"chaume",2.75,1.040833,4.86,"NOM",3,FALSE
"chauve",6.669632925,2.553092159,NA,"chauve",3.5,1,14.6,"ADJ",3,FALSE
"chaux",11.72286079,2.613436294,NA,"chaux",2.75,0.645497224,7.36,"NOM",2,FALSE
"chef",6.389321468,1.81095828,NA,"chef",4.464285714,1.426784597,172.57,"NOM",3,FALSE
"chêne",7.561735261,3.013232466,NA,"chêne",3.285714286,1.11744228,16.49,"NOM",3,TRUE
"chèque",9.27919911,2.196282294,NA,"chèque",4.785714286,0.994694923,6.01,"NOM",3,FALSE
"cher",6.513904338,15.06287896,NA,"cher",5.392857143,1.257254084,110.74,"ADJ",3,FALSE
"chèvre",4.993325918,1.869391253,NA,"chèvre",3.75,1.1426091,10.14,"NOM",4,FALSE
"chez",5.21134594,1.454692075,NA,"chez",6.392857143,0.875141712,680.54,"PRE",2,FALSE
"chic",9.240266963,2.549298871,NA,"chic",4.142857143,1.458418365,17.98,"ADJ",3,TRUE
"chien",3.571746385,1.258946479,NA,"chien",4.928571429,1.274495439,117.64,"NOM",3,FALSE
"chiffre",5.206896552,1.770122406,NA,"chiffre",5.428571429,1.168366109,12.9,"NOM",4,TRUE
"chine",9.038314176,2.456518422,NA,"chine",3.607142857,1.100144291,NA,"NOM",3,TRUE
"chiot",6.172413793,2.175622516,NA,"chiot",3.75,1.530553035,1.49,"NOM",3,FALSE
"chips",5.604004449,1.546414514,NA,"chips",4.142857143,1.268252975,0.95,"NOM",4,TRUE
"chique",12.10217114,2.400225769,NA,"chique",3.428571429,1.372442306,2.3,"NOM",3,TRUE
"chlore",9.606229143,2.486955214,NA,"chlore",3.285714286,0.809990528,0.81,"NOM",4,FALSE
"choc",7.743047831,2.218688947,NA,"choc",4.607142857,1.286375491,38.65,"ADJ",3,TRUE
"choeur",10.06451613,2.578655147,NA,"choeur",3.321428571,1.123933945,24.86,"NOM",3,FALSE
"choix",6.961067853,2.202149488,NA,"choix",5.785714286,1.100745298,51.42,"NOM",3,TRUE
"chope",11.06451613,3.913582634,NA,"chope",3.714285714,1.383959506,2.36,"NOM",3,TRUE
"chose",5.353726363,1.652629056,NA,"chose",5.928571429,1.214985793,695.2,"NOM",3,FALSE
"chou",5.992213571,2.15576247,NA,"chou",3.714285714,0.937180281,13.99,"NOM",2,FALSE
"chouette",6.27919911,2.467857893,NA,"chouette",4.071428571,1.303231637,18.31,"ADJ",4,TRUE
"christ",8.953281424,2.122080537,NA,"christ",3.107142857,1.100144291,2.57,"NOM",5,TRUE
"chrome",12.28809524,2.180372213,NA,"chrome",2.75,1.004618962,1.42,"NOM",4,FALSE
"chute",6.780867631,2.627399057,NA,"chute",4.071428571,1.331347728,35.54,"NOM",3,FALSE
"cible",7.706340378,2.063507818,NA,"cible",3.964285714,1.170063083,8.65,"NOM",4,TRUE
"cidre",9.858731924,2.426998678,NA,"cidre",3.107142857,0.628890011,3.99,"NOM",4,TRUE
"ciel",5.349276974,5.457361606,NA,"ciel",4.964285714,1.318869967,301.76,"NOM",4,FALSE
"cierge",8.886540601,2.597351836,NA,"cierge",2.857142857,0.755928946,5.2,"NOM",5,FALSE
"cil",6.637374861,2.063507818,NA,"cil",4.142857143,1.044005311,2.16,"NOM",3,FALSE
"cime",9.325,2.916658456,NA,"cime",3.178571429,1.218790275,4.46,"NOM",3,FALSE
