age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,citrus fruit,9218143219940429-1,{},147,,kítron,69604,
,,,,"town, city",92181432201635036-1,{},124,,cite,66399,
,,,,"‘city’, originally ‘citizenship’",92181432758015449-1,{},96,,"cīvi-tās, -tātem",69740,
,,,,"clan, group of people related by descent",92181432603989474-1,{},314,,clann,66403,
,,,,plant,92181432193969328-1,{},96,,planta,70006,
,,,,clear,92181432376976208-1,{},124,,cler,66367,
,,,,bright,92181432647732216-1,{},96,,clārus,69716,
,,,,cloak,92181432104366525-1,{},123,,cloque,66130,
,,,,cape,92181432399775176-1,{},194,,clocca,69562,
,,,,bell,92181432667935245-1,{},12,,klokke,66319,
,,,,to close,92181432688745157-1,{},123,,clore,66292,
,,,,to’ close’,9218143234428379-1,{},96,,claudere,69664,
,,,,thick stick,92181432690542827-1,{},257,,"klubba, klumba",66428,
,,,,superior part of the cloth,92181432492104015-1,{},123,,cote,60460,
,,,,"cock, rooster",92181432962162191-1,{},123,,coq,66014,
,,,,cock,92181432191455199-1,{},96,,coccus,69495,
,,,,the cockroach,9218143217331914-1,{},115,,cucaracha,63515,
,,,,coconut,92181432949198489-1,{},115,,coco,61123,
,,,,coffee,92181432815945231-1,{},12,,koffie,59976,
,,,,"‘coffee’, originally ‘hot’ (of water)",92181432607729123-1,{},53,,qahwa,69822,
,,,,wedge,92181432995469574-1,{},124,,coin,66264,
,,,,wedge,92181432891252560-1,{},96,,cuneus,68302,
,,,,collar,92181432760245355-1,{},123,,coler,66132,
,,,,collar,92181432502970558-1,{},96,,collāre,69564,
,,,,to collect taxes,92181432295855500-1,{},213,,collecter,66289,
,,,,"to bind together, collect",9218143226351122-1,{},96,,colligere,69662,
,,,,colour,92181432491516750-1,{},125,,colour,66330,
,,,,colour,92181432334444461-1,{},96,,color,69688,
,,,,to command,92181432450011114-1,{},124,,cumander,66411,
,,,,"to give in charge, to let someone give orders",92181432310512520-1,{},96,,commandāre,69750,
,,,,to conceive,92181432484303054-1,{},123,,concevoir,66085,
,,,,‘‘o conceive’,92181432540167371-1,{},96,,concipere,69527,
,,,,to condemn,92181432590680919-1,{},124,,condemner,66452,
,,,,to condemn,92181432190282669-1,{},96,,condemnāre,69781,
,,,,"‘pine cone’, later ‘geometrical cone’",92181432796899735-1,{},147,,kōnos,69616,
,,,,"cone, wedge, peak",9218143234790971-1,{},96,,conus,70017,
,,,,"to convince, convict",92181432182121313-1,{},123,,convaincre,66453,
,,,,"‘to convince, convict’ (’to overcome’)",92181432749596733-1,{},96,,convincere,69782,
,,,,to cook,92181432697346366-1,{},96,,coquere,66093,
,,,,copper,9218143258798062-1,{},96,,cuprum,66215,
,,,,Cypriot metal,92181432405933497-1,{},147,,kyprion,69622,
,,,,to link together,92181432765957814-1,{},96,,copulāre,66055,
,,,,cormorant,92181432966596273-1,{},125,,cormoran,66026,
,,,,"‘cormorant’, literally ‘marine crow’",92181432556953339-1,{},96,,corvus marīnus,69502,
,,,,corner,92181432216451221-1,{},124,,corner,66299,
,,,,"‘corner’, from cornū ‘horn’",92181432258883656-1,{},194,,cornerium,69668,
,,,,body,92181432441063801-1,{},213,,cors,66058,
,,,,body,92181432406454990-1,{},96,,corpus,69917,
,,,,cotton,92181432763497633-1,{},123,,coton,69159,
,,,,cotton,92181432703119499-1,{},53,,qutn,69560,
,,,,to count,92181432285846959-1,{},123,,compter,66311,
,,,,to count,92181432410328496-1,{},96,,computāre,69677,
,,,,country,92181432944405132-1,{},123,,contrée,66398,
,,,,the land opposite one,92181432223980575-1,{},96,,contrāta (terra),69739,
,,,,courtyard,92181432133454140-1,{},125,,court,66447,
,,,,assembly,92181432738714146-1,{},96,,"cohor-s, -tem",69777,
,,,,cousin,92181432672685827-1,{},123,,cousin,65998,
,,,,cousin,92181432792761790-1,{},96,,consobrīnus,69483,
,,,,to cover,92181432428867155-1,{},123,,couvrir,66293,
,,,,to cover,92181432304087774-1,{},96,,cooperīre,69665,
,,,,coyote,92181432536135719-1,{},230,,coyotl,68283,
,,,,coyote,9218143222513877-1,{},115,,coyote,70413,
,,,,"to crawl, scrabble around in earth",92181432763456173-1,{},257,,krafla,66233,
,,,,crime,92181432950937572-1,{},123,,crime,67824,
,,,,evil deed,92181432132691575-1,{},96,,crīmen,69811,
,,,,crocodile,92181432873821178-1,{},124,,cocodrille,66019,
,,,,crocodile,92181432652349940-1,{},147,,krokódeilos,72522,
,,,,crooked,92181432871641006-1,{},257,,krókr,66298,
,,,,cross,92181432325291547-1,{},96,,crux,66300,
,,,,to be bent like a hook,92181432464009316-1,{},124,,crochir,66250,
,,,,to crush,92181432332981430-1,{},124,,croisir,66108,
,,,,to crackle,92181432729360935-1,{},96,,cruscīre,69545,
,,,,"to cry, wail",92181432274765498-1,{},124,,crier,66345,
,,,,to wail,92181432366414240-1,{},96,,quirītāre,69699,
,,,,‘to cultivate’ from colēre ‘to till the soil’,92181432102312034-1,{},96,,cultivāre,66172,
,,,,cup,92181432964675993-1,{},96,,"cuppa (Vulgar), cūpa (Classical)",66099,
,,,,to cure,9218143267423946-1,{},213,,curer,66060,
,,,,"‘to cure’, literally ‘to give care (Latin: cura) to’",9218143244407050-1,{},96,,cūráre,69514,
,,,,custom,92181432919770595-1,{},125,,custome,66418,
,,,,custom,92181432606053741-1,{},96,,consuetũdō,69756,
,,,,cut with a knife,92181432110372248-1,{},257,,kuta,66204,
,,,,harm,92181432688489625-1,{},125,,damage,66262,
,,,,harm,92181432514903398-1,{},96,,damnum,69647,
,,,,to dance,92181432701285179-1,{},123,,danser,67393,
,,,,to dance,92181432265442504-1,{},99,,dansōn,69632,
,,,,danger,92181432136293175-1,{},124,,danger,66351,
,,,,sovereignty,92181432887505378-1,{},96,,*domniārium,69703,
,,,,debt,9218143213139299-1,{},123,,dette,66268,
,,,,‘debt’; ‘to owe’,92181432312156997-1,{},96,,debitum; dēbēre,69650,
,,,,deceit,92181432379333777-1,{},125,,deceite,66354,
,,,,to betray,9218143242098864-1,{},96,,dēcipere,69705,
,,,,defeat,92181432142975174-1,{},125,,defeit,66434,
,,,,to do away with,92181432722966827-1,{},96,,disfacere,69769,
,,,,‘to dispose of dregs’ (faex ‘dregs’),92181432591546833-1,{},96,,dēfaecāre,66054,
,,,,to defend,92181432818408187-1,{},123,,défendre,66436,
,,,,"to defend, ward off evil",92181432108419053-1,{},96,,dēfendere,69771,
,,,,defending,92181432354462240-1,{},125,,deffendant,66451,
,,,,demon,92181432361156490-1,{},96,,daemōn,66470,
