age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,‘salted’ (items),92181432620820367-1,{},194,,salsīcia,69547,
,,,,savanna,92181432945180881-1,{},115,,sabana,61213,
,,,,"savanna, flat land",92181432305362101-1,{},337,,sabana,69473,
,,,,scale,92181432725713701-1,{},213,,escale,66030,
,,,,scale,92181432848535887-1,{},99,,*skaljā,69503,
,,,,scar,92181432154085761-1,{},213,,eacare,66092,
,,,,‘hearth’; ‘scab’,92181432382902159-1,{},147,,eskhárā,69531,
,,,,school,92181432366703729-1,{},96,,schola,66854,
,,,,l’eisure’,92181432808313346-1,{},147,,skholē,69714,
,,,,scissors,92181432383822230-1,{},125,,cisoirs,66205,
,,,,cutting implement,9218143270642654-1,{},194,,*cīsōria (Pl; unattested),69618,
,,,,poet,92181432872846641-1,{},257,,skáldr,66394,
,,,,scorpion,92181432180815745-1,{},123,,scorpion,67005,
,,,,scorpion,92181432870826999-1,{},147,,skorpios,67978,
,,,,to scrape,92181432840599040-1,{},257,,skrapa,66105,
,,,,screw,92181432149949604-1,{},125,,escroue,69304,
,,,,"‘sculptor, one who carves in stone’ from sculpere ‘to scratch’",92181432805230644-1,{},96,,sculptor,66219,
,,,,gull,92181432706132600-1,{},373,,gwylan,66021,
,,,,season,92181432442991447-1,{},125,,seson,66323,
,,,,period for sowing,92181432111048312-1,{},96,,"satiō, -nem",69684,
,,,,second,92181432831168427-1,{},123,,second,66309,
,,,,"‘second’, from sequor ‘I follow’",92181432172984819-1,{},96,,secundus,69675,
,,,,secret,921814328536278-1,{},124,,secré,66369,
,,,,‘secret’ (p.pt sēcernere ‘to keep separate’),92181432687570843-1,{},96,,sēcrētum,69718,
,,,,"to be fitting, be of repute",92181432232004670-1,{},257,,séma,66363,
,,,,to separate,92181432124367923-1,{},96,,sēparāre,66291,
,,,,servant,92181432371220057-1,{},124,,servant,66410,
,,,,to serve,92181432834644786-1,{},96,,servīre,69748,
,,,,"shelf, set of shelves",92181432424590834-1,{},140,,schelf,66158,
,,,,lean-to stall,92181432741998716-1,{},124,,eschoppe,66278,
,,,,’store’,92181432265414988-1,{},140,,schoppen,69656,
,,,,shore,92181432597495730-1,{},12,,schôre,65964,
,,,,shore,92181432597495730-2,{},140,,schôre,65965,
,,,,"to shriek, shout",92181432538593119-1,{},257,,skrækja,66387,
,,,,shrunken creatures,92181432754571657-1,{},139,,schrimpen,66037,
,,,,"‘sickle’, literally ‘cutter’ from secāre",92181432775755834-1,{},96,,secula,66176,
,,,,Chinese,92181432450737333-1,{},96,,sēricus,66128,
,,,,silk,92181432361448987-1,{},226,,sirege,69561,
,,,,,92181432501316043-1,{},360,,Unidentifiable,74759,
,,,,similar,92181432995514504-1,{},123,,similaire,67495,
,,,,alike,92181432993061880-1,{},96,,similāris,69671,
,,,,sister,92181432283416505-1,{},257,,systir,65993,
,,,,skin,92181432193876687-1,{},257,,skinn,66048,
,,,,shirt,9218143274090097-1,{},257,,skyrta,68250,
,,,,skull,92181432967609540-1,{},257,,skoltr,66070,
,,,,cloud,92181432954048378-1,{},257,,ský,65973,
,,,,slave,92181432802468680-1,{},123,,esclave,66409,
,,,,slave,92181432533596293-1,{},96,,sclavus,67693,
,,,,sledge,9218143256869306-1,{},12,,slede,66244,
,,,,sledge,9218143256869306-2,{},140,,slede,66245,
,,,,slingshot,92181432851745644-1,{},12,,slinge,66429,
,,,,slingshot,92181432851745644-2,{},140,,slinge,66430,
,,,,"to slip, slide",92181432146199623-1,{},12,,slippen,66234,
,,,,to smile,92181432426635623-1,{},140,,*smīlen,66362,
,,,,low shoe,92181432529724885-1,{},96,,soccus,66828,
,,,,ground,9218143213943180-1,{},123,,seuil,65976,
,,,,"ground, floor, sole",92181432351926658-1,{},96,,solum,69875,
,,,,soldier,92181432779483694-1,{},125,,soldier,66427,
,,,,"soldier, one who receives money for service",92181432855900940-1,{},194,,solidārius,69763,
,,,,"witch, wizard",92181432561877096-1,{},213,,sorcier,66474,
,,,,"‘magician, fortune-teller’ (sors ‘fate’)",92181432413055271-1,{},194,,*sortiārius,69797,
,,,,sound,92181432880584991-1,{},123,,son,66328,
,,,,sound,92181432305073622-1,{},96,,sonus,69686,
,,,,soup,92181432938266036-1,{},123,,soupe,63155,
,,,,"to sup, soak",92181432778479294-1,{},99,,*supian,69548,
,,,,thorn,92181432592642913-1,{},213,,espine,66068,
,,,,thorn,92181432237491740-1,{},96,,spīna,69520,
,,,,spirit,9218143248223503-1,{},124,,spirit,66336,
,,,,breath,92181432116790310-1,{},96,,spiritus,69693,
,,,,spleen,92181432670126302-1,{},213,,esplen,66081,
,,,,spleen,92181432969479626-1,{},147,,splēn,69525,
,,,,to split,92181432138152143-1,{},12,,splitten,66206,
,,,,to split,92181432138152143-2,{},140,,splitten,66207,
,,,,square,92181432803377942-1,{},124,,esquire,66301,
,,,,something with four equal sides,92181432362345804-1,{},194,,*exquadra,69669,
,,,,literally ‘raw gourds’,92181432287240625-1,{},231,,asquutasquash,66200,
,,,,squirrel,92181432568334956-1,{},125,,esquirel,66041,
,,,,"‘squirrel’, literally shadow-tail",92181432564857534-1,{},147,,skíouros,69508,
,,,,stable,92181432795700224-1,{},124,,estable,66011,
,,,,stable,9218143230257932-1,{},96,,stabulum,69492,
,,,,stallion,92181432337567233-1,{},125,,estalon,66012,
,,,,a stable,92181432704014608-1,{},99,,*stallo,69493,
,,,,statue,92181432790271312-1,{},96,,statua,66220,
,,,,"‘stay, stand’ (present tense stem)",92181432936065928-1,{},124,,estaier,66285,
,,,,to stand,92181432760478079-1,{},96,,stāre,69660,
,,,,ray,92181432116001709-1,{},123,,raie,66034,
,,,,ray,92181432466419025-1,{},96,,raia,69506,
,,,,stomach,92181432484995509-1,{},123,,estomac,67028,
,,,,stomach,92181432853112579-1,{},147,,stómakhos,69513,
,,,,to store up,92181432631926256-1,{},124,,estorer,66279,
,,,,to repair,921814327754993-1,{},96,,instaurāre,69657,
,,,,"to squeeze, compress",92181432442542083-1,{},124,,estreindre,66104,
,,,,to squeeze,92181432377759698-1,{},96,,stringere,69542,
,,,,stranger,92181432231411685-1,{},125,,estrangier,66415,
,,,,"‘stranger’, literally ‘someone from outside’",92181432383091195-1,{},96,,*extrāneārius,69754,
,,,,laid down (way),92181432616429404-1,{},96,,(via) strāta,66508,
,,,,to study,9218143232070370-1,{},124,,estudier,66382,
,,,,‘zeal’ (studēre ‘to apply oneself’),92181432982084746-1,{},96,,studium,69727,
,,,,stupid,9218143281872690-1,{},96,,stupidus,70058,
,,,,sugar,92181432361259271-1,{},53,,sukkar,64420,
,,,,sugar,92181432809599181-1,{},125,,zuchre,66117,
,,,,cane,92181432516128280-1,{},124,,cane,66201,
,,,,"cane, reed",92181432713019230-1,{},152,,qāneh,69615,
,,,,to sup,92181432327013062-1,{},125,,super,66102,
,,,,"safe, secure",92181432310608441-1,{},124,,sur,66371,
,,,,free from care,92181432242905315-1,{},96,,secūrus,69720,
,,,,surprised,92181432743891602-1,{},123,,surpris,66337,
,,,,take unawares,92181432206797235-1,{},96,,super prēndere,69694,
,,,,"‘to surrender’ (Latin super ‘above’, reddere ‘to give back, return’)",92181432207724135-1,{},123,,surrendre,66438,
,,,,"‘to suspect’, literally ‘to look underneath’",92181432717716967-1,{},96,,suspicere,66375,
,,,,marsh,92181432459485914-1,{},12,,swampen,65969,
,,,,marsh,92181432459485914-2,{},140,,swampen,65970,
,,,,to sweep,9218143218609413-1,{},257,,svipa,66210,
,,,,"board, plank",92181432477504178-1,{},96,,tabula,68081,
,,,,little board,92181432774964704-1,{},124,,tablete,66489,
,,,,little board,92181432408681730-1,{},194,,tabuleta,69805,
,,,,tailor,921814328770689-1,{},123,,tailleur,66127,
,,,,cutter,92181432649763471-1,{},96,,tāliātōr,69559,
,,,,to tan,92181432638401085-1,{},96,,tannāre,66166,
,,,,tapir,92181432683057679-1,{},353,,tapyra,69313,
,,,,to touch,92181432355220664-1,{},125,,taster,66325,
,,,,"‘to touch, to taste’ (possibly a blend of gustāre ‘to taste’ and tangere ‘to touch’)",92181432997006587-1,{},194,,tastāre,69685,
,,,,to mark,92181432160598133-1,{},335,,tātau,66143,
,,,,tax,92181432653906876-1,{},124,,taxe,66271,
,,,,to censure,92181432294174866-1,{},96,,taxāre,69653,
,,,,tea,92181432397516760-1,{},12,,thee,68505,
,,,,tea,92181432638895170-1,{},91,,tiä,69799,
,,,,‘far’ and ‘voice’,92181432859678598-1,{},147,,tēle + phōnē,66481,
,,,,far,92181432741127719-1,{},147,,tēle,66480,
,,,,temple,92181432489380697-1,{},96,,templum,67780,
,,,,temple,92181432160486848-1,{},213,,temple,66069,
,,,,"‘temples’, modified form of classical Latin tempora",92181432957721816-1,{},194,,*tempula,69521,
,,,,tendon,92181432442816980-1,{},96,,"tendō, -nem",66083,
,,,,tendon,92181432212657486-1,{},147,,tēnōn,69526,
,,,,"‘stretched cloth’, from tendere ‘to stretch’",92181432674668538-1,{},96,,tenta,69580,
,,,,tent,92181432511041276-1,{},123,,tente,70452,
,,,,woodworm,92181432592108923-1,{},96,,"term-es, -item",66038,
,,,,"testis’ (also ‘witness’), ‘testicle’",92181432196878035-1,{},96,,"testis, testiculus",66050,
,,,,they,92181432206200822-1,{},257,,þeir,66003,
,,,,‘Thor’s day’,92181432747036946-1,{},257,,Thórsdagr,66320,
,,,,tobacco leaves,92181432641918698-1,{},337,,tabako,69602,
,,,,the tobacco,92181432568281878-1,{},115,,tabaco,70969,
,,,,"grooming, dressing, toilet",92181432440340430-1,{},123,,toilette,69414,
,,,,cloth,92181432317416926-1,{},96,,tēla,69816,
,,,,torch,92181432775973192-1,{},123,,torche,66156,
,,,,twist of rope dipped in tar,92181432296865158-1,{},96,,torca,69584,
,,,,toucan,92181432281019449-1,{},353,,tucana,66027,
,,,,to touch,92181432622365243-1,{},123,,toucher,66332,
,,,,to touch,92181432953238045-1,{},194,,toccāre,69690,
,,,,towel,9218143274429739-1,{},124,,toaile,66145,
,,,,washing thing,92181432916833752-1,{},99,,*thwaxljō,69572,
,,,,tower,92181432418492003-1,{},96,,turris,66856,
,,,,"direction, track",92181432819543128-1,{},12,,trade,66273,
,,,,"direction, track",92181432819543128-2,{},140,,trade,66274,
,,,,train,92181432213137046-1,{},123,,train,67845,
,,,,‘to drag behind’ (unattested form of trahere ‘to drag’),92181432994838236-1,{},194,,*tragināre,69823,
,,,,tree trunk,92181432641421910-1,{},123,,tronc,66184,
,,,,trunk,92181432504601189-1,{},96,,truncus,69603,
,,,,trousers,92181432894687491-1,{},314,,triubhas,66133,
,,,,trumpet,92181432279201205-1,{},123,,trompette,67673,
,,,,trumpet,92181432690644401-1,{},246,,tromba,69738,
,,,,to sift out,92181432670247428-1,{},123,,trier,66378,
,,,,to separate out,92181432728434397-1,{},194,,triāre,69725,
,,,,"‘to turn’, from tornus (lathe)",92181432467065600-1,{},96,,tornāre,66229,
,,,,tortoise,92181432948819977-1,{},123,,tortue,66020,
,,,,tortoise,92181432670623548-1,{},96,,tortūca,69499,
,,,,"horrific, repulsive",92181432885450500-1,{},257,,uggligr,66361,
,,,,uncle,92181432313534354-1,{},123,,oncle,65994,
,,,,"‘uncle’, literally ‘little grandfather’",92181432806094623-1,{},96,,avunculus,69479,
,,,,‘to urinate’ (ūrina ‘urine’),92181432136752444-1,{},96,,ūrināre,66053,
,,,,vagina,92181432594703358-1,{},96,,vagina,69311,
,,,,valley,92181432945843577-1,{},123,,vallée,65963,
,,,,valley,92181432933039627-1,{},96,,vallēs,69462,
,,,,vegetable,9218143292623423-1,{},123,,végétable,66113,
,,,,life-giving,92181432782793454-1,{},96,,vegetābilis,69549,
,,,,veil,92181432672798239-1,{},124,,veile,66135,
,,,,sail,9218143247638013-1,{},96,,vēlum,69565,
,,,,vein,9218143297674722-1,{},123,,veine,67077,
,,,,vein,92181432241429257-1,{},96,,vēna,69518,
,,,,victory,92181432699241319-1,{},125,,victorie,66433,
,,,,"‘victory’, from vincere ‘to win’.",92181432317149795-1,{},96,,victōria,69768,
,,,,village,92181432980871074-1,{},123,,village,66400,
,,,,something which relates to the villa,92181432217492390-1,{},96,,villāticum,69741,
,,,,vine,92181432219210886-1,{},123,,vigne,66183,
,,,,vineyard,92181432515986531-1,{},96,,vīnea,69601,
,,,,voice,92181432442578089-1,{},124,,voiz,66384,
,,,,voice,92181432331143613-1,{},96,,"vo-x, -cem",69728,
,,,,vomited material,92181432785937343-1,{},96,,vomitus,66051,
,,,,vulture,92181432605144727-1,{},125,,vultur,66024,
,,,,vulture,92181432815527017-1,{},96,,vultur,69501,
,,,,vulva,92181432230203593-1,{},96,,vulva,70427,
,,,,pledge,92181432363767288-1,{},124,,wage,66272,
,,,,pledge,92181432634598731-1,{},99,,*wadjam,69654,
,,,,cart,92181432481681654-1,{},12,,wagen,66243,
,,,,"‘rampart’, from vallus ‘stake’",92181432277879090-1,{},96,,vallum,66153,
,,,,be lacking,92181432355269142-1,{},257,,vanta,66352,
,,,,war,92181432264834680-1,{},124,,guerre,66423,
,,,,"tumult, confusion, war",92181432701861755-1,{},122,,*werra,69760,
,,,,to turn around,9218143274349878-1,{},257,,hvirfla,65983,
,,,,"‘window’,literally ‘wind eye’",92181432838208786-1,{},257,,vindauga,66152,
,,,,wine,92181432241139241-1,{},96,,vīnum,66120,
,,,,wine,92181432227622844-1,{},147,,(w)oînos,69554,
,,,,wing,92181432467285752-1,{},257,,vængir,66080,
,,,,yam,92181432115436614-1,{},274,,inhame,66198,
,,,,zero,92181432241980306-1,{},115,,cero,61152,
,,,,zero,92181432789451211-1,{},53,,ṣifr,64530,
