ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
36469,oldh1241,Old High German,1709,fifteen,13-103,fimfzehan,,,7671047715974345,5. no evidence for borrowing,0.0,analyzable compound,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,five-ten,num.,,,,,,,,,,,
36470,oldh1241,Old High German,1710,twenty,13-104,zweinzug,,,7671048954462334,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,two-,num.,,,,,,,,,,,
36471,oldh1241,Old High German,1634,a hundred,13-105,einhunt,,,7671049316693879,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,one-,num.,,,,,,,,,,,
36472,oldh1241,Old High German,1843,a thousand,13-106,dûsunt,,,7671050877276571,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,num.,,,,,,,,,,,
36473,oldh1241,Old High German,1420,to count,13-107,zellen,,,7671112326187470,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,tale-VBLZ,verb,,,,,,,,,,,
36474,oldh1241,Old High German,98,all,13-14,al,,,767111317814756,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36475,oldh1241,Old High German,1198,many,13-15,filu,,,7671114349150266,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj./adv.,,,,,,,,,,,
36476,oldh1241,Old High German,1992,more,13-16,"mêro, mêra",,,7671114857597135,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36477,oldh1241,Old High German,1242,few,13-17,fôh,,,7671118824269903,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36478,oldh1241,Old High German,1881,enough,13-18,ginuog,,,7671118273273878,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,suffice-NMLZ,adj.,,,,,,,,,,,
36479,oldh1241,Old High German,1241,some,13-181,einîg,,,767112162307396,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,one-NMLZ,pron.,,,,,,,,,,,
36480,oldh1241,Old High German,2023,the crowd,13-19,menigî,,,767112335618864,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,some-NMLZ,noun,,,,,,,,,,,
36481,oldh1241,Old High German,1429,full,13-21,fol,,,7671128730276218,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36482,oldh1241,Old High German,1624,empty,13-22,lârî,,,7671129199581678,5. no evidence for borrowing,0.0,unanalyzable,1.0,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36483,oldh1241,Old High German,779,the part,13-23,teil,,,7671130966279404,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36485,oldh1241,Old High German,816,the half,13-24,halba,,,7671131238697231,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,half-NMLZ,noun,,,,,,,,,,,
36486,oldh1241,Old High German,1580,only,13-33,einen,,,7671133507573384,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,one-SUFF,adv.,,,,,,,,,,,
36488,oldh1241,Old High German,728,first,13-34,êristo,,,7671135219861860,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,early-SUFF,num.,,,,,,,,,,,
36489,oldh1241,Old High German,1529,last,13-35,hintarôsto,,,7671324735331239,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,behind-SUPERL,adj.,,,,,,,,,,,
36490,oldh1241,Old High German,1384,second,13-36,ander,,,7671325410245184,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36491,oldh1241,Old High German,1546,twice/two times,13-38,zwiro,,,7611818394190580,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,two-,adv.,,,,,,,,,,,
36492,oldh1241,Old High German,1859,third,13-42,dritto,,,7611819801920330,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,three-,num.,,,,,,,,,,,
36493,oldh1241,Old High German,417,three times,13-44,driror,,,7611821878229324,5. no evidence for borrowing,0.0,semi-analyzable,0.75,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,three-,adv.,,,,,,,,,,,
36494,oldh1241,Old High German,892,the time,14-11,zît,,,7611847963634158,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36495,oldh1241,Old High German,1789,the age,14-12,altar,,,7611848553656499,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36496,oldh1241,Old High German,1231,new,14-13,niuwi,,,7611951536305645,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36497,oldh1241,Old High German,1207,young,14-14,jung,,,7611951554721586,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36498,oldh1241,Old High German,1229,old,14-15,alt,,,7611952809830972,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36499,oldh1241,Old High German,672,early,14-16,fruoi,,,7611953341704347,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36500,oldh1241,Old High German,477,late,14-17,spâti,,,7611953299092300,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
36501,oldh1241,Old High German,1376,now,14-18,nu,,,7611954814032883,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
36502,oldh1241,Old High German,1963,immediately,14-19,sâr,,,7611959720447855,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
36503,oldh1241,Old High German,1631,fast,14-21,rasco,,,7611100908091873,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
36504,oldh1241,Old High German,701,slow,14-22,langsam,,,7611101616185422,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,long-SUFF,adj.,,,,,,,,,,,
36505,oldh1241,Old High German,754,to hurry,14-23,îlen,,,7611102167703277,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36506,oldh1241,Old High German,425,to be late,14-24,spâten,,,7611103457453089,5. no evidence for borrowing,0.0,analyzable derived,0.5,Pre-Old-High-German,None,Pre-Old-High-German,,0. No evidence for calquing,,,,,,late-VBLZ,verb,,,,,,,,,,,
36507,oldh1241,Old High German,1806,to begin,14-25,biginnan,,,7611106398975655,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36509,oldh1241,Old High German,1186,to last,14-252,werên,,,7611107975057946,5. no evidence for borrowing,0.0,unanalyzable,1.0,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36510,oldh1241,Old High German,743,the end(2),14-26,enti,,,766942163290367,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36511,oldh1241,Old High German,1766,to finish,14-27,entôn,,,76111010544401877,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,end-VBLZ,verb,,,,,,,,,,,
36512,oldh1241,Old High German,1928,to cease,14-28,entôn,,,76111010544401877,5. no evidence for borrowing,0.0,analyzable derived,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,end-VBLZ,verb,,,,,,,,,,,
36513,oldh1241,Old High German,790,ready,14-29,"fartîg, fertîg",,,76111013772546610,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,go-SUFF,adj.,,,,,,,,,,,
36514,oldh1241,Old High German,1676,always,14-31,iomêr,,,76111015867699417,5. no evidence for borrowing,0.0,analyzable compound,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,ever-more,adv.,,,,,,,,,,,
36515,oldh1241,Old High German,1852,often,14-32,ofto,,,76111036883836240,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
36516,oldh1241,Old High German,1544,sometimes,14-33,eddeswanne,,,76111117869247492,5. no evidence for borrowing,0.0,unanalyzable,1.0,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
36517,oldh1241,Old High German,703,soon,14-331,sâr,,,7611959720447855,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,adv.,,,,,,,,,,,
