affiliation,countries,description,family,fm_dl_id,genus,id,jsondata,latitude,longitude,markup_description,name,pk,vocabulary_pk,wals_equivalent
"Australian, Pama-Nyungan",,,http://wals.info/languoid/family/australian,873046137435318,http://wals.info/languoid/genus/pamanyungan,174,{},-18.75,128.0,,Jaru,174,,http://wals.info/languoid/lect/wals_code_djr
"Austronesian, Javanese",,,Austronesian,873046341214209,Javanese,175,{},-7.0,111.0,,Javanese,175,,http://wals.info/languoid/lect/wals_code_jav
West Barkly,,,http://wals.info/languoid/family/australian,873054845917986,http://wals.info/languoid/genus/westbarkly,176,{},-17.75,134.0,,Jingulu,176,,http://wals.info/languoid/lect/wals_code_dji
"Mayan, Mayan",,,http://wals.info/languoid/family/mayan,8730462835434,http://wals.info/languoid/genus/mayan,177,{},15.1,-90.45,,K’iche’an,177,,
"Altaic, Mongolic",,,Altaic,873046952210259,Mongolic,178,{},44.0,83.0,,Kalmyk,178,,http://wals.info/languoid/lect/wals_code_kmk
Tai-Kadai,,,http://wals.info/languoid/family/taikadai,8116736875844292,,179,{},26.5783,106.713,,Kam-Sui,179,,
"Dravidian, Southern Dravidian",,,Dravidian,873054157728727,Southern Dravidian,180,{},14.0,76.0,,Kannada,180,,http://wals.info/languoid/lect/wals_code_knd
"Uralic, Finnic",,,Uralic,873046956097541,Finnic,181,{},64.0,32.0,,Karelian,181,,http://wals.info/languoid/lect/wals_code_krl
"Australian, Pama-Nyungan",,,http://wals.info/languoid/family/australian,873046451848366,http://wals.info/languoid/genus/pamanyungan,182,{},-17.3333,132.083,,Karranga,182,,http://wals.info/languoid/lect/wals_code_mdb
"Australian, Pama-Nyungan",,,Australian,873054326966014,Pama-Nyungan,183,{},-34.25,138.5,,Kaurna,183,,http://wals.info/languoid/lect/wals_code_kaq
"Altaic, Mongolic",,,Altaic,873046343052652,Mongolic,184,{},47.0,105.0,,Khalkha,184,,http://wals.info/languoid/lect/wals_code_kha
Djeragan,,,http://wals.info/languoid/family/australian,873046366716360,http://wals.info/languoid/genus/djeragan,185,{},-17.5,127.75,,Kija,185,,http://wals.info/languoid/lect/wals_code_kij
"Uralic, Finnic",,,http://wals.info/languoid/family/uralic,873046650441692,http://wals.info/languoid/genus/finnic,186,{},61.0,55.0,,Komi,186,,
"Niger-Congo, Bantoid",,,Niger-Congo,873046700966182,Bantoid,187,{},-5.0,15.0,,Kongo,187,,http://wals.info/languoid/lect/wals_code_kon
"Afro-Asiatic, Eastern Cushitic",,,http://wals.info/languoid/family/afroasiatic,873046729707482,http://wals.info/languoid/genus/easterncushitic,188,{},5.5,37.5,,Konso,188,,
"Korean, Korean",,,Korean,873046848256910,Korean,189,{},37.5,128.0,,Korean,189,,http://wals.info/languoid/lect/wals_code_kor
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,92142231461191679,http://wals.info/languoid/genus/germanic,190,{},-18.1667,125.583,,Kriol,190,,http://wals.info/languoid/lect/wals_code_kfc
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046441040712,,191,{},36.0,44.0,,Kurdish,191,,http://wals.info/languoid/lect/wals_code_krd
"Nakh-Daghestanian, Lak-Dargwa",,,Nakh-Daghestanian,873046957352946,Lak-Dargwa,192,{},42.1667,47.1667,,Lak,192,,http://wals.info/languoid/lect/wals_code_lak
"Tai-Kadai, Kam-Tai",,,Tai-Kadai,873046474779681,Kam-Tai,193,{},18.0,103.0,,Lao,193,,http://wals.info/languoid/lect/wals_code_lao
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046293964031,http://wals.info/languoid/genus/romance,194,{},44.4167,12.2,,Late Latin,194,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873054324306842,http://wals.info/languoid/genus/romance,195,{},44.5075,11.3514,,Medieval Latin,195,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046314261813,http://wals.info/languoid/genus/romance,196,{},40.8167,14.1167,,Vulgar Latin,196,,
Tupian,,,http://wals.info/languoid/family/tupian,873054582209821,,197,{},1.5,-67.0,,Nheengatú,197,,
Bantoid,,,http://wals.info/languoid/family/nigercongo,873046845083671,http://wals.info/languoid/genus/bantoid,198,{},-4.8,11.85,,Loango,198,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873054610890632,,199,{},24.0,98.0,,Lolo-Burmese,199,,http://wals.info/languoid/genus/burmeselolo
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046930362807,http://wals.info/languoid/genus/semitic,200,{},34.0,-6.0,,Arabic (Maghrebi),200,,http://wals.info/languoid/lect/wals_code_amr
"Niger-Congo, Bantoid",,,Niger-Congo,873046453384262,Bantoid,201,{},-15.0,38.6667,,Makua,201,,http://wals.info/languoid/lect/wals_code_mua
"Austronesian, Malayic",,,Austronesian,873046243014335,Malayic,202,{},3.0,102.0,,Malay,202,,http://wals.info/languoid/lect/wals_code_mly
"Dravidian, Southern Dravidian",,,Dravidian,92122118627044120,Southern Dravidian,203,{},10.0,76.5,,Malayalam,203,,http://wals.info/languoid/lect/wals_code_mym
"Afro-Asiatic, Biu-Mandara",,,Afro-Asiatic,873046715610818,Biu-Mandara,204,{},11.5,13.75,,Malgwa,204,,http://wals.info/languoid/lect/wals_code_mlg
Niger-Congo,,,http://wals.info/languoid/family/nigercongo,873046242315387,,205,{},10.0,-7.0,,Mande,205,,
"Niger-Congo, Western Mande",,,Niger-Congo,92122117461191679,Western Mande,206,{},13.0,-15.6667,,Mandinka,206,,http://wals.info/languoid/lect/wals_code_mdk
"Austronesian (Eastern Malayo-Polynesian), Oceanic",,,http://wals.info/languoid/family/austronesian,873046851426818,http://wals.info/languoid/genus/oceanic,207,{},-40.0,176.0,,Māori,207,,http://wals.info/languoid/lect/wals_code_mao
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046260671806,http://wals.info/languoid/genus/romance,208,{},-20.2,57.5,,French (Mauritian),208,,
"Niger-Congo, Western Mande",,,Niger-Congo,873046211306238,Western Mande,209,{},7.83333,-11.5,,Mende,209,,http://wals.info/languoid/lect/wals_code_mde
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046674233424,http://wals.info/languoid/genus/romance,210,{},19.427,-99.1276,,Spanish (Mexican),210,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873046846675707,,211,{},34.2667,108.9,,Middle Chinese,211,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046130371437,http://wals.info/languoid/genus/germanic,212,{},51.7,5.31667,,Middle Dutch,212,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046287292564,http://wals.info/languoid/genus/romance,213,{},47.5855,1.33095,,Middle French,213,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,92211211473769206,,214,{},34.0,60.0,,Middle Iranian,214,,
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,810252249724779681,,215,{},15.8333,100.5,,Middle Mon,215,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046619134147,http://wals.info/languoid/genus/germanic,216,{},60.0,11.0,,Middle North Germanic,216,,
"Algic, Algonquian",,,http://wals.info/languoid/family/algic,873054133686346,http://wals.info/languoid/genus/algonquian,217,{},45.0,-63.0,,Mikmaq,217,,http://wals.info/languoid/lect/wals_code_mic
"Austronesian, Malayic",,,Austronesian,873046639352096,Malayic,218,{},-1.0,101.0,,Minangkabau,218,,http://wals.info/languoid/lect/wals_code_min
"Australian, Djeragan",,,Australian,873046525654720,Djeragan,219,{},-15.6667,129.0,,Miriwung,219,,http://wals.info/languoid/lect/wals_code_mir
Oto-Manguean,,,http://wals.info/languoid/family/otomanguean,873046109548723,,220,{},16.0,-96.0,,Mixe-Zoquean,220,,http://wals.info/languoid/family/mixezoque
Mayan,,,http://wals.info/languoid/family/mayan,873046283591339,,221,{},15.3638,-92.2481,,Mocho,221,,
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,9219164875844292,,222,{},12.5,105.0,,Modern Khmer,222,,http://wals.info/languoid/lect/wals_code_khm
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,810252249607785882,,223,{},14.8333,100.5,,Modern Mon,223,,http://wals.info/languoid/lect/wals_code_mon
"Austro-Asiatic, Monic",,,Austro-Asiatic,810252249800105460,Monic,224,{},14.8333,100.5,,Mon,224,,http://wals.info/languoid/lect/wals_code_mon
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,873054667397354,,225,{},14.5517,102.909,,Mon-Khmer,225,,http://wals.info/languoid/family/austroasiatic
"Altaic, Mongolic",,,http://wals.info/languoid/family/altaic,873046233944681,http://wals.info/languoid/genus/mongolic,226,{},47.0,105.0,,Mongolian,226,,http://wals.info/languoid/lect/wals_code_kha
Altaic,,,http://wals.info/languoid/family/altaic,873046635646989,,227,{},45.0,100.0,,Mongolic,227,,http://wals.info/languoid/genus/mongolic
"Mayan, Mayan",,,Mayan,87304618686474,Mayan,228,{},16.5833,-88.6667,,Mopan,228,,http://wals.info/languoid/lect/wals_code_mop
"Australian, Pama-Nyungan",,,Australian,873046590936442,Pama-Nyungan,229,{},-17.3333,132.083,,Mudburra,229,,http://wals.info/languoid/lect/wals_code_mdb
"Uto-Aztecan, Aztecan",,,http://wals.info/languoid/family/utoaztecan,87304614586395,http://wals.info/languoid/genus/aztecan,230,{},19.4333,-99.1333,,Nahuatl,230,,
"Algic, Algonquian",,,http://wals.info/languoid/family/algic,91291432888773387,http://wals.info/languoid/genus/algonquian,231,{},42.6667,-73.5,,Narragansett,231,,http://wals.info/languoid/lect/wals_code_mhc
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046923082155,http://wals.info/languoid/genus/romance,232,{},59.85,17.6333,,Neo-Latin,232,,
"Indo-European, Indic",,,Indo-European,873046491209709,Indic,233,{},28.0,85.0,,Nepali,233,,http://wals.info/languoid/lect/wals_code_nep
"Australian, Jaminjungan",,,http://wals.info/languoid/family/australian,873046902957802,http://wals.info/languoid/genus/jaminjungan,234,{},-15.1667,130.667,,Ngaliwurru,234,,
"Australian, Pama-Nyungan",,,http://wals.info/languoid/family/australian,873046108013825,http://wals.info/languoid/genus/pamanyungan,235,{},-21.0,133.0,,Ngardi,235,,
"Australian, Pama-Nyungan",,,Australian,87304664544101,Pama-Nyungan,236,{},-16.5,130.5,,Ngarinyman,236,,http://wals.info/languoid/lect/wals_code_ngy
,,,,873046427857170,,237,{},6.0,9.0,,Niger-Congo,237,,http://wals.info/languoid/family/nigercongo
,,,,873046350174209,,238,{},5.0,30.0,,Nilo-Saharan,238,,http://wals.info/languoid/family/nilosaharan
"Trans-New Guinea, Madang",,,http://wals.info/languoid/family/transnewguinea,873046257383607,http://wals.info/languoid/genus/madang,239,{},-5.23367,145.789,,Nobonob,239,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046593809565,http://wals.info/languoid/genus/germanic,240,{},57.697,11.9864,,North Germanic,240,,
"Indo-European, Germanic",,,Indo-European,873046382821820,Germanic,241,{},61.0,8.0,,Norwegian,241,,http://wals.info/languoid/lect/wals_code_nor
Jaminjungan,,,http://wals.info/languoid/family/australian,92142231875844292,http://wals.info/languoid/genus/jaminjungan,242,{},-13.6767,130.714,,Nungali,242,,
"Niger-Congo, Nupoid",,,Niger-Congo,873046501840906,Nupoid,243,{},9.16667,5.41667,,Nupe,243,,http://wals.info/languoid/lect/wals_code_nup
"Niger-Congo, Bantoid",,,Niger-Congo,873046213894080,Bantoid,244,{},-5.0,33.0,,Nyamwezi,244,,http://wals.info/languoid/lect/wals_code_nym
"Australian, Pama-Nyungan",,,Australian,873054321144860,Pama-Nyungan,245,{},-33.75,122.0,,Nyungar,245,,http://wals.info/languoid/lect/wals_code_nju
"Indo-European, Romance",,,Indo-European,91291433784987605,Romance,246,{},44.0,2.0,,Occitan,246,,http://wals.info/languoid/lect/wals_code_occ
"Altaic, Turkic",,,http://wals.info/languoid/family/altaic,8730467346106,http://wals.info/languoid/genus/turkic,247,{},56.1375,47.244,,Oghur,247,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873046598078357,,248,{},36.1214,114.317,,Old Chinese,248,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046836323888,http://wals.info/languoid/genus/germanic,249,{},53.1439,8.21389,,Old Frisian,249,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054216930664,,250,{},28.0,76.0,,Indic,250,,http://wals.info/languoid/genus/indic
"Indo-European, Indic",,,http://wals.info/languoid/family/indoeuropean,873054634766640,http://wals.info/languoid/genus/indic,251,{},25.282,82.9563,,Sanskrit,251,,
"Indo-European, Celtic",,,http://wals.info/languoid/family/indoeuropean,873046866422228,http://wals.info/languoid/genus/celtic,252,{},54.5211,-6.76757,,Old Irish,252,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873046416584916,,253,{},-6.9196,106.927,,Old Javanese,253,,
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,810252249965610818,,254,{},13.4333,103.833,,Old Khmer,254,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054588017310,,255,{},55.7333,24.35,,Old Lithuaninian,255,,
"Austro-Asiatic, Monic",,,http://wals.info/languoid/family/austroasiatic,810252249823799617,http://wals.info/languoid/genus/monic,256,{},13.8194,100.058,,Old Mon,256,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873046395128228,http://wals.info/languoid/genus/germanic,257,{},47.0,13.0,,Old Norse,257,,http://wals.info/languoid/lect/wals_code_non
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054961199770,,258,{},34.3883,47.4367,,Old Persian,258,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873054360535314,http://wals.info/languoid/genus/romance,259,{},46.5819,0.336111,,Old Provençal,259,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,810252250885646989,,260,{},58.545,31.2691,,Old Russian,260,,
"Indo-European, Slavic",,,http://wals.info/languoid/family/indoeuropean,873046813362426,http://wals.info/languoid/genus/slavic,261,{},40.6472,22.9639,,Old Slavic,261,,
"Tai-Kadai, Kam-Tai",,,http://wals.info/languoid/family/taikadai,873054156620773,http://wals.info/languoid/genus/kamtai,262,{},14.35,100.583,,Old Thai,262,,
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046208736317,,263,{},6.0,40.0,,Oromo,263,,
"Indo-European, Iranian",,,http://wals.info/languoid/family/indoeuropean,9291348461191679,http://wals.info/languoid/genus/iranian,264,{},43.0,44.0,,Ossetian,264,,http://wals.info/languoid/lect/wals_code_oss
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873054243481159,http://wals.info/languoid/genus/germanic,265,{},-9.5,147.167,,Pacific Pidgin English,265,,http://wals.info/languoid/lect/wals_code_tpi
Indo-European,,,http://wals.info/languoid/family/indoeuropean,8730543035320,,266,{},27.4833,83.2833,,Pali,266,,
Australian,,,http://wals.info/languoid/family/australian,9214223186323888,,267,{},-23.0,134.0,,Pama-Nyungan,267,,http://wals.info/languoid/genus/pamanyungan
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,873046921256871,,268,{},23.0,85.0,,Munda,268,,http://wals.info/languoid/genus/munda
"Indo-European, Iranian",,,Indo-European,873046949909344,Iranian,269,{},32.0,54.0,,Persian,269,,http://wals.info/languoid/lect/wals_code_prs
isolate,,,,92142232189108517,,270,{},32.2,48.25,,Elamite,270,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873054977880251,http://wals.info/languoid/genus/semitic,271,{},34.1236,35.6511,,Phoenician,271,,
"Guaicuruan, Guaicuruan",,,Guaicuruan,873046907122147,Guaicuruan,272,{},-25.0,-60.0,,Pilagá,272,,http://wals.info/languoid/lect/wals_code_pga
"Indo-European, Slavic",,,Indo-European,873046889817557,Slavic,273,{},52.0,20.0,,Polish,273,,http://wals.info/languoid/lect/wals_code_pol
"Indo-European, Romance",,,Indo-European,873046873968695,Romance,274,{},39.0,-8.0,,Portuguese,274,,http://wals.info/languoid/lect/wals_code_por
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,87304627091627,http://wals.info/languoid/genus/romance,275,{},-6.21154,106.845,,Batavian Portuguese Creole,275,,
Austronesian,,,http://wals.info/languoid/family/austronesian,8771731355306887,,276,{},-21.0,46.0,,Pre-Malagasy,276,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873046297571500,,277,{},-1.16667,101.167,,Pre-Minangkabau,277,,
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046612628569,,278,{},9.0,40.0,,Pre-Oromo,278,,
"Niger-Congo, Bantoid",,,http://wals.info/languoid/family/nigercongo,873046375817797,http://wals.info/languoid/genus/bantoid,279,{},-4.5,36.0,,Pre-Rangi,279,,
isolate,,,,873046752535620,,280,{},-5.0,35.0,,Pre-Sandawe,280,,
Austronesian,,,http://wals.info/languoid/family/austronesian,81025225028567709,,281,{},23.0,120.833,,Proto-Austronesian,281,,
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,92142234869134148,,282,{},24.0,97.0,,Proto-Austroasiatic,282,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873054204894217,,283,{},-3.83333,121.333,,Proto Central-Eastern Malayo-Polynesian,283,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873054981625977,,284,{},-1.10612,114.144,,Proto-Malayo-Polynesian,284,,
Austro-Asiatic,,,http://wals.info/languoid/family/austroasiatic,810252250720723903,,285,{},19.0,102.0,,Proto-Mon-Khmer,285,,
"Austronesian, Oceanic",,,http://wals.info/languoid/family/austronesian,873054276131155,http://wals.info/languoid/genus/oceanic,286,{},-5.0,150.0,,Proto-Oceanic,286,,
Altaic,,,http://wals.info/languoid/family/altaic,92142231784987605,,287,{},48.0,73.0,,Proto-Altaic,287,,
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,922122086323888,,288,{},11.0,15.0,,Proto-Chadic,288,,
"Uralic, Finnic",,,http://wals.info/languoid/family/uralic,873054527137720,http://wals.info/languoid/genus/finnic,289,{},60.0,40.0,,Proto-Finnic,289,,
"Indo-European, Germanic",,,http://wals.info/languoid/family/indoeuropean,873054965743450,http://wals.info/languoid/genus/germanic,290,{},55.5,9.0,,Proto-Germanic,290,,
Mayan,,,http://wals.info/languoid/family/mayan,873046947505712,,291,{},16.0,-92.0,,Proto-Greater Kanjobalan,291,,
Hmong-Mien,,,http://wals.info/languoid/family/hmongmien,92142232302019369,,292,{},25.0,106.0,,Proto-Hmong-Mien,292,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,877172852071881,,293,{},42.0,36.0,,Proto-Indo-European,293,,
Mixe-Zoque,,,http://wals.info/languoid/family/mixezoque,873046438371866,,294,{},17.0,-95.0,,Proto-Mixe-Zoquean,294,,
Mixe-Zoque,,,http://wals.info/languoid/family/mixezoque,810252249509986281,,295,{},17.0833,-96.0,,Proto-Mixean,295,,
"Altaic, Mongolic",,,http://wals.info/languoid/family/altaic,9211173286323888,http://wals.info/languoid/genus/mongolic,296,{},44.0,99.0,,Proto-Mongolic,296,,
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873054168087495,http://wals.info/languoid/genus/semitic,297,{},33.0,40.0,,Proto-Semitic,297,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873054322586746,,298,{},49.0,23.0,,Proto-Slavic,298,,
"Tai-Kadai, Kam-Tai",,,http://wals.info/languoid/family/taikadai,873046243418386,http://wals.info/languoid/genus/kamtai,299,{},17.0,101.0,,Proto-Tai,299,,
"Afro-Asiatic, West Chadic",,,http://wals.info/languoid/family/afroasiatic,9221221888773387,http://wals.info/languoid/genus/westchadic,300,{},12.0,9.25,,Proto-West Chadic,300,,
Mayan,,,http://wals.info/languoid/family/mayan,87304675458163,,301,{},18.0,-90.0,,Proto-Yucatecan,301,,
Mayan,,,http://wals.info/languoid/family/mayan,873046490214463,,302,{},16.0,-93.0,,Q’anjob’alan,302,,
Tibeto-Burman,,,http://wals.info/languoid/family/sinotibetan,92142233395079265,,303,{},30.0,102.667,,Qiangic,303,,http://wals.info/languoid/genus/qiangic
"Quechuan, Quechuan",,,http://wals.info/languoid/family/quechuan,873046734432035,http://wals.info/languoid/genus/quechuan,304,{},-14.25,-73.0,,Quechua,304,,http://wals.info/languoid/family/quechuan
Mayan,,,http://wals.info/languoid/family/mayan,873046662629207,http://wals.info/languoid/genus/mayan,305,{},15.0,-91.4167,,Quiche,305,,http://wals.info/languoid/lect/wals_code_qch
"Austronesian, Oceanic",,,http://wals.info/languoid/family/austronesian,873054424530819,http://wals.info/languoid/genus/oceanic,306,{},-4.13333,152.467,,Ramoaaina,306,,
"Austronesian, Oceanic",,,http://wals.info/languoid/family/austronesian,873046364362826,http://wals.info/languoid/genus/oceanic,307,{},-21.2,-159.767,,Rarotongan,307,,
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046974716751,http://wals.info/languoid/genus/romance,308,{},45.7333,7.31667,,Romance,308,,
"Indo-European, Slavic",,,Indo-European,87304629316396,Slavic,309,{},56.0,38.0,,Russian,309,,http://wals.info/languoid/lect/wals_code_rus
Japanese,,,http://wals.info/languoid/family/japanese,873046440023417,,310,{},26.3328,127.749,,Ryukyuan,310,,
Nilo-Saharan,,,http://wals.info/languoid/family/nilosaharan,873046128809798,,311,{},14.0,9.0,,Saharan,311,,
"Niger-Congo, Bantoid",,,http://wals.info/languoid/family/nigercongo,873046510256037,http://wals.info/languoid/genus/bantoid,312,{},-4.25,38.25,,Sambaa,312,,http://wals.info/languoid/lect/wals_code_shm
"Khoisan, Sandawe",,,Khoisan,873046204848632,Sandawe,313,{},-5.0,35.0,,Sandawe,313,,http://wals.info/languoid/lect/wals_code_sdw
"Indo-European, Celtic",,,http://wals.info/languoid/family/indoeuropean,873046552772376,http://wals.info/languoid/genus/celtic,314,{},57.0,-4.0,,Gaelic (Scottish),314,,http://wals.info/languoid/lect/wals_code_gae
"Uralic, Samoyedic",,,Uralic,873046107158498,Samoyedic,315,{},65.0,82.0,,Selkup,315,,http://wals.info/languoid/lect/wals_code_skp
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,873046583338623,,316,{},34.0,41.0,,Semitic,316,,http://wals.info/languoid/genus/semitic
"Niger-Congo, Bantoid",,,Niger-Congo,92122118211233765,Bantoid,317,{},-18.0,35.25,,Sena,317,,http://wals.info/languoid/lect/wals_code_sen
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046663678398,,318,{},44.8206,20.4622,,Serbian,318,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,873046167243822,,319,{},50.0,24.0,,Slavic,319,,http://wals.info/languoid/genus/slavic
"Indo-European, Slavic",,,http://wals.info/languoid/family/indoeuropean,873054198471701,http://wals.info/languoid/genus/slavic,320,{},55.0,33.0,,East Slavic,320,,
"Indo-European, Slavic",,,Indo-European,873046670949454,Slavic,321,{},49.0,20.0,,Slovak,321,,http://wals.info/languoid/lect/wals_code_svk
Nilo-Saharan,,,http://wals.info/languoid/family/nilosaharan,873046817960723,,322,{},17.0,0.0,,Songhay,322,,http://wals.info/languoid/genus/songhay
"Austro-Asiatic, Aslian",,,http://wals.info/languoid/family/austroasiatic,873046449081852,http://wals.info/languoid/genus/aslian,323,{},3.0,102.0,,South Aslian,323,,
"Indo-European, Slavic",,,http://wals.info/languoid/family/indoeuropean,873054783719456,http://wals.info/languoid/genus/slavic,324,{},43.0,21.0,,South Slavic,324,,
"Indo-European, Slavic",,,Indo-European,92211148888773387,Slavic,325,{},41.6667,21.75,,Macedonian,325,,http://wals.info/languoid/lect/wals_code_mcd
Indo-European,,,http://wals.info/languoid/family/indoeuropean,92211147461191679,,326,{},46.0,15.0,,Slovenian,326,,http://wals.info/languoid/lect/wals_code_slo
"Austronesian, Sulawesi",,,http://wals.info/languoid/family/austronesian,873046528020558,http://wals.info/languoid/genus/sulawesi,327,{},-5.5,120.0,,South Sulawesi,327,,
Afro-Asiatic,,,http://wals.info/languoid/family/afroasiatic,8771729148973666,,328,{},-4.0,37.0,,South Cushitic,328,,http://wals.info/languoid/genus/southerncushitic
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,92142233687385478,,329,{},30.0,120.0,,Southern Chinese,329,,
"Australian, Yangmanic",,,Australian,873054282020976,Yangmanic,330,{},-15.5,131.0,,Wardaman,330,,http://wals.info/languoid/lect/wals_code_wrd
"other, Creoles and Pidgins",,,other,873046394812829,Creoles and Pidgins,331,{},5.83333,-55.3333,,Sranan,331,,http://wals.info/languoid/lect/wals_code_sra
"Afro-Asiatic, Semitic",,,http://wals.info/languoid/family/afroasiatic,873046117982189,http://wals.info/languoid/genus/semitic,332,{},25.0,42.0,,Standard Arabic,332,,http://wals.info/languoid/lect/wals_code_ams
"Austronesian, Sundanese",,,Austronesian,873046141022053,Sundanese,333,{},-7.0,107.0,,Sundanese,333,,http://wals.info/languoid/lect/wals_code_sun
"Indo-European, Romance",,,http://wals.info/languoid/family/indoeuropean,873046561859376,http://wals.info/languoid/genus/romance,334,{},5.8232,-55.1679,,Suriname Portuguese,334,,
"Austronesian, Oceanic",,,Austronesian,873046716619766,Oceanic,335,{},-17.6667,-149.583,,Tahitian,335,,http://wals.info/languoid/lect/wals_code_tah
"Tai-Kadai, Kam-Tai",,,http://wals.info/languoid/family/taikadai,873054973989429,http://wals.info/languoid/genus/kamtai,336,{},18.0,101.0,,Tai,336,,
Arawakan,,,http://wals.info/languoid/family/arawakan,873054497136158,,337,{},25.0343,-77.3963,,Taino,337,,
"Afro-Asiatic, Berber",,,http://wals.info/languoid/family/afroasiatic,873046357854664,http://wals.info/languoid/genus/berber,338,{},23.0,6.0,,Tamasheq,338,,
"Dravidian, Southern Dravidian",,,Dravidian,873046861842290,Southern Dravidian,339,{},11.0,78.5,,Tamil,339,,http://wals.info/languoid/lect/wals_code_tml
"Altaic, Turkic",,,Altaic,873046430412322,Turkic,340,{},56.0,49.5,,Tatar,340,,http://wals.info/languoid/lect/wals_code_tvo
"Australian, Pama-Nyungan",,,http://wals.info/languoid/family/australian,92142234839118509,http://wals.info/languoid/genus/pamanyungan,341,{},-23.75,114.917,,Tharrgari,341,,http://wals.info/languoid/lect/wals_code_dhr
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873046470723903,,342,{},30.0,90.0,,Tibetan,342,,
Sino-Tibetan,,,http://wals.info/languoid/family/sinotibetan,873046295631462,,343,{},29.0,94.0,,Tibeto-Burman,343,,http://wals.info/languoid/family/sinotibetan
"Sino-Tibetan, Burmese-Lolo",,,http://wals.info/languoid/family/sinotibetan,92142233512116891,http://wals.info/languoid/genus/burmeselolo,344,{},23.0,101.0,,Loloish,344,,
Austronesian,,,http://wals.info/languoid/family/austronesian,873046211997741,,345,{},2.5,99.0,,Toba Batak,345,,http://wals.info/languoid/lect/wals_code_bto
Indo-European,,,http://wals.info/languoid/family/indoeuropean,92201640211233765,,346,{},42.9667,89.1833,,Tocharian A,346,,
Indo-European,,,http://wals.info/languoid/family/indoeuropean,92201639888773387,,347,{},41.7167,82.9333,,Tocharian B,347,,
"Mayan, Mayan",,,Mayan,87304688589748,Mayan,348,{},16.3333,-91.5,,Tojolabal,348,,http://wals.info/languoid/lect/wals_code_toj
"other, Creoles and Pidgins",,,other,873046148973666,Creoles and Pidgins,349,{},-9.5,147.167,,Tok Pisin,349,,http://wals.info/languoid/lect/wals_code_tpi
"Austronesian, Oceanic",,,Austronesian,873054720643530,Oceanic,350,{},-4.25,152.083,,Tolai,350,,http://wals.info/languoid/lect/wals_code_tla
