ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
BONDEKO_BOMITABA,Bondeko Bomitaba,,1.67,17.5,bomi1238,zmx
BONEK,Bonek,,4.75,11.23,tuot1238,ttf
BONGILI_1,Bongili 1,,0.33,16.58,bong1284,bui
BONGILI_2,Bongili 2,,0.33,16.58,bong1284,bui
BOSSELA_BOMITABA,Bossela Bomitaba,,1.67,17.5,bomi1238,zmx
BOTALA_BOMITABA,Botala Bomitaba,,1.67,17.5,bomi1238,zmx
BOTONGO_DIBOLE,Botongo Dibole,,1.08,17.25,dibo1245,bvx
BUBE,Bube,,3.5,8.67,bube1242,bvb
BUDU,Budu,,2.0,28.0,budu1250,buu
BUJA_BUMBA_YAMOLOTO,Buja Bumba Yamoloto,,2.5,22.67,budz1238,bja
BUJA_MONOGO_BUMBA,Buja Monogo Bumba,,2.5,22.67,budz1238,bja
BUJA,Buja,,2.5,22.67,budz1238,bja
BUJEBA,Bujeba,,3.0,10.17,kwas1243,nmg
BULU,Bulu,,3.0,11.0,bulu1251,bum
BUM_A_CAMEROON,Bum A Cameroon,,6.37,10.17,bumm1238,bmv
BUM_B_CAMEROON,Bum B Cameroon,,3.0,11.0,bulu1251,bum
BUNGU,Bungu,,-8.33,32.88,bung1265,wun
BURU,Buru,,7.0,10.9,buru1299,bqw
BUSHONG_1,Bushong 1,,-4.5,21.5,bush1247,buf
BUSHONG_2,Bushong 2,,-4.5,21.5,bush1247,buf
BUSHOONG,Bushoong,,-4.5,21.5,bush1247,buf
BUU,Buu,,-2.37,40.33,poko1261,pkb
BU_CAMEROON,Bu Cameroon,,6.22,10.08,laim1240,lmx
BU,Bu,,6.58,10.25,mund1328,boe
BWILE,Bwile,,-7.75,29.0,bwil1245,bwc
BWISI,Bwisi,,-3.17,12.0,bwis1242,bwz
C10_GANDO,C10 Gando,,3.75,17.75,ngan1304,ngd
C24_KOYO_ZWE,C24 Koyo Zwe,,-0.67,15.67,koyo1242,koh
