item	n_trials	err	rt	sd	rtz	n_used
ausitemps	20	0	748.5789474	278.0556131	-0.286811721	19
sesenrige	22	0	737.9090909	226.3248632	-0.388476823	22
ofavec	22	0.045454545	698.6666667	207.2151861	-0.669344471	21
froce	22	0.227272727	743.1764706	141.5738479	-0.273726235	17
sogatait	22	0	779.3809524	230.8377084	-0.210353545	21
infences	24	0.041666667	804.3636364	179.686379	0.119100814	22
laneloment	22	0	792.0909091	256.3344001	-0.289938007	22
vilmiche	22	0	722.9090909	153.3209858	-0.383269982	22
peudait	25	0.04	796.625	209.008386	0.158457373	24
voconral	23	0	675.3913043	93.94860255	-0.848437645	23
autames	25	0	703.52	166.8490136	-0.449912944	25
garmation	24	0	731.826087	137.7859513	-0.185954089	23
aupomet	24	0.041666667	720.1304348	131.0854351	-0.448539116	23
pautigneux	25	0	861.76	240.7407458	0.183331916	25
prelése	20	0	762.8947368	260.6815628	-0.120032226	19
enretiendis	21	0	963.25	263.7029579	0.576531527	20
inschebinion	23	0	765.1304348	205.589685	-0.257991694	23
vitin	22	0	741.9090909	256.218268	-0.383926953	22
probarral	23	0	803.6086957	257.2762469	0.042181892	23
mamonre	21	0	668.5714286	107.8279052	-0.403964762	21
atessorson	22	0	726.6818182	207.6763476	-0.215831515	22
disforte	23	0.043478261	843.5909091	350.8662286	0.093548276	22
brion	21	0.047619048	803.2105263	164.0117133	0.015812279	19
sariosent	23	0.086956522	786.1904762	211.9513197	-0.204384918	21
retatites	25	0	770.32	189.074659	-0.092372222	25
ferfime	22	0	764.1818182	270.8752369	-0.407004046	22
effil	22	0	737	181.2002313	-0.491697311	22
schuille	21	0	675.4761905	112.7872418	-0.751601239	21
buniment	23	0.043478261	783.6666667	258.3697609	-0.078662304	21
frintrova	22	0	753.3181818	201.7290466	-0.354696902	22
vesciable	24	0.125	774.952381	147.2536846	-0.318693132	21
gafice	21	0	755.6666667	139.7835231	-0.266582995	21
monconjuste	22	0	869.6363636	187.9819002	0.170795557	22
têtisi	25	0.04	736.2916667	223.5650823	-0.30081847	24
obterle	20	0.05	732.8421053	162.0607784	-0.017329864	19
glac	19	0.157894737	665.875	91.3738657	-0.629659573	16
racriprès	23	0.086956522	801.0952381	181.5042437	-0.094124723	21
rérassasmatrage	23	0.043478261	1010.272727	338.1670736	1.040354995	22
forailais	21	0	814.5238095	192.3950673	0.072287297	21
fairitente	21	0.047619048	858.4	274.8924	0.248136481	20
blestatontarment	22	0.045454545	911.9047619	273.9306308	0.737940982	21
acirais	21	0.047619048	829.65	244.6099527	-0.09737503	20
peudiment	25	0	770.8333333	167.6838813	-0.092370082	24
bapsait	22	0.045454545	780.3809524	245.0655986	-0.013536894	21
sénes	24	0.166666667	785.8	213.8101962	-0.083824501	20
détiner	22	0.090909091	835.15	194.9575595	0.293537432	20
pleutismes	24	0.041666667	792.6956522	196.0738346	0.154242824	23
letrititains	23	0	738.3043478	154.0930754	-0.094006858	23
chertrante	25	0	748.76	149.483076	-0.305009905	25
aptenvec	25	0	680.44	177.0209686	-0.542353651	25
sacontintres	20	0	869	298.9559024	0.269312774	20
nonirs	21	0	737.1904762	194.9799013	-0.10515459	21
fése	23	0.086956522	808.5714286	286.4809891	0.178064494	21
gordulme	21	0	753.8095238	254.3372995	-0.494761503	21
arsenses	21	0.047619048	739.15	168.9516514	-0.237106879	20
parcite	25	0.04	803.3181818	265.0159719	0.049514448	22
alirait	21	0.047619048	901	289.8146413	0.458507379	20
discometemps	23	0	877.4347826	282.1973562	0.171852396	23
découterdir	22	0.045454545	920.3157895	270.9305062	0.607849555	19
préconvait	24	0.041666667	1005.952381	331.7055134	0.953389718	21
réhaimoigues	21	0	823.3809524	204.8988717	0.149972291	21
enchique	22	0	830.7619048	214.4982295	-0.079615402	21
épornir	22	0.045454545	811.7142857	214.6008255	0.035389108	21
ensendies	22	0	791.7272727	221.2387596	-0.075242938	22
distilmionde	23	0.043478261	766.0909091	265.2551169	-0.051958681	22
criscomarfaité	25	0.08	826.3043478	265.4326545	0.168220391	23
gorcouprit	23	0	809.8181818	196.8580916	-0.166793073	22
gonels	20	0	715.05	195.9281488	-0.543088496	20
fouveilser	24	0.041666667	774.4347826	283.4934385	-0.373696532	23
heuver	23	0.043478261	719	143.4178046	-0.386869092	22
demantat	22	0	899.8181818	234.5730948	0.578705486	22
nomsa	22	0.045454545	735.8	162.1411341	-0.396621963	20
pasporsons	23	0	828.8695652	219.7424741	0.05586279	23
achargéser	23	0	874.4347826	209.0051818	0.103544981	23
serlait	24	0.041666667	775.3478261	200.0687629	-0.203215227	23
voumolent	19	0	772.1052632	167.58709	-0.093155845	19
pisèchais	23	0.043478261	755.2727273	172.0432343	-0.175929389	22
procipreçon	23	0	749.2608696	242.5237041	-0.156345488	23
raster	22	0	841.2380952	226.4541686	0.252169588	21
malére	23	0.043478261	760.5909091	211.796996	-0.357515834	22
camilderait	23	0	863.7826087	205.2997712	0.130561266	23
somoutit	23	0	743.1304348	166.5023353	-0.280781351	23
prenner	21	0.571428571	916.4444444	207.2215669	0.80824429	9
sauploi	21	0	713.047619	159.5795965	-0.368234934	21
posparge	24	0	814.3333333	323.7695996	-0.14598782	24
violenvre	24	0.041666667	886.1304348	291.7767366	0.399909562	23
forpé	24	0	718.9583333	140.7493854	-0.224704667	24
duphamarre	21	0	694.4761905	151.9169573	-0.35153392	21
nible	23	0.086956522	799.1904762	220.3854848	0.203890218	21
hômettes	25	0	842.72	158.58555	0.129490289	25
roudarlon	24	0	762.6666667	134.3977441	-0.241713172	24
failoperté	24	0	708.7916667	156.1417915	-0.335168796	24
rouchants	23	0.043478261	786.5909091	159.195495	-0.08198722	22
vertétion	25	0	777.4347826	249.0751668	-0.03156619	23
pludameuraispéte	20	0	934.2631579	261.9969979	0.629916021	19
derisme	24	0	787.25	210.1881662	-0.134046629	24
gausotion	22	0	683.8636364	175.2389649	-0.366699731	22
névale	24	0.125	768.4285714	115.1788051	0.003983452	21
consessayant	25	0.04	1032.5	273.1576817	1.184175239	22
cabode	23	0.043478261	769.1818182	152.7492924	-0.024113509	22
sonnousait	24	0	792.8333333	159.3584056	0.000887319	24
commément	24	0.208333333	1005.875	292.9377351	0.910240148	16
malaud	19	0.105263158	817.5294118	238.2341594	0.150311831	17
hisfatones	21	0	731.8571429	232.9537048	-0.513547301	21
renelse	24	0	700.375	163.3169265	-0.646321357	24
hochannes	23	0	701.6086957	188.6754643	-0.490240137	23
voulénaient	24	0.041666667	966.0909091	221.5217734	0.624557852	22
laisplobre	21	0	723.8571429	190.0340195	-0.261168217	21
aufite	22	0	678.2272727	169.261683	-0.609911058	22
voutontriel	21	0	744.6	177.5382538	-0.022891213	20
trounilors	23	0.043478261	712.9047619	157.5045729	-0.379180463	21
prendestion	21	0	956.2380952	263.2082645	1.075902425	21
lanteupier	22	0	726.6818182	170.957078	-0.410873262	22
proser	22	0.363636364	862.0714286	206.8762039	0.185852385	14
saitoudre	23	0	712.0869565	160.4793708	-0.473216748	23
verect	22	0	745.3636364	166.6989146	-0.330850114	22
lanétion	20	0	771.5	235.118671	0.026742116	20
biencroule	20	0	852.75	317.0867182	0.159719292	20
alterpirait	19	0.052631579	865.4117647	221.2919618	0.514802154	17
remoté	23	0.304347826	882.1875	175.4412414	0.572241131	16
demade	25	0.08	882.3913043	271.497152	0.39045538	23
tenlait	23	0	771	169.9090666	-0.32071047	23
rusileron	23	0.086956522	667.6190476	173.4100563	-0.628749009	21
textane	22	0.363636364	896.6428571	300.2093134	0.447598064	14
apectemprend	23	0	766.6086957	190.8982926	-0.201022812	23
sièveux	22	0.090909091	852	220.2491412	0.12789984	20
cennir	25	0.04	702.3913043	193.0646946	-0.497666419	23
contaire	19	0.421052632	1034.909091	280.018376	0.805390336	11
struinte	23	0	735.173913	156.735925	-0.248877971	23
bousannis	24	0	694.5833333	158.8047521	-0.447098559	24
cuilinait	22	0.181818182	932.4	266.6773867	0.895149208	15
atertre	23	0.086956522	783.6190476	204.4197828	-0.156473152	21
relévesaient	23	0.086956522	1005.421053	312.7816625	1.003758342	19
atanait	23	0.086956522	804.8095238	258.2250218	-0.108454248	21
pacounait	21	0	883.9047619	298.5784495	0.23785349	21
séromigue	23	0.043478261	804.0454545	253.4483092	0.006940668	22
choloir	22	0.045454545	797	218.1852424	0.057005563	21
sadaient	21	0.095238095	796.5789474	183.5091023	-0.115747318	19
malivions	22	0	754.5454545	142.6540028	-0.169402477	22
paroulétrête	23	0	797.3043478	231.4096004	0.087325194	23
raptoures	22	0	899.0909091	308.8767529	0.257821579	22
exalmières	22	0	876.8181818	206.1646675	0.421253484	22
acconser	23	0	847.0869565	209.577912	0.076552817	23
fairotion	22	0	764.1363636	193.1442332	-0.310249601	22
austaprece	21	0	828	291.9852736	-0.139401776	21
faimain	20	0.05	796.7368421	258.3560941	-0.070112231	19
atisant	23	0.347826087	883.4	271.5639362	0.436809226	15
mococesse	23	0	836.7142857	208.2309158	-0.047721998	21
douna	24	0.041666667	773.3478261	221.5381372	-0.172652771	23
lamairaient	24	0.041666667	958.1304348	291.8943309	0.660110332	23
enninume	24	0.041666667	829.3913043	246.7554437	-0.056005733	23
aptrounouit	21	0	787.8095238	139.7360437	-0.271563108	21
bontu	24	0.041666667	761.9130435	147.2795465	-0.24483126	23
semplexe	23	0	775.9130435	141.4965188	-0.196950072	23
macheux	24	0.375	974.0666667	252.7956449	0.787314107	15
sproinfre	22	0	670.4545455	130.6203978	-0.587519277	22
plarimansatrie	21	0.095238095	817.3529412	251.6934994	0.179322569	17
nourtiser	23	0	836.2173913	205.9946947	0.223170405	23
survant	24	0.25	938.3888889	217.9301396	0.901368831	18
poulmant	21	0.047619048	802.95	204.2796007	-0.090819589	20
latace	24	0.041666667	729.6086957	182.024159	-0.224600043	23
fortreva	21	0	885.7142857	229.9311077	0.167010593	21
pourbres	24	0.083333333	880	264.1338045	0.45026748	22
tensagate	21	0	803.7142857	246.7288274	-0.078606338	21
tourtelègne	23	0.043478261	711.6363636	147.9126336	-0.353772926	22
cait	22	0.045454545	724.5714286	137.2853129	-0.483792555	21
prien	24	0.041666667	771.8695652	167.3931964	-0.223895627	23
lucoufanéses	22	0	905.8571429	282.3232696	0.422640873	21
contonses	21	0	865.7142857	253.3026141	0.200856696	21
éclatre	24	0.208333333	1004.263158	266.6658004	0.959361313	19
porser	22	0.045454545	762	242.1260003	-0.155737675	21
ponondin	24	0	695.6363636	135.4430281	-0.502250868	22
nouquilmeutrés	23	0	778.0869565	215.9086324	-0.010897287	23
juvere	23	0.086956522	686.6	174.3023387	-0.566293985	20
conchici	19	0	819.6842105	261.30188	-0.188880946	19
ormet	24	0.125	794.6666667	233.0668002	-0.063570464	21
loirasé	20	0	750.65	235.6454239	-0.247024963	20
perfordetivaient	23	0	874.2727273	233.8267942	0.584558821	22
malannait	23	0.043478261	849.1818182	195.256519	0.332929061	22
genduits	23	0.043478261	813.0909091	289.5928026	-0.078056307	22
baloncamais	20	0.05	911.6842105	225.2509841	0.498549591	19
coupormisait	23	0	1015.909091	289.3638193	0.865433256	22
porfilile	25	0.04	828.6521739	217.2210037	0.054595925	23
voivre	23	0.043478261	776.0909091	162.9580458	-0.116266553	22
dorgue	25	0.08	854.1304348	191.5589879	0.322603795	23
indouber	22	0.090909091	705.6	113.5519357	-0.425306088	20
déraver	21	0.238095238	883.7333333	237.1537978	0.625450632	15
pagritant	22	0.045454545	778.1428571	282.6222365	0.027890529	21
maments	24	0.041666667	838.2608696	194.0574464	0.072990295	23
prérel	21	0.047619048	723.7	191.9122881	-0.468670409	20
sulanté	22	0.045454545	783.9047619	212.514683	0.013151547	21
sisiss	23	0.043478261	802.0454545	260.090914	-0.205334944	22
déri	23	0.086956522	793.2857143	193.4980989	-0.116354315	21
orve	22	0.090909091	738.1	168.9512231	-0.352918425	20
diguerinie	20	0.1	902.6111111	235.174313	0.479497751	18
avas	23	0.086956522	810.3809524	257.5879415	-0.188649933	21
regaser	21	0.047619048	830.9473684	224.614849	0.167382141	19
asura	23	0.347826087	795.8666667	262.423558	-0.03011827	15
hidées	23	0.347826087	977.6	246.3171011	1.123372394	15
tousue	23	0	790.4782609	199.9733777	-0.119166447	23
tylinu	23	0	673.2173913	177.7746164	-0.696996425	23
momant	20	0.15	906.4705882	255.6934487	0.615036323	17
rine	23	0.086956522	755.2	153.1128239	-0.268359369	20
côtruité	23	0	849.7727273	249.4193126	0.251925676	22
chogire	23	0	736	258.8757161	-0.555455042	23
lapongite	24	0	764.4166667	220.5806402	0.03339343	24
armiltes	21	0.047619048	778.25	219.9712601	-0.270942153	20
depléve	24	0	724.4583333	173.3034482	-0.408129781	24
adrestion	23	0	758.3913043	172.0596459	-0.250419868	23
aspotalcouse	21	0	810.9047619	234.9840217	0.05555444	21
senlenres	22	0.045454545	681.2857143	108.3328864	-0.389500607	21
fricririnait	20	0	823.65	208.3032392	0.247745871	20
caie	24	0.125	803.45	211.6301329	0.3049806	20
voulé	19	0.157894737	825.1875	277.5721453	0.267120879	16
coupaistait	24	0.125	965.35	274.6682736	0.633350648	20
saucerde	22	0	798.6818182	227.6930654	-0.221090302	22
saulenconve	22	0	800.7272727	207.4381564	-0.252203491	22
toumileurs	22	0	772.9047619	180.9640585	-0.089895642	21
cidépontre	21	0	918.1904762	323.9678408	0.096617738	21
buleteuil	24	0	795.0833333	252.9493705	-0.162422565	24
apourivrit	21	0.095238095	887.1111111	281.8708275	0.765604881	18
têlà	20	0	855.45	265.2612367	0.288371249	20
valtrégitrote	24	0	896.9130435	311.6351178	0.528588907	23
garades	24	0.125	951.8095238	212.7958221	0.779652854	21
faimué	20	0	747.5263158	140.7702495	-0.382272243	19
comnaux	23	0	830.4782609	262.047683	0.148431997	23
convermanfrayé	24	0.041666667	987.6818182	293.9947175	0.825736915	22
queltela	22	0	657.2727273	96.10023627	-0.671261182	22
aporniers	21	0	750	178.093234	-0.155719703	21
sataitait	23	0.043478261	1048.1	299.3879546	0.960993178	20
togue	22	0.181818182	787.6111111	225.9958716	-0.070323226	18
porlément	23	0	807.6521739	210.4492184	-0.152874585	23
austiongir	22	0	728.7727273	158.6655458	-0.418844929	22
fillivec	20	0	653.4	127.9495789	-0.719096974	20
lémangarrie	22	0	811.8636364	246.8474168	0.054065208	22
lirévier	20	0.05	854.8888889	269.2223854	0.279631329	18
franti	24	0	789.7916667	114.9695533	-0.097550112	24
reléprès	24	0.041666667	798.9090909	183.4450506	-0.011491332	22
orplitres	21	0	765.4285714	196.9983684	-0.0859985	21
gine	25	0	750.68	197.9391152	-0.192762159	25
lonze	22	0	644.0454545	110.5800625	-0.879188152	22
jeurées	24	0	841.8333333	237.075601	0.143725111	24
horloines	25	0.08	837.1304348	281.8241399	0.06982576	23
démarisfois	24	0.083333333	899.9090909	284.0348585	0.602683234	22
séluble	22	0	711	194.5781762	-0.543341285	22
trammaprouvis	22	0	789.7727273	197.8351723	-0.189874495	22
saucare	22	0	754.6363636	196.5498956	-0.317606692	22
bontrilucend	21	0	798	231.1557916	-0.208374209	21
étroulier	23	0.043478261	831.3809524	192.2411184	0.295144667	21
parnir	20	0.05	779.8947368	200.533149	-0.107222577	19
fatayer	21	0.047619048	852.9	273.3724854	0.076363223	20
crogue	22	0	838.1363636	270.7673919	0.191130124	22
commensaure	21	0.095238095	1001.941176	277.8914965	0.757269535	17
fourclensais	22	0	821.9545455	239.3985474	-0.12440151	22
brèveroutai	23	0	804.3043478	235.297961	0.214288063	23
tantourtes	21	0	825.952381	266.9613223	0.172641447	21
turmodaloir	22	0.045454545	784.15	156.6273738	-0.066874562	20
sarvait	22	0.136363636	773.1052632	149.3485464	-0.124145727	19
citripoumais	19	0.052631579	795.0555556	198.5199567	-0.253010227	18
pasé	23	0.173913043	1018.263158	357.3039232	0.739518188	19
sainconvisait	21	0	876.9047619	283.7829989	0.146544169	21
prinfine	22	0	731.4545455	207.3739955	-0.542961475	22
mopoules	22	0	721.8181818	167.2763998	-0.405505275	22
éperlu	23	0.086956522	894.5714286	206.5750642	0.589058282	21
insprose	23	0	772.826087	237.0430824	-0.251013105	23
cuisabrons	23	0.043478261	806.8181818	194.4123346	-0.201102645	22
lancritre	23	0	704.2608696	184.6916884	-0.546334872	23
feuilmangea	23	0	932.7391304	299.3441646	0.342345324	23
vetonte	22	0	728.5	158.5886413	-0.462355127	22
rangriote	23	0.043478261	804.2727273	211.6963643	-0.138140918	22
puispecria	20	0	799.7894737	251.3018501	-0.050537368	19
prenlitre	23	0	811.3478261	268.0826889	-0.028344135	23
novemele	22	0.045454545	695.9047619	116.6352883	-0.392274518	21
souquenaient	21	0.19047619	922.0588235	335.0142666	0.403511765	17
relailment	25	0.08	847.7826087	268.3564381	0.323712586	23
titant	24	0.333333333	844.6666667	194.5253074	0.493592333	15
moustibes	23	0	837.5652174	237.0201039	0.297625453	23
mitenlice	24	0	769.5833333	259.4830843	-0.220675861	24
fuiphoment	26	0	745.2307692	149.058192	-0.20047869	26
troulemour	23	0.043478261	798.0454545	182.2067056	0.151975388	22
gralus	21	0.047619048	741.5	187.1946637	-0.253550848	20
facitertrée	24	0.083333333	841.6363636	215.4151132	0.274929989	22
fulame	23	0	724.0434783	163.8997693	-0.378432235	23
flampatourrêt	24	0	855.4583333	246.0738629	0.239693924	24
potiprenques	24	0.041666667	790	289.2650562	-0.143916662	23
jupiplépeau	21	0	849.047619	308.306094	-0.021030518	21
itoutient	24	0	749.7916667	197.8020484	-0.325883587	24
comnivrier	25	0.12	864.8095238	213.9550465	0.210368431	21
bamulors	23	0	727.2272727	155.5901	-0.240862275	22
protafois	22	0	784.5454545	182.0088243	0.081549972	22
plasoncivons	23	0	754.826087	224.5890494	-0.165388906	23
pourgarcon	22	0	782.8636364	208.9128995	-0.092918075	22
parteur	25	0.08	834.8181818	156.8209887	0.443651475	22
incanque	22	0.090909091	725.3684211	156.4009131	-0.136110013	19
sicasieur	21	0.047619048	817.6	323.4863375	0.04262374	20
extaient	22	0.181818182	1035	219.7948241	1.134571442	18
pladontitate	17	0	828.8823529	248.0508724	0.196392664	17
emmelieu	21	0.047619048	776.95	142.2886151	-0.120081818	20
appalorait	26	0.038461538	912.9166667	209.498971	0.434043455	24
afflexion	24	0.416666667	1015.714286	300.8872594	1.408560637	14
disteltant	23	0.086956522	958.5238095	272.9658622	0.811039056	21
pauseilsivres	25	0	849.8	228.6594994	0.020484329	25
reréression	25	0.08	967.7368421	236.3048507	0.798950276	19
austoque	22	0	762.7619048	149.9282844	-0.29085443	21
detritat	24	0.083333333	950.0952381	231.3749997	0.559243998	21
voifondroyé	23	0	787.5714286	214.4398684	0.007915041	21
attolait	22	0.136363636	898.4210526	229.1518943	0.391671516	19
vanavais	24	0	840.4166667	306.2831763	0.072775139	24
opmu	22	0	641.5	145.7165383	-0.784791245	22
encieuge	24	0.041666667	747.0869565	179.6124396	-0.345556852	23
tifonces	24	0	702.1666667	163.9723377	-0.479373946	24
pourrasiritact	24	0	925.0869565	260.5696405	0.271144379	23
senvement	21	0.095238095	761.7222222	183.419739	-0.092279096	18
mécouvoir	23	0	875.7391304	225.7321859	0.309685448	23
sinnait	21	0.047619048	809.4736842	192.6650428	-0.094855741	19
plavarnie	23	0.086956522	853.8571429	262.6446812	-4.01E-05	21
atounésez	19	0.052631579	675.5555556	105.4900175	-0.437292821	18
esculés	23	0.217391304	819.0666667	185.3504274	0.472703093	15
doutumition	24	0	849.3333333	170.5279951	0.333793307	24
lopavait	24	0	696.1666667	142.7605678	-0.50638341	24
rennidais	22	0.045454545	815	267.3944652	0.270627404	21
sergation	23	0	891.0869565	275.2978409	0.57942265	23
asereux	24	0.083333333	750.0454545	214.0457177	-0.419275924	22
trantidait	23	0.086956522	749.9047619	161.9138366	-0.175125635	21
vicoler	24	0.125	811.4285714	204.3669669	0.015701618	21
pleutroument	24	0.125	828.5	243.9981665	0.041345135	20
horferdes	22	0	789.9090909	254.691019	-0.198444378	22
rôlets	21	0.047619048	851.3	188.7298543	0.216756326	20
petuarées	23	0.043478261	780.5909091	171.0145243	0.104858595	22
guertince	24	0	825.125	281.3140458	0.175094208	24
fortate	24	0.041666667	819.4782609	238.1853498	0.071395155	23
comnaisci	21	0.047619048	830.75	327.096296	-0.068064776	20
doutotupent	20	0	792.95	200.2778268	-0.126381871	20
cetroumets	24	0	692	143.4245749	-0.460617479	24
goscitait	24	0	788.25	183.7009029	-0.059306676	24
enrifose	22	0.045454545	694.8095238	197.8993732	-0.50712808	21
abucridies	23	0	788.2272727	184.8667298	-0.066251702	22
hafére	18	0	727.1666667	220.4477396	-0.286273103	18
marprérai	21	0	764.55	247.477479	-0.246140689	20
icicocienvec	23	0	703.2173913	131.2710439	-0.565237942	23
tyle	21	0.047619048	781.85	133.4723606	-0.205366642	20
